;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;8,04%;5,69%;5,32%;5,25%;4,41%;2,64%;2,63%;3,58%;2,54%
Div;1.1141;0.6676;0.7302;0.7623;0.6803;0.4137;0.4906;0.55;0.54
P/L;13,62;12,81;14,92;15,82;19,16;21,64;24,93;21,99;46,01
PEG Ratio;0,91;-;-;-;-;-;-;0,43;-1,09
P/VP;2,37;1,88;2,74;2,79;2,94;3,34;4,79;4,30;7,27
EV/EBITDA;5,96;4,72;6,08;9,19;10,17;11,01;13,74;10,78;15,87
EV/EBIT;8,42;7,27;10,91;12,29;13,40;14,58;17,74;13,57;19,74
P/EBITDA;6,46;5,51;6,46;9,68;10,86;11,67;14,17;11,19;16,25
P/EBIT;9,13;8,48;11,60;12,95;14,31;15,46;18,29;14,10;20,21
VPA;5,84;6,26;5,01;5,20;5,25;4,69;3,90;3,58;2,93
P/Ativo;1,55;1,14;1,63;1,66;1,75;1,97;2,89;2,53;3,85
LPA;1,02;0,92;0,92;0,92;0,80;0,72;0,75;0,70;0,46
P/SR;2,41;2,07;2,71;2,87;3,33;4,22;5,58;4,81;6,98
P/Cap. Giro;40,73;38,81;-48,70;-83,96;-1.014,69;132,06;112,50;2.004,30;-84,24
P/Ativo Circ. Liq.;-2,21;-1,71;-2,25;-2,28;-2,43;-2,74;-3,96;-3,44;-5,38
Dív. líquida/PL;-0,18;-0,27;-0,16;-0,14;-0,19;-0,19;-0,14;-0,16;-0,17
Dív. líquida/EBITDA;-0,50;-0,79;-0,38;-0,49;-0,69;-0,66;-0,43;-0,42;-0,38
Dív. líquida/EBIT;-0,71;-1,21;-0,69;-0,66;-0,91;-0,88;-0,55;-0,53;-0,47
PL/Ativos;0,65;0,61;0,60;0,59;0,60;0,59;0,60;0,60;0,53
Passivos/Ativos;0,34;0,39;0,40;0,40;0,39;0,40;0,39;0,39;0,45
Liq. corrente;1,15;1,10;0,89;0,93;0,99;1,06;1,10;1,02;0,86
M. Bruta;51,77%;51,24%;50,72%;49,29%;51,05%;53,64%;58,79%;61,68%;62,36%
M. EBITDA;37,40%;37,55%;41,96%;29,63%;30,69%;36,14%;39,41%;43,00%;42,98%
M. EBIT;26,45%;24,38%;23,38%;22,15%;23,29%;27,29%;30,52%;34,15%;34,55%
M. Líquida;17,73%;16,14%;18,19%;18,14%;17,39%;19,49%;22,40%;21,89%;15,18%
ROE;17,43%;14,64%;18,36%;17,64%;15,33%;15,42%;19,22%;19,52%;15,80%
ROA;11,39%;8,88%;10,93%;10,48%;9,14%;9,09%;11,58%;11,68%;8,37%
ROIC;20,93%;15,89%;15,80%;19,52%;18,74%;17,72%;23,31%;25,64%;22,76%
Giro ativos;0,64;0,55;0,60;0,58;0,53;0,47;0,52;0,53;0,55
CAGR Receitas 5 anos;11,20%;11,20%;9,68%;10,72%;9,82%;4,56%;6,67%;7,44%;8,25%
CAGR Lucros 5 anos;6,36%;4,15%;5,69%;14,74%;0,20%;-1,74%;-0,48%;2,84%;2,81%
