;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;9,58%;9,64%;3,18%;3,73%;7,99%;4,83%;3,63%;-%;7,47%
Div;5.023663;3.646127;1.493652;1.614104;2.659477;1.863896;;;1.695775
P/L;-25,42;8,41;23,82;27,37;9,17;9,16;4,84;2,87;-17,41
PEG Ratio;0,16;-;-;-;-;-;-;0,00;0,11
P/VP;1,40;0,72;0,96;0,90;0,68;0,79;0,73;0,69;0,73
EV/EBITDA;20,22;8,46;16,48;14,52;6,38;9,96;6,96;4,48;18,15
EV/EBIT;41,00;5,37;10,25;16,98;6,31;10,18;10,22;4,43;10,40
P/EBITDA;16,12;6,18;12,69;11,02;4,19;6,58;4,17;2,10;8,62
P/EBIT;32,68;3,92;7,89;12,88;4,14;6,73;6,12;2,08;4,94
VPA;37,49;52,82;48,69;48,02;48,52;46,83;52,42;41,06;31,30
P/Ativo;0,57;0,30;0,41;0,37;0,28;0,32;0,29;0,21;0,18
LPA;-2,06;4,50;1,97;1,58;3,60;4,04;7,91;9,80;-1,30
P/SR;3,58;2,17;2,92;2,92;1,50;2,00;1,87;1,53;1,04
P/Cap. Giro;6,10;2,66;5,20;4,29;3,27;3,09;3,43;3,69;9,68
P/Ativo Circ. Liq.;-0,71;-0,39;-0,49;-0,45;-0,35;-0,43;-0,38;-0,28;-0,23
Dív. líquida/PL;0,39;0,33;0,37;0,31;0,35;0,41;0,50;0,85;0,89
Dív. líquida/EBITDA;4,49;2,81;4,87;3,75;2,15;3,42;2,83;2,61;10,56
Dív. líquida/EBIT;9,11;1,79;3,03;4,38;2,12;3,50;4,16;2,58;6,05
PL/Ativos;0,41;0,42;0,42;0,41;0,40;0,41;0,40;0,31;0,24
Passivos/Ativos;0,59;0,58;0,58;0,59;0,59;0,59;0,60;0,69;0,75
Liq. corrente;1,92;2,04;1,76;1,88;1,66;1,71;1,59;1,28;1,09
M. Bruta;43,59%;44,89%;49,75%;53,46%;72,05%;72,63%;75,55%;77,83%;67,87%
M. EBITDA;22,23%;35,16%;22,99%;26,50%;35,67%;30,32%;44,73%;72,52%;12,10%
M. EBIT;10,97%;55,37%;36,95%;22,66%;36,10%;29,66%;30,48%;73,22%;21,12%
M. Líquida;-14,10%;25,83%;12,24%;10,67%;16,31%;21,80%;38,58%;53,10%;-5,99%
ROE;-5,50%;8,52%;4,05%;3,29%;7,42%;8,63%;15,09%;23,88%;-4,17%
ROA;-2,26%;3,58%;1,70%;1,35%;3,00%;3,54%;6,03%;7,32%;-1,02%
ROIC;1,65%;10,50%;4,46%;4,11%;5,97%;6,62%;6,11%;14,13%;4,69%
Giro ativos;0,16;0,14;0,14;0,13;0,18;0,16;0,16;0,14;0,17
CAGR Receitas 5 anos;7,70%;7,70%;8,27%;2,97%;-10,51%;-2,25%;-1,65%;0,94%;1,00%
CAGR Lucros 5 anos;-%;-0,60%;-19,26%;-%;10,51%;-%;-%;-%;-%
