;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,28%;3,54%;2,88%;3,66%;15,28%;3,47%;2,70%;2,62%;1,99%
Div;0.59262;0.365004;0.41806;0.483323;1.745598;2.129205;0.840558;0.702156;
P/L;15,06;12,24;19,88;19,06;14,47;30,47;32,60;26,45;36,19
PEG Ratio;1,20;-;-;-;-;-;-;0,43;-3,49
P/VP;3,70;3,05;4,05;3,97;3,05;5,16;3,49;2,21;1,93
EV/EBITDA;8,55;6,58;5,93;11,73;8,59;17,78;19,58;15,82;21,33
EV/EBIT;11,26;9,25;15,27;13,94;10,02;21,07;25,80;22,10;31,60
P/EBITDA;8,69;6,59;6,07;12,15;9,26;19,05;20,77;16,51;21,34
P/EBIT;11,44;9,26;15,65;14,44;10,80;22,58;27,38;23,08;31,60
VPA;3,76;3,39;3,59;3,32;3,66;11,90;12,33;12,16;11,80
P/Ativo;1,55;1,24;1,67;1,69;1,30;2,73;2,21;1,47;1,25
LPA;0,92;0,84;0,73;0,69;0,77;2,02;1,32;1,01;0,63
P/SR;6,75;5,30;8,28;7,97;6,63;13,56;14,98;11,43;12,77
P/Cap. Giro;6,87;9,29;12,28;10,30;8,39;17,04;36,66;32,10;44,50
P/Ativo Circ. Liq.;-2,43;-1,86;-2,71;-2,64;-2,17;-4,33;-2,99;-1,83;-1,51
Dív. líquida/PL;-0,06;0,00;-0,10;-0,14;-0,22;-0,34;-0,20;-0,09;0,00
Dív. líquida/EBITDA;-0,14;-0,01;-0,15;-0,42;-0,67;-1,27;-1,20;-0,70;-0,01
Dív. líquida/EBIT;-0,18;-0,01;-0,38;-0,50;-0,78;-1,51;-1,58;-0,98;-0,01
PL/Ativos;0,42;0,41;0,41;0,43;0,43;0,53;0,63;0,66;0,65
Passivos/Ativos;0,58;0,59;0,59;0,57;0,57;0,47;0,37;0,34;0,35
Liq. corrente;2,62;1,66;1,55;1,84;1,63;1,77;1,30;1,30;1,19
M. Bruta;90,57%;89,98%;90,01%;89,92%;89,89%;89,87%;100,00%;100,00%;100,00%
M. EBITDA;77,70%;80,40%;136,37%;65,56%;71,67%;71,20%;72,10%;69,19%;59,85%
M. EBIT;59,00%;57,18%;52,91%;55,17%;61,44%;60,06%;54,71%;49,51%;40,40%
M. Líquida;44,81%;43,29%;41,65%;41,80%;45,85%;44,52%;45,94%;43,20%;35,29%
ROE;24,55%;24,91%;20,38%;20,85%;21,05%;16,94%;10,69%;8,34%;5,33%
ROA;10,26%;10,12%;8,36%;8,88%;8,98%;8,96%;6,78%;5,54%;3,45%
ROIC;9,47%;9,61%;-1,13%;12,39%;12,35%;13,42%;8,76%;7,25%;4,02%
Giro ativos;0,23;0,23;0,20;0,21;0,20;0,20;0,15;0,13;0,10
CAGR Receitas 5 anos;12,34%;12,34%;15,48%;22,44%;34,69%;33,29%;23,81%;17,84%;12,21%
CAGR Lucros 5 anos;12,34%;11,01%;14,63%;26,66%;26,67%;13,52%;22,67%;14,06%;3,83%
