;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;7,14%;13,08%;-%;2,81%;3,98%;2,93%
Div;;;;1.696348;7.539048;;0.83862;1.885738;1.256717
P/L;-1,32;-0,82;-3,81;-56,37;3,29;-2,81;-8,51;13,18;8,37
PEG Ratio;0,03;-;-;-;-;-;-;-0,44;-0,01
P/VP;-1,78;-1,93;4,37;2,59;5,84;-8,53;4,87;5,56;5,24
EV/EBITDA;7,51;21,30;3,79;4,51;2,26;11,06;12,67;-;-
EV/EBIT;-10,95;-42,56;-14,49;9,50;2,63;-611,46;-800,91;6,53;5,56
P/EBITDA;1,08;4,28;1,63;2,10;1,52;4,73;6,66;-;-
P/EBIT;-1,58;-8,56;-6,24;4,43;1,76;-261,37;-420,60;4,55;3,65
VPA;-4,43;-6,00;5,01;9,18;9,87;-2,76;6,13;8,51;8,18
P/Ativo;0,07;0,09;0,19;0,22;0,50;0,22;0,35;0,64;0,64
LPA;-5,96;-14,20;-5,74;-0,42;17,54;-8,39;-3,51;3,60;5,12
P/SR;0,09;0,12;0,25;0,20;0,44;0,32;0,45;0,65;0,69
P/Cap. Giro;1,60;1,05;1,35;1,84;3,26;3,24;3,32;-21,81;-29,84
P/Ativo Circ. Liq.;-0,10;-0,14;-0,32;-0,35;-0,86;-0,36;-0,53;-1,00;-0,97
Dív. líquida/PL;-;-;5,78;2,86;2,91;-;4,25;2,54;2,70
Dív. líquida/EBITDA;6,41;16,91;2,17;2,33;0,76;6,14;5,80;-;-
Dív. líquida/EBIT;-9,35;-33,79;-8,27;4,91;0,88;-339,73;-366,81;2,08;1,88
PL/Ativos;-0,04;-0,05;0,04;0,08;0,08;-0,03;0,07;0,11;0,12
Passivos/Ativos;1,04;1,04;0,96;0,93;0,93;1,04;0,94;0,90;0,89
Liq. corrente;1,18;1,31;1,53;1,42;1,56;1,20;1,44;0,93;0,94
M. Bruta;4,41%;7,75%;4,28%;11,77%;30,35%;19,15%;12,70%;19,99%;26,11%
M. EBITDA;7,89%;2,79%;15,11%;9,33%;28,61%;6,79%;6,83%;-%;-%
M. EBIT;-5,41%;-1,39%;-3,96%;4,43%;24,66%;-0,12%;-0,11%;14,32%;19,00%
M. Líquida;-6,44%;-14,62%;-6,49%;-0,35%;13,24%;-11,43%;-5,35%;4,94%;8,29%
ROE;-134,56%;-236,72%;-114,70%;-4,59%;177,79%;-303,85%;-57,27%;42,23%;62,64%
ROA;-5,44%;-11,14%;-4,99%;-0,38%;15,11%;-7,77%;-4,11%;4,84%;7,65%
ROIC;-21,87%;-23,58%;-17,80%;8,14%;53,45%;-7,20%;-5,91%;24,32%;27,50%
Giro ativos;0,84;0,76;0,77;1,10;1,14;0,68;0,77;0,98;0,92
CAGR Receitas 5 anos;8,15%;8,15%;4,00%;14,40%;17,25%;4,54%;3,00%;7,20%;6,38%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;41,26%;-%
