;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;6,67%;4,28%;-%;-%;-%;-%;-%;-%;-%
Div;0.559378;0.344691;;;;;0.253477;;
P/L;7,44;5,48;1.033,64;849,44;5,76;-23,89;35,01;-;-
PEG Ratio;0,17;-;-;-;-;-;-;-;-
P/VP;1,11;0,75;0,80;0,24;0,63;1,50;2,89;-;-
EV/EBITDA;2,39;1,59;1,59;2,08;6,54;44,77;-;-;-
EV/EBIT;3,97;2,97;6,98;4,38;23,93;-22,38;22,11;-;-
P/EBITDA;2,35;1,64;1,39;1,25;5,58;48,40;-;-;-
P/EBIT;3,90;3,07;6,12;2,63;20,43;-24,19;17,39;-;-
VPA;11,47;10,73;9,77;9,73;9,72;8,61;6,20;-;-
P/Ativo;0,44;0,25;0,26;0,07;0,22;0,54;1,00;-;-
LPA;1,72;1,47;0,01;0,00;1,07;-0,54;0,51;-;-
P/SR;0,49;0,32;0,36;0,11;0,37;0,97;1,06;-;-
P/Cap. Giro;2,78;2,17;1,94;0,66;1,25;3,13;5,70;-;-
P/Ativo Circ. Liq.;-0,84;-0,49;-0,49;-0,14;-0,40;-1,05;5,70;-;-
Dív. líquida/PL;0,02;-0,02;0,11;0,16;0,11;-0,11;0,42;-0,40;-0,43
Dív. líquida/EBITDA;0,04;-0,05;0,20;0,83;0,96;-3,63;0,73;-0,79;-0,87
Dív. líquida/EBIT;0,07;-0,09;0,86;1,75;3,50;1,81;1,10;-1,25;-1,45
PL/Ativos;0,40;0,33;0,32;0,31;0,35;0,36;0,45;0,32;0,30
Passivos/Ativos;0,60;0,67;0,68;0,69;0,65;0,64;0,55;0,68;0,70
Liq. corrente;1,50;1,30;1,39;1,29;1,63;1,56;1.712,99;1,25;1,05
M. Bruta;55,15%;54,69%;52,42%;50,23%;46,52%;46,42%;48,59%;49,34%;48,09%
M. EBITDA;20,79%;19,83%;25,80%;9,11%;6,59%;2,01%;29,55%;10,87%;9,82%
M. EBIT;12,50%;10,60%;5,87%;4,34%;1,80%;-4,02%;19,55%;6,90%;5,89%
M. Líquida;6,56%;5,93%;0,03%;0,01%;6,38%;-4,07%;0,02%;3,36%;1,92%
ROE;14,95%;13,68%;0,08%;0,03%;10,99%;-6,27%;0,04%;15,57%;9,63%
ROA;5,93%;4,50%;0,02%;0,01%;3,79%;-2,28%;0,02%;4,99%;2,85%
ROIC;16,61%;14,70%;4,76%;4,35%;-5,38%;-6,56%;13,47%;27,25%;24,99%
Giro ativos;0,90;0,76;0,71;0,64;0,59;0,56;0,88;1,49;1,48
CAGR Receitas 5 anos;7,64%;7,64%;5,40%;4,19%;1,51%;-%;-%;-%;-%
CAGR Lucros 5 anos;252,47%;241,65%;-57,76%;-61,39%;-%;-%;-%;-%;-%
