;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;14,30%;9,97%;17,74%;7,69%;0,03%;6,73%;-%;-%
Div;;1.266879;1.959891;2.580457;1.920959;0.0089;0.949913;;
P/L;-7,62;-4,53;-81,93;12,42;2,83;11,65;10,94;2,42;1.131,96
PEG Ratio;-0,60;-;-;-;-;-;-;0,00;-11,20
P/VP;0,84;0,96;1,49;0,99;1,71;4,46;1,92;1,41;1,65
EV/EBITDA;5,74;6,69;5,02;4,55;2,12;8,05;8,88;-;-
EV/EBIT;8,40;10,41;10,29;6,12;2,33;11,50;12,37;5,46;12,40
P/EBITDA;1,46;1,77;2,45;1,88;1,54;5,41;3,97;-;-
P/EBIT;2,14;2,75;5,03;2,53;1,69;7,73;5,53;1,77;3,90
VPA;10,66;9,25;13,20;14,70;14,64;7,14;7,33;6,27;5,06
P/Ativo;0,12;0,11;0,28;0,23;0,44;0,70;0,38;0,26;0,26
LPA;-1,17;-1,95;-0,24;1,17;8,83;2,73;1,29;3,66;0,01
P/SR;0,26;0,27;0,57;0,43;0,72;1,47;0,77;0,53;0,63
P/Cap. Giro;1,48;0,80;3,23;2,37;3,32;5,10;17,70;21,30;9,60
P/Ativo Circ. Liq.;-0,17;-0,18;-0,45;-0,35;-0,78;-1,12;-0,51;-0,35;-0,35
Dív. líquida/PL;2,45;2,66;1,39;1,41;0,65;2,17;2,38;2,95;3,61
Dív. líquida/EBITDA;4,27;4,92;2,57;2,67;0,59;2,64;4,91;-;-
Dív. líquida/EBIT;6,26;7,66;5,26;3,59;0,64;3,77;6,85;3,70;8,50
PL/Ativos;0,14;0,12;0,22;0,23;0,26;0,16;0,20;0,18;0,16
Passivos/Ativos;0,83;0,85;0,78;0,74;0,71;0,82;0,78;0,79;0,82
Liq. corrente;1,32;1,58;1,32;1,36;1,43;1,59;1,10;1,05;1,11
M. Bruta;27,54%;26,77%;26,33%;30,00%;46,07%;36,39%;32,13%;29,88%;26,60%
M. EBITDA;17,87%;15,21%;23,38%;23,18%;47,12%;27,16%;19,40%;-%;-%
M. EBIT;12,21%;9,77%;11,42%;17,23%;42,87%;19,01%;13,92%;30,24%;16,11%
M. Líquida;-3,42%;-5,93%;-0,70%;3,50%;25,59%;12,62%;7,03%;22,09%;0,06%
ROE;-11,00%;-21,12%;-1,62%;7,97%;60,34%;38,27%;17,58%;58,31%;0,15%
ROA;-1,54%;-2,49%;-0,35%;1,82%;15,44%;6,02%;3,52%;10,72%;0,02%
ROIC;6,52%;4,55%;7,51%;9,06%;27,81%;10,94%;6,89%;17,24%;6,81%
Giro ativos;0,45;0,42;0,50;0,52;0,60;0,48;0,50;0,49;0,41
CAGR Receitas 5 anos;11,42%;11,42%;14,62%;19,08%;22,81%;14,52%;9,54%;5,82%;4,00%
CAGR Lucros 5 anos;-%;-%;-%;172,87%;-%;-%;-%;58,39%;-%
