;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;1.148,40;484,38;99,07;50,30;15,27;19,47;22,91;5,71;34,81
PEG Ratio;-11,99;-;-;-;-;-;-;0,01;-0,18
P/VP;1,97;1,08;1,75;1,38;1,99;2,47;1,99;0,80;0,62
EV/EBITDA;7,40;13,61;6,72;16,65;10,90;15,49;12,03;-;-
EV/EBIT;18,01;15,31;14,47;27,53;15,07;22,17;18,14;7,94;9,49
P/EBITDA;5,30;8,18;3,75;8,91;8,14;12,27;9,45;-;-
P/EBIT;12,89;9,20;8,07;14,72;11,26;17,56;14,24;4,53;4,71
VPA;10,25;9,78;7,80;8,63;7,11;25,12;21,91;19,99;22,54
P/Ativo;0,72;0,39;0,50;0,45;0,98;1,21;0,99;0,41;0,30
LPA;0,02;0,02;0,14;0,24;0,93;3,19;1,91;2,82;0,40
P/SR;2,27;1,79;2,14;3,08;3,50;6,05;4,39;1,62;1,22
P/Cap. Giro;16,67;7,44;16,27;33,95;10,22;10,52;9,34;4,34;4,58
P/Ativo Circ. Liq.;-0,86;-0,47;-0,58;-0,52;-1,19;-1,48;-1,25;-0,50;-0,37
Dív. líquida/PL;0,78;0,71;1,38;1,20;0,67;0,65;0,55;0,60;0,63
Dív. líquida/EBITDA;2,10;5,43;2,97;7,75;2,76;3,22;2,59;-;-
Dív. líquida/EBIT;5,12;6,11;6,40;12,80;3,81;4,61;3,90;3,40;4,78
PL/Ativos;0,36;0,36;0,28;0,33;0,49;0,49;0,50;0,51;0,49
Passivos/Ativos;0,61;0,62;0,66;0,67;0,51;0,51;0,50;0,49;0,51
Liq. corrente;1,34;1,47;1,28;1,11;2,22;2,75;2,09;2,19;1,63
M. Bruta;29,97%;34,72%;36,78%;30,63%;37,91%;46,19%;39,45%;40,08%;40,79%
M. EBITDA;42,85%;21,85%;57,02%;34,63%;42,94%;49,30%;46,43%;-%;-%
M. EBIT;17,61%;19,42%;26,48%;20,95%;31,06%;34,43%;30,81%;35,73%;25,93%
M. Líquida;0,20%;0,37%;2,16%;6,13%;22,90%;31,07%;19,15%;28,37%;3,51%
ROE;0,17%;0,22%;1,76%;2,75%;13,04%;12,70%;8,70%;14,10%;1,77%
ROA;0,06%;0,08%;0,50%;0,90%;6,43%;6,21%;4,33%;7,22%;0,88%
ROIC;5,90%;-4,44%;5,30%;3,55%;8,12%;6,19%;7,42%;7,37%;6,32%
Giro ativos;0,32;0,22;0,23;0,15;0,28;0,20;0,23;0,25;0,25
CAGR Receitas 5 anos;29,41%;29,41%;26,39%;17,63%;18,85%;16,39%;11,78%;16,81%;123,52%
CAGR Lucros 5 anos;-43,68%;-41,26%;-24,51%;31,52%;-%;47,85%;-%;-%;-%
