;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;0,60%;2,13%;0,43%;-%;-%
Div;;;;;0.062478;0.325258;0.277013;0.184321;
P/L;-23,87;-25,89;-44,27;-21,11;81,15;72,36;50,53;-;-
PEG Ratio;0,55;-;-;-;-;-;-;-;-
P/VP;0,15;0,35;0,68;0,74;3,82;7,24;5,91;-;-
EV/EBITDA;6,27;13,02;11,24;172,04;32,48;29,02;37,09;-;-
EV/EBIT;7,66;28,06;32,50;-25,11;80,85;44,42;42,23;-;-
P/EBITDA;4,12;10,53;9,91;143,83;29,87;29,23;36,49;-;-
P/EBIT;5,04;22,69;28,64;-20,99;74,35;44,74;41,55;-;-
VPA;96,79;6,46;6,53;6,82;2,72;2,11;10,80;-;-
P/Ativo;0,10;0,23;0,46;0,50;1,92;4,19;3,45;-;-
LPA;-0,62;-0,09;-0,10;-0,24;0,13;0,21;1,26;-;-
P/SR;0,25;0,58;1,21;1,52;4,09;6,63;7,62;-;-
P/Cap. Giro;1,21;2,89;13,37;79,35;302,04;41,04;103,25;-;-
P/Ativo Circ. Liq.;-0,12;-0,27;-0,52;-0,56;-2,28;-5,66;-4,17;-;-
Dív. líquida/PL;0,08;0,08;0,09;0,15;0,33;-0,05;0,10;-0,25;-1,92
Dív. líquida/EBITDA;2,14;2,49;1,34;28,21;2,61;-0,21;0,60;-0,97;-1,10
Dív. líquida/EBIT;2,62;5,37;3,86;-4,12;6,50;-0,32;0,68;-1,02;-1,16
PL/Ativos;0,65;0,66;0,67;0,67;0,50;0,58;0,58;0,74;0,18
Passivos/Ativos;0,35;0,34;0,33;0,33;0,51;0,42;0,42;0,26;0,82
Liq. corrente;1,98;2,11;1,38;1,06;1,04;1,65;1,24;1,29;0,99
M. Bruta;13,55%;11,42%;10,95%;0,00%;31,02%;39,11%;39,65%;39,80%;41,22%
M. EBITDA;6,05%;5,52%;12,20%;1,06%;13,68%;22,67%;20,89%;19,95%;21,43%
M. EBIT;4,95%;2,56%;4,22%;-7,26%;5,50%;14,81%;18,34%;19,02%;20,36%
M. Líquida;-1,05%;-2,25%;-2,73%;-7,22%;5,04%;9,16%;15,08%;17,21%;16,86%
ROE;-0,64%;-1,33%;-1,54%;-3,53%;4,71%;10,01%;11,71%;21,86%;137,49%
ROA;-0,42%;-0,88%;-1,04%;-2,35%;2,37%;5,79%;6,82%;16,15%;24,81%
ROIC;2,35%;0,81%;0,79%;-4,77%;3,31%;9,28%;8,06%;17,10%;114,21%
Giro ativos;0,40;0,39;0,38;0,33;0,47;0,63;0,45;0,94;1,47
CAGR Receitas 5 anos;38,69%;38,69%;43,42%;43,98%;26,62%;28,32%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;1,72%;21,07%;-%;-%;-%
