;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,72%;6,46%;3,44%;2,73%;4,36%;3,43%;3,00%;6,25%;1,81%
Div;1.17;1.07055;1.23144;1.23197;1.23387;1.17318;0.55961;0.409431;1.570897
P/L;18,11;8,54;13,74;16,87;13,46;16,75;-;-;23,59
PEG Ratio;-0,38;-;-;-;-;-;-;-;-1,31
P/VP;1,22;0,95;1,97;2,69;1,82;2,35;-;-;2,94
EV/EBITDA;19,37;11,00;12,71;13,50;12,74;16,06;-;-;20,18
EV/EBIT;19,14;10,49;11,92;14,25;11,68;17,03;-;-;18,87
P/EBITDA;13,02;6,60;9,59;10,92;9,93;15,51;-;-;20,98
P/EBIT;12,87;6,30;8,99;11,53;9,10;16,45;-;-;19,62
VPA;19,35;19,10;18,16;16,81;15,51;14,59;-;-;12,24
P/Ativo;0,59;0,47;0,92;1,21;0,90;1,26;-;-;2,25
LPA;1,30;2,12;2,60;2,68;2,10;2,04;-;-;1,53
P/SR;2,14;1,54;2,86;3,79;3,02;5,31;-;-;6,50
P/Cap. Giro;11,25;4,18;6,60;8,66;4,82;4,11;-;-;10,27
P/Ativo Circ. Liq.;-0,79;-0,64;-1,38;-1,88;-1,34;-2,32;-;-;-3,67
Dív. líquida/PL;0,59;0,63;0,64;0,63;0,52;0,08;-0,10;-0,13;-0,11
Dív. líquida/EBITDA;6,35;4,40;3,12;2,57;2,81;0,55;-0,72;-0,83;-0,80
Dív. líquida/EBIT;6,27;4,20;2,92;2,72;2,58;0,58;-0,78;-0,88;-0,75
PL/Ativos;0,49;0,49;0,47;0,45;0,50;0,54;0,73;0,78;0,76
Passivos/Ativos;0,51;0,51;0,53;0,55;0,50;0,46;0,27;0,22;0,24
Liq. corrente;1,27;1,70;1,74;1,63;2,34;3,01;3,00;3,07;2,30
M. Bruta;56,70%;58,86%;63,12%;63,10%;64,05%;64,30%;63,30%;71,56%;73,52%
M. EBITDA;16,44%;23,33%;29,83%;34,73%;30,38%;34,20%;35,48%;34,92%;31,00%
M. EBIT;16,63%;24,45%;31,81%;32,90%;33,15%;32,26%;32,95%;33,02%;33,14%
M. Líquida;11,82%;18,02%;20,82%;22,48%;22,40%;31,67%;35,33%;30,33%;27,57%
ROE;6,72%;11,09%;14,32%;15,94%;13,54%;14,02%;13,36%;13,66%;12,47%
ROA;3,28%;5,46%;6,72%;7,14%;6,71%;7,51%;9,77%;10,70%;9,53%
ROIC;1,22%;4,80%;7,39%;11,78%;11,29%;8,41%;9,86%;12,85%;12,61%
Giro ativos;0,28;0,30;0,32;0,32;0,30;0,24;0,28;0,35;0,35
CAGR Receitas 5 anos;17,70%;17,70%;16,27%;16,61%;12,96%;6,70%;3,54%;-2,65%;-2,01%
CAGR Lucros 5 anos;-6,68%;2,87%;7,85%;11,95%;2,46%;18,26%;23,65%;34,49%;36,46%
