;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,64%;3,90%;1,50%;1,84%;-%;-%;-%;-%;-%
Div;0.675165;0.67307;0.366025;0.341311;;;;;
P/L;17,77;17,54;32,67;1.004,78;29,49;-;-;-;-
PEG Ratio;0,34;-;-;-;-;-;-;-;-
P/VP;2,22;1,63;2,38;1,86;2,06;-;-;-;-
EV/EBITDA;7,19;9,30;11,35;13,48;17,14;-;-;-;-
EV/EBIT;8,12;11,98;18,84;17,94;24,81;-;-;-;-
P/EBITDA;8,30;7,55;9,64;11,55;14,27;-;-;-;-
P/EBIT;9,38;9,73;16,00;15,37;20,65;-;-;-;-
VPA;11,54;10,62;10,23;9,96;8,79;55,18;52,48;-;-
P/Ativo;1,09;0,82;1,28;0,94;0,96;-;-;-;-
LPA;1,44;0,98;0,75;0,02;0,61;2,61;4,39;-;-
P/SR;7,21;5,67;8,60;7,48;8,21;-;-;-;-
P/Cap. Giro;7,02;4,87;9,55;16,21;3,82;-;-;-;-
P/Ativo Circ. Liq.;-1,45;-1,12;-1,70;-1,30;-1,40;-;-;-;-
Dív. líquida/PL;0,46;0,38;0,42;0,31;0,41;1,21;0,96;1,15;1,20
Dív. líquida/EBITDA;1,73;1,75;1,71;1,93;2,87;4,04;2,40;-;-
Dív. líquida/EBIT;1,96;2,26;2,84;2,57;4,16;5,87;3,04;3,83;4,33
PL/Ativos;0,49;0,51;0,54;0,51;0,47;0,23;0,27;0,27;0,28
Passivos/Ativos;0,51;0,49;0,46;0,49;0,53;0,55;0,47;0,47;0,46
Liq. corrente;2,67;2,76;2,16;1,27;4,64;2,33;4,16;3,12;1,97
M. Bruta;73,91%;67,11%;63,86%;58,59%;56,97%;59,31%;66,61%;69,92%;69,38%
M. EBITDA;86,81%;75,14%;89,25%;64,76%;57,56%;71,83%;80,91%;-%;-%
M. EBIT;76,88%;58,31%;53,76%;48,68%;39,79%;49,40%;63,93%;60,21%;58,23%
M. Líquida;40,57%;32,33%;26,33%;0,74%;27,86%;11,31%;17,03%;15,24%;11,27%
ROE;12,47%;9,28%;7,29%;0,18%;6,97%;4,73%;8,37%;7,62%;5,36%
ROA;6,14%;4,70%;3,91%;0,09%;3,24%;1,09%;2,24%;2,04%;1,51%
ROIC;11,61%;8,61%;7,48%;4,87%;2,20%;3,93%;7,23%;7,05%;7,20%
Giro ativos;0,15;0,15;0,15;0,13;0,12;0,10;0,13;0,13;0,13
CAGR Receitas 5 anos;10,36%;10,36%;9,87%;7,95%;5,11%;1,23%;5,51%;11,50%;12,61%
CAGR Lucros 5 anos;35,08%;25,45%;22,57%;-37,31%;61,79%;-%;-%;56,22%;1,04%
