;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;12,02%;7,85%;3,70%;4,07%;4,34%;4,12%;7,56%;6,25%;0,76%
Div;4.731643;2.413265;1.25664;1.01814;0.909348;1.30356;2.80456;1.6574;0.3245
P/L;9,88;7,33;10,06;8,39;7,68;16,40;13,42;9,32;12,08
PEG Ratio;0,81;-;-;-;-;-;-;1,26;1,67
P/VP;2,01;1,43;1,75;1,46;1,34;2,17;2,66;1,70;2,13
EV/EBITDA;7,36;5,23;6,03;5,54;4,22;32,56;9,73;-;-
EV/EBIT;8,44;5,94;7,75;6,26;4,65;55,77;10,84;6,99;8,63
P/EBITDA;7,65;5,58;6,53;5,91;4,42;34,59;10,45;-;-
P/EBIT;8,77;6,34;8,39;6,68;4,86;59,26;11,64;7,58;9,16
VPA;19,49;21,53;19,40;17,11;15,59;14,59;13,97;20,93;19,96
P/Ativo;0,15;0,11;0,13;0,11;0,10;0,15;0,22;0,15;0,20
LPA;3,97;4,19;3,38;2,98;2,73;1,93;2,77;3,81;3,52
P/SR;1,11;0,90;1,06;0,95;1,05;1,78;1,88;1,77;1,87
P/Cap. Giro;-1,92;8,34;-5,15;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,15;-0,11;-0,13;-0,11;-0,10;-0,16;-0,23;-0,15;-0,20
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-;-;-;-;-;-;-;-;-
PL/Ativos;0,07;0,07;0,07;0,07;0,07;0,07;0,08;0,09;0,09
Passivos/Ativos;0,92;0,92;0,92;0,92;0,92;0,92;0,91;0,90;0,90
Liq. corrente;0,13;0,31;0,33;-;-;-;-;-;-
M. Bruta;34,81%;40,48%;39,76%;44,22%;57,23%;57,67%;60,65%;46,23%;47,63%
M. EBITDA;14,55%;16,10%;16,28%;16,02%;23,75%;5,16%;18,03%;-%;-%
M. EBIT;12,69%;14,18%;12,67%;14,17%;21,58%;3,01%;16,18%;23,31%;20,45%
M. Líquida;11,26%;12,25%;10,57%;11,28%;13,68%;10,87%;14,05%;18,97%;15,51%
ROE;20,37%;19,46%;17,41%;17,41%;17,51%;13,21%;19,80%;18,21%;17,18%
ROA;1,47%;1,44%;1,30%;1,26%;1,29%;0,94%;1,66%;1,60%;1,61%
ROIC;-%;-%;-%;-%;-%;-%;-%;-%;-%
Giro ativos;0,13;0,12;0,12;0,11;0,09;0,09;0,12;0,08;0,10
CAGR Receitas 5 anos;11,68%;11,68%;18,99%;11,61%;2,26%;6,04%;8,39%;6,73%;8,05%
CAGR Lucros 5 anos;10,06%;8,67%;5,86%;4,72%;4,35%;-5,99%;4,69%;8,68%;12,92%
