;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;2,15%;10,02%;0,78%;0,91%;-%;-%
Div;;;;0.35446;2.176881;0.582024;0.808779;1.244684;0.286583
P/L;-1,38;-0,52;-0,48;-25,95;7,30;9,24;30,02;-;-
PEG Ratio;0,09;-;-;-;-;-;-;-;-
P/VP;0,69;0,43;0,23;0,39;0,43;1,47;2,17;-;-
EV/EBITDA;-;-;-;-;-;-;7,72;-;-
EV/EBIT;-23,01;-;-;-;-;-;15,27;-;-
P/EBITDA;-;-;-;2,03;1,97;3,21;6,15;-;-
P/EBIT;-9,47;-2,87;1,62;-7,90;110,46;7,66;12,18;-;-
VPA;5,48;5,97;17,46;42,74;50,66;51,03;41,00;38,76;38,27
P/Ativo;0,10;0,06;0,05;0,10;0,12;0,38;0,41;-;-
LPA;-2,76;-4,91;-8,41;-0,64;2,98;8,12;2,96;4,47;2,18
P/SR;0,10;0,07;0,06;0,26;0,36;0,39;0,42;-;-
P/Cap. Giro;-0,92;-5,21;0,85;0,41;4,43;-23,92;-7,31;-;-
P/Ativo Circ. Liq.;-0,14;-0,09;-0,08;-0,29;-0,19;-0,56;-0,62;-;-
Dív. líquida/PL;0,99;0,48;0,32;0,18;0,06;0,03;0,57;0,10;0,08
Dív. líquida/EBITDA;-;-;-;0,96;0,26;0,07;1,62;0,39;0,30
Dív. líquida/EBIT;-13,54;-3,21;2,25;-3,74;14,68;0,17;3,20;0,53;0,54
PL/Ativos;0,15;0,15;0,21;0,26;0,28;0,26;0,19;0,21;0,22
Passivos/Ativos;0,85;0,85;0,79;0,69;0,67;0,68;0,77;0,74;0,72
Liq. corrente;0,70;0,96;1,21;1,61;1,08;0,95;0,86;1,11;1,15
M. Bruta;27,42%;27,53%;25,02%;24,84%;26,73%;26,83%;21,51%;23,39%;24,62%
M. EBITDA;-%;-%;-%;12,67%;18,25%;12,25%;6,81%;6,06%;5,98%
M. EBIT;-1,02%;-2,32%;3,52%;-3,26%;0,33%;5,13%;3,44%;4,41%;3,32%
M. Líquida;-7,06%;-12,81%;-11,80%;-0,99%;4,92%;4,25%;1,39%;2,42%;1,30%
ROE;-50,45%;-82,26%;-48,15%;-1,49%;5,88%;15,91%;7,22%;10,76%;5,56%
ROA;-7,47%;-12,22%;-10,30%;-0,39%;1,62%;4,09%;1,36%;2,26%;1,21%
ROIC;-20,88%;-6,93%;-10,19%;-5,20%;-2,64%;7,58%;6,11%;8,88%;6,63%
Giro ativos;1,06;0,95;0,87;0,40;0,33;0,96;0,98;0,93;0,93
CAGR Receitas 5 anos;-19,80%;-19,80%;-17,17%;-17,25%;-17,03%;6,62%;-2,84%;-3,11%;-2,60%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;52,41%;-8,13%;2,55%;-11,21%
