;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;5,36%;4,22%;4,91%;5,00%;12,49%;4,37%;3,38%;7,74%;4,14%
Div;2.593158;1.543211;1.41132;1.158574;2.612055;2.141332;2.120997;4.037291;1.502629
P/L;9,73;8,94;8,20;13,13;8,76;9,38;14,71;12,86;10,67
PEG Ratio;0,47;-;-;-;-;-;-;0,68;0,53
P/VP;2,10;1,68;1,50;1,42;1,44;1,77;2,45;2,21;1,52
EV/EBITDA;5,09;4,03;1,37;4,14;3,17;2,80;8,23;-;-
EV/EBIT;5,67;4,53;2,34;5,68;3,73;3,18;10,21;4,88;1,35
P/EBITDA;8,77;6,79;3,87;13,03;9,23;8,29;16,55;-;-
P/EBIT;9,76;7,62;6,62;17,85;10,85;9,41;20,53;13,59;29,22
VPA;23,07;21,73;19,20;16,27;14,48;27,74;25,58;23,64;23,86
P/Ativo;0,59;0,49;0,42;0,30;0,32;0,43;0,62;0,55;0,41
LPA;4,97;4,09;3,50;1,76;2,39;5,22;4,27;4,05;3,41
P/SR;0,81;0,67;0,57;0,57;0,64;0,85;1,12;0,95;0,70
P/Cap. Giro;4,74;6,92;6,00;6,10;5,75;3,66;4,24;3,27;1,88
P/Ativo Circ. Liq.;-1,46;-1,09;-1,04;-0,87;-0,87;-1,37;-2,04;-1,96;-1,65
Dív. líquida/PL;-0,88;-0,68;-0,96;-0,96;-0,95;-1,17;-1,23;-1,41;-1,45
Dív. líquida/EBITDA;-3,68;-2,76;-2,50;-8,89;-6,06;-5,48;-8,32;-;-
Dív. líquida/EBIT;-4,09;-3,10;-4,28;-12,18;-7,12;-6,22;-10,32;-8,72;-27,87
PL/Ativos;0,28;0,29;0,28;0,21;0,22;0,24;0,25;0,25;0,27
Passivos/Ativos;0,72;0,70;0,72;0,79;0,80;0,76;0,75;0,75;0,73
Liq. corrente;1,26;1,15;1,13;1,09;1,09;1,21;1,27;1,31;1,40
M. Bruta;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;9,26%;9,87%;14,84%;4,35%;6,91%;10,27%;6,78%;-%;-%
M. EBIT;8,32%;8,79%;8,66%;3,17%;5,88%;9,04%;5,46%;6,96%;2,38%
M. Líquida;8,35%;7,50%;7,00%;4,32%;7,28%;9,07%;7,63%;7,35%;6,52%
ROE;21,54%;18,82%;18,13%;10,77%;16,49%;18,83%;16,68%;17,15%;14,27%
ROA;6,02%;5,52%;5,12%;2,26%;3,71%;4,60%;4,22%;4,29%;3,80%
ROIC;11,95%;13,05%;2,80%;6,33%;11,49%;8,56%;4,11%;5,02%;-0,42%
Giro ativos;0,72;0,74;0,73;0,52;0,51;0,51;0,55;0,58;0,58
CAGR Receitas 5 anos;14,28%;14,28%;12,70%;9,35%;5,64%;3,79%;4,76%;-%;-%
CAGR Lucros 5 anos;18,43%;13,91%;11,57%;0,70%;11,02%;11,01%;9,51%;-1,38%;10,03%
