;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;5,49%;0,52%;0,29%;0,10%;-%;-%;-%;-%;-%
Div;0.810438;0.092402;0.066017;0.019291;;;;;
P/L;73,43;-34,50;59,15;67,01;218,75;120,05;52,29;100,26;-66,59
PEG Ratio;-0,48;-;-;-;-;-;-;-0,50;0,88
P/VP;1,99;2,25;2,72;2,27;2,23;2,38;4,88;3,30;2,24
EV/EBITDA;6,64;9,08;6,51;8,77;13,33;12,55;13,17;-;-
EV/EBIT;10,49;18,42;15,63;14,45;29,39;24,54;23,87;21,11;18,98
P/EBITDA;4,16;6,71;5,11;6,90;9,83;9,37;10,63;-;-
P/EBIT;6,58;13,62;12,25;11,36;21,67;18,31;19,25;15,14;12,27
VPA;7,43;7,94;8,45;8,19;7,98;8,08;5,35;5,15;5,79
P/Ativo;0,53;0,65;0,86;0,75;0,68;0,78;1,24;0,98;0,66
LPA;0,20;-0,52;0,39;0,28;0,08;0,16;0,50;0,17;-0,19
P/SR;1,97;2,37;3,89;3,51;4,43;5,12;5,74;4,02;2,92
P/Cap. Giro;7,62;7,87;8,92;8,49;4,15;5,86;21,28;16,56;19,41
P/Ativo Circ. Liq.;-0,65;-0,83;-1,09;-0,95;-0,92;-1,02;-1,46;-1,15;-0,80
Dív. líquida/PL;1,18;0,79;0,75;0,62;0,79;0,81;1,17;1,30;1,22
Dív. líquida/EBITDA;2,48;2,37;1,41;1,87;3,50;3,19;2,55;-;-
Dív. líquida/EBIT;3,91;4,80;3,38;3,09;7,72;6,23;4,62;5,97;6,71
PL/Ativos;0,27;0,29;0,32;0,33;0,31;0,33;0,25;0,30;0,30
Passivos/Ativos;0,73;0,70;0,68;0,66;0,69;0,67;0,74;0,69;0,69
Liq. corrente;1,66;1,63;1,87;1,71;2,79;2,34;1,63;1,65;1,25
M. Bruta;45,83%;45,94%;37,48%;31,97%;28,06%;32,22%;34,98%;32,18%;29,02%
M. EBITDA;47,24%;35,36%;76,22%;50,84%;45,03%;54,66%;54,03%;-%;-%
M. EBIT;29,88%;17,43%;31,77%;30,85%;20,43%;27,97%;29,82%;26,59%;23,80%
M. Líquida;2,68%;-6,88%;6,58%;5,23%;2,02%;4,27%;10,98%;4,01%;-4,39%
ROE;2,71%;-6,51%;4,59%;3,39%;1,02%;1,98%;9,33%;3,29%;-3,36%
ROA;0,72%;-1,90%;1,46%;1,12%;0,31%;0,65%;2,37%;0,97%;-0,99%
ROIC;9,34%;4,50%;8,56%;8,84%;4,19%;5,05%;9,76%;7,85%;7,95%
Giro ativos;0,27;0,28;0,22;0,21;0,15;0,15;0,22;0,24;0,23
CAGR Receitas 5 anos;14,48%;14,48%;10,68%;10,60%;11,53%;10,92%;14,09%;14,26%;12,26%
CAGR Lucros 5 anos;-13,65%;-%;22,18%;-%;-%;-%;-%;-%;-%
