;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;5,51%;5,07%;5,16%;7,95%;9,46%;6,26%;4,22%;4,13%;1,25%
Div;1.876191;1.610232;1.667602;2.241701;2.835826;2.805264;2.090011;0.481579;1.479337
P/L;11,00;6,66;12,75;7,37;7,22;12,53;11,32;12,72;13,51
PEG Ratio;6,01;-;-;-;-;-;-;0,31;0,62
P/VP;1,03;0,75;1,06;0,96;1,03;1,98;2,66;1,76;1,39
EV/EBITDA;-;-;-;-;-;-;7,53;-;-
EV/EBIT;8,08;4,65;10,16;5,40;4,54;17,39;8,34;10,06;8,31
P/EBITDA;-;-;-;-;-;-;7,53;-;-
P/EBIT;8,08;4,65;10,16;5,40;4,54;17,39;8,34;10,06;8,31
VPA;33,03;31,87;30,53;29,39;29,08;22,64;18,59;24,27;22,91
P/Ativo;0,10;0,07;0,11;0,11;0,11;0,17;0,22;0,22;0,19
LPA;3,10;3,58;2,53;3,82;4,15;3,58;4,38;3,36;2,36
P/SR;0,82;0,65;0,94;0,92;1,44;2,68;2,55;2,27;1,69
P/Cap. Giro;-0,17;2,41;-0,12;-0,12;-0,25;-0,35;-2,07;-;-
P/Ativo Circ. Liq.;-0,10;-0,07;-0,10;-0,11;-0,13;-0,20;-0,56;-0,23;-0,22
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-;-;-;-;-;-;-;-;-
PL/Ativos;0,10;-;0,10;0,10;0,11;0,09;0,13;0,13;0,13
Passivos/Ativos;0,90;-;0,90;0,82;0,89;0,91;0,87;0,87;0,87
Liq. corrente;0,03;-;0,47;0,44;0,23;0,26;0,03;-;-
M. Bruta;37,88%;41,32%;36,55%;41,23%;65,80%;70,80%;60,85%;59,48%;48,93%
M. EBITDA;-%;-%;-%;-%;-%;-%;33,86%;-%;-%
M. EBIT;10,10%;13,99%;9,29%;16,99%;31,74%;15,39%;30,58%;22,57%;20,32%
M. Líquida;7,42%;9,78%;7,40%;12,44%;19,95%;21,38%;22,52%;17,85%;12,50%
ROE;9,37%;-%;8,30%;13,01%;14,27%;15,81%;16,98%;13,83%;10,30%
ROA;0,92%;-%;0,85%;1,35%;1,59%;1,36%;2,15%;1,74%;1,38%
ROIC;-%;-%;-%;-%;-%;-%;-%;-%;-%
Giro ativos;0,12;-;0,11;0,11;0,08;0,06;0,10;0,10;0,11
CAGR Receitas 5 anos;13,50%;13,50%;12,73%;10,04%;0,22%;-2,12%;4,33%;6,59%;6,29%
CAGR Lucros 5 anos;-6,94%;-4,21%;-5,47%;9,95%;16,23%;6,52%;23,85%;17,06%;10,23%
