;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;9,05%;4,74%;14,09%;5,91%;2,36%;3,59%;3,82%;5,10%;8,31%
Div;1.452138;0.829964;2.651708;2.773903;1.062714;0.986065;0.947055;2.133951;2.216315
P/L;12,17;15,23;9,32;7,86;8,19;10,71;15,17;10,46;7,40
PEG Ratio;0,19;-;-;-;-;-;-;1,50;0,01
P/VP;1,52;1,94;1,69;2,17;2,47;1,78;1,70;1,54;1,05
EV/EBITDA;5,82;5,65;3,34;4,54;5,41;6,71;8,58;-;-
EV/EBIT;7,47;7,52;5,75;4,86;5,82;7,74;10,21;7,53;5,86
P/EBITDA;3,34;3,85;2,50;3,71;4,22;5,81;7,11;-;-
P/EBIT;4,28;5,13;4,31;3,98;4,54;6,70;8,46;6,06;4,44
VPA;10,56;9,02;11,11;21,65;18,25;15,43;14,61;27,26;25,41
P/Ativo;0,39;0,44;0,53;0,67;0,68;0,61;0,68;0,69;0,50
LPA;1,32;1,15;2,02;5,97;5,50;2,56;1,63;4,00;3,60
P/SR;0,84;0,99;0,91;1,05;1,38;1,35;1,55;1,41;1,19
P/Cap. Giro;2,52;3,46;2,51;4,08;6,81;2,81;4,51;5,77;4,48
P/Ativo Circ. Liq.;-0,69;-0,84;-0,98;-1,27;-1,12;-1,19;-1,22;-1,26;-0,87
Dív. líquida/PL;1,13;0,91;0,56;0,48;0,69;0,28;0,35;0,37;0,33
Dív. líquida/EBITDA;2,48;1,80;0,83;0,83;1,19;0,90;1,47;-;-
Dív. líquida/EBIT;3,19;2,39;1,44;0,89;1,28;1,04;1,75;1,46;1,42
PL/Ativos;0,26;0,23;0,31;0,31;0,27;0,34;0,40;0,45;0,47
Passivos/Ativos;0,74;0,77;0,67;0,67;0,71;0,63;0,57;0,51;0,49
Liq. corrente;1,55;1,37;1,82;1,53;1,33;1,80;1,51;1,37;1,35
M. Bruta;30,55%;29,57%;28,73%;32,90%;35,54%;27,63%;25,76%;29,96%;30,51%
M. EBITDA;25,22%;25,80%;36,54%;28,19%;32,56%;23,25%;21,85%;-%;-%
M. EBIT;19,65%;19,39%;21,21%;26,32%;30,25%;20,16%;18,37%;23,30%;26,73%
M. Líquida;6,91%;6,53%;9,82%;13,32%;16,79%;12,62%;10,24%;13,50%;16,05%
ROE;12,49%;12,74%;18,18%;27,56%;30,13%;16,62%;11,19%;14,67%;14,18%
ROA;3,20%;2,90%;5,65%;8,52%;8,25%;5,69%;4,48%;6,62%;6,73%
ROIC;11,65%;15,21%;10,41%;24,38%;23,31%;10,82%;9,48%;10,89%;10,76%
Giro ativos;0,46;0,44;0,58;0,64;0,49;0,45;0,44;0,49;0,42
CAGR Receitas 5 anos;20,74%;20,74%;26,43%;33,80%;30,68%;17,07%;15,19%;19,03%;14,69%
CAGR Lucros 5 anos;16,12%;10,34%;18,63%;28,89%;104,16%;31,87%;35,62%;31,88%;56,38%
