;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,47%;3,10%;1,74%;-%;-%;-%;-%;-%;-%
Div;1.042656;0.525289;0.453738;;;;;;
P/L;23,63;22,78;14,72;-89,09;-14,78;-;-;-;-
PEG Ratio;-0,68;-;-;-;-;-;-;-;-
P/VP;2,43;1,82;3,01;1,90;2,13;-;-;-;-
EV/EBITDA;4,71;4,25;5,78;7,29;20,72;-;-;-;-
EV/EBIT;10,80;10,22;15,76;31,89;-25,73;-;-;-;-
P/EBITDA;3,80;3,27;5,36;6,86;21,00;-;-;-;-
P/EBIT;8,71;7,87;14,60;30,02;-26,09;-;-;-;-
VPA;9,58;9,31;8,65;7,14;7,50;116,12;121,95;75,20;-
P/Ativo;0,73;0,54;1,07;0,66;0,80;-;-;-;-
LPA;0,99;0,74;1,77;-0,15;-1,08;-28,41;-18,94;22,39;-
P/SR;2,04;1,78;3,60;2,72;5,50;-;-;-;-
P/Cap. Giro;10,37;7,53;13,85;4,51;3,42;-;-;-;-
P/Ativo Circ. Liq.;-0,94;-0,70;-1,40;-0,93;-1,25;-;-;-;-
Dív. líquida/PL;0,58;0,54;0,24;0,12;-0,03;0,65;0,38;0,95;1,10
Dív. líquida/EBITDA;0,91;0,98;0,42;0,43;-0,29;4,89;1,38;-;-
Dív. líquida/EBIT;2,09;2,35;1,15;1,87;0,36;-4,05;9,48;2,21;7,27
PL/Ativos;0,30;0,30;0,36;0,35;0,38;0,29;0,30;0,31;0,20
Passivos/Ativos;0,70;0,70;0,64;0,65;0,62;0,71;0,69;0,69;0,79
Liq. corrente;1,46;1,47;1,49;2,01;2,92;1,21;1,31;1,00;1,54
M. Bruta;42,45%;41,45%;40,31%;31,12%;6,67%;-0,83%;37,00%;30,40%;28,93%
M. EBITDA;53,60%;54,43%;67,09%;39,62%;26,16%;25,97%;31,22%;-%;-%
M. EBIT;23,37%;22,64%;24,62%;9,06%;-21,06%;-31,34%;4,55%;43,55%;7,91%
M. Líquida;8,62%;7,82%;24,42%;-3,05%;-37,18%;-47,65%;-17,54%;30,30%;-1,99%
ROE;10,29%;8,00%;20,45%;-2,14%;-14,43%;-24,47%;-15,53%;29,77%;-3,80%
ROA;3,08%;2,38%;7,28%;-0,74%;-5,44%;-7,05%;-4,69%;9,13%;-0,76%
ROIC;12,48%;10,84%;-8,25%;3,43%;-4,75%;-8,74%;1,11%;15,85%;3,17%
Giro ativos;0,36;0,30;0,30;0,24;0,15;0,15;0,27;0,30;0,38
CAGR Receitas 5 anos;22,98%;22,98%;29,62%;31,49%;21,63%;18,59%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;24,14%;-%;-%;-%;-%;-%;-%
