;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;11,77%;7,88%;5,07%;4,66%;3,29%;3,75%;1,97%;-%;-%
Div;2.512952;1.140859;0.908829;0.578448;0.432829;0.549748;;;
P/L;29,11;26,05;29,47;17,97;10,76;19,24;11,37;-;-
PEG Ratio;-2,63;-;-;-;-;-;-;-;-
P/VP;3,99;2,53;3,41;1,18;-;1,53;1,74;-;-
EV/EBITDA;3,96;2,29;1,96;3,03;3,37;4,90;-;-;-
EV/EBIT;7,29;5,28;8,08;9,57;8,48;14,54;8,89;-;-
P/EBITDA;4,55;2,76;2,23;3,01;3,37;4,25;-;-;-
P/EBIT;8,38;6,37;9,21;9,50;8,48;12,60;9,32;-;-
VPA;5,35;5,73;5,25;10,49;0,00;9,58;8,99;-;-
P/Ativo;0,89;0,62;0,78;0,53;0,64;0,85;0,98;-;-
LPA;0,73;0,56;0,61;0,69;1,22;0,76;1,38;-;-
P/SR;1,94;1,38;1,82;1,39;1,76;2,05;2,20;-;-
P/Cap. Giro;187,67;-50,78;-25,18;-10,90;-;16,81;-;-;-
P/Ativo Circ. Liq.;-1,18;-0,80;-0,99;-0,65;-;-1,14;-;-;-
Dív. líquida/PL;-0,52;-0,43;-0,42;0,01;-;0,24;0,30;0,07;0,14
Dív. líquida/EBITDA;-0,59;-0,47;-0,27;0,02;0,00;0,65;0,69;-;-
Dív. líquida/EBIT;-1,09;-1,09;-1,12;0,07;0,00;1,94;1,48;0,60;1,33
PL/Ativos;0,22;0,24;0,23;0,45;0,00;0,56;0,56;0,62;0,56
Passivos/Ativos;0,63;0,60;0,62;0,55;0,00;0,44;0,44;0,38;0,44
Liq. corrente;1,02;0,95;0,87;0,79;-;1,25;1,04;0,85;1,05
M. Bruta;53,44%;53,26%;51,76%;50,51%;53,25%;53,69%;57,22%;54,65%;50,71%
M. EBITDA;42,62%;49,82%;81,77%;46,39%;52,32%;48,31%;55,50%;-%;-%
M. EBIT;23,13%;21,63%;19,78%;14,68%;20,80%;16,30%;25,98%;14,24%;11,91%
M. Líquida;6,66%;5,29%;6,18%;7,76%;16,38%;10,68%;20,84%;14,99%;7,60%
ROE;13,71%;9,71%;11,58%;6,58%;-%;7,95%;16,15%;12,86%;6,80%
ROA;3,04%;2,37%;2,67%;2,96%;5,94%;4,43%;8,98%;7,96%;3,79%
ROIC;27,45%;21,62%;18,14%;10,24%;-%;7,97%;11,24%;7,58%;7,08%
Giro ativos;0,46;0,45;0,43;0,38;0,36;0,41;0,43;0,53;0,50
CAGR Receitas 5 anos;7,93%;7,93%;7,02%;5,81%;2,95%;0,15%;-2,28%;-3,14%;-2,86%
CAGR Lucros 5 anos;-13,50%;-17,96%;-10,36%;6,24%;31,56%;-2,43%;18,52%;11,07%;-3,15%
