;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,36%;5,65%;3,34%;2,07%;1,64%;-%;-%;-%;-%
Div;0.140702;0.2682;0.336515;0.261442;0.196081;;;;
P/L;26,23;13,48;18,95;19,38;29,09;-;-;-;-
PEG Ratio;-0,32;-;-;-;-;-;-;-;-
P/VP;1,33;2,10;2,35;3,56;4,43;-;-;-;-
EV/EBITDA;-;4,26;4,63;9,68;13,31;-;-;-;-
EV/EBIT;5,93;6,57;9,86;11,62;18,53;-;-;-;-
P/EBITDA;-;1,30;2,51;6,70;11,15;-;-;-;-
P/EBIT;1,34;2,00;5,34;8,04;15,53;-;-;-;-
VPA;2,43;2,26;4,29;3,55;2,70;-;-;-;-
P/Ativo;0,15;0,25;0,53;0,78;1,15;-;-;-;-
LPA;0,12;0,35;0,53;0,65;0,41;-;-;-;-
P/SR;1,03;1,09;1,83;2,64;4,15;-;-;-;-
P/Cap. Giro;1,09;3,63;4,37;-95,51;3,18;-;-;-;-
P/Ativo Circ. Liq.;-0,21;-0,32;-0,75;-1,04;-2,20;-;-;-;-
Dív. líquida/PL;4,53;4,79;1,99;1,58;0,86;4,12;3,34;1,49;0,85
Dív. líquida/EBITDA;-;2,96;2,13;2,98;2,16;3,26;3,11;2,00;-
Dív. líquida/EBIT;4,58;4,57;4,52;3,58;3,00;5,64;5,60;3,96;0,00
PL/Ativos;0,11;0,12;0,23;0,22;0,26;0,12;0,16;287,37;0,35
Passivos/Ativos;0,89;0,88;0,77;0,78;0,74;0,88;0,84;712,63;0,65
Liq. corrente;1,93;1,52;1,75;0,97;4,09;1,29;1,49;0,86;0,00
M. Bruta;80,21%;63,95%;45,30%;42,59%;36,59%;34,21%;34,10%;33,47%;50,78%
M. EBITDA;-%;84,02%;72,85%;39,34%;37,18%;42,21%;43,55%;46,13%;-%
M. EBIT;76,72%;54,54%;34,24%;32,79%;26,69%;24,42%;24,16%;23,29%;39,48%
M. Líquida;3,93%;8,11%;9,65%;13,61%;14,25%;11,84%;11,70%;12,03%;19,50%
ROE;5,06%;15,60%;12,40%;18,37%;15,24%;35,40%;28,89%;19,42%;11.624,33%
ROA;0,58%;1,88%;2,82%;4,01%;3,95%;4,24%;4,64%;5.581,46%;4.013,00%
ROIC;12,39%;12,50%;11,96%;13,48%;6,60%;8,64%;8,95%;11,43%;8.492,27%
Giro ativos;0,15;0,23;0,29;0,29;0,28;0,36;0,40;464,04;205,76
CAGR Receitas 5 anos;31,14%;31,14%;45,32%;64,03%;571,04%;-%;-%;-%;-%
CAGR Lucros 5 anos;-1,26%;21,86%;39,04%;52,64%;523,40%;-%;-%;-%;-%
