;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;9,36%;3,20%;1,23%;1,24%;2,28%;1,55%;1,07%;6,98%;0,86%
Div;1.1398;0.2737;0.27493;0.12624;0.469672;0.509723;0.510182;;
P/L;13,64;7,24;45,49;-53,97;40,18;103,64;22,72;11,71;24,57
PEG Ratio;0,73;-;-;-;-;-;-;0,23;1,60
P/VP;1,06;0,79;2,28;1,07;1,96;3,17;4,73;2,91;3,76
EV/EBITDA;7,14;4,04;4,88;5,58;8,20;14,96;12,47;7,81;14,20
EV/EBIT;8,52;7,66;14,14;11,98;18,38;37,59;17,47;9,78;19,28
P/EBITDA;3,14;1,42;2,97;2,37;5,19;11,36;11,64;7,81;14,14
P/EBIT;3,74;2,69;8,61;5,09;11,63;28,55;16,31;9,78;19,20
VPA;11,44;10,81;9,84;9,53;10,49;10,37;10,04;8,15;8,74
P/Ativo;0,34;0,25;0,75;0,35;0,64;1,10;2,66;1,84;2,59
LPA;0,89;1,18;0,49;-0,19;0,51;0,32;2,09;2,03;1,34
P/SR;0,61;0,46;1,35;0,69;1,45;2,64;4,12;2,09;3,09
P/Cap. Giro;9,09;2,29;10,20;3,17;5,74;7,05;18,33;28,88;12,72
P/Ativo Circ. Liq.;-0,46;-0,33;-0,97;-0,45;-0,92;-1,56;-3,64;-2,96;-4,43
Dív. líquida/PL;1,36;1,46;1,46;1,44;1,14;1,01;0,34;0,00;0,02
Dív. líquida/EBITDA;4,00;2,62;1,91;3,21;3,01;3,60;0,83;0,00;0,06
Dív. líquida/EBIT;4,78;4,97;5,52;6,89;6,76;9,04;1,16;0,00;0,08
PL/Ativos;0,32;0,31;0,33;0,33;0,33;0,35;0,56;0,63;0,69
Passivos/Ativos;0,67;0,68;0,67;0,67;0,67;0,65;0,44;0,37;0,31
Liq. corrente;1,18;1,75;1,47;1,90;1,59;2,12;2,19;1,20;1,97
M. Bruta;60,66%;61,01%;59,65%;56,57%;54,40%;54,72%;57,34%;54,89%;47,41%
M. EBITDA;19,38%;32,55%;45,27%;29,05%;27,91%;23,23%;35,37%;26,73%;21,83%
M. EBIT;16,25%;17,14%;15,63%;13,53%;12,45%;9,25%;25,25%;21,33%;16,09%
M. Líquida;4,46%;6,38%;2,96%;-1,28%;3,60%;2,55%;18,12%;17,82%;12,57%
ROE;7,80%;10,92%;5,01%;-1,98%;4,88%;3,06%;20,83%;24,89%;15,29%
ROA;2,52%;3,43%;1,64%;-0,64%;1,60%;1,06%;11,72%;15,72%;10,56%
ROIC;9,77%;10,04%;8,72%;7,32%;5,70%;3,27%;18,68%;22,40%;16,03%
Giro ativos;0,56;0,54;0,55;0,50;0,44;0,42;0,65;0,88;0,84
CAGR Receitas 5 anos;8,46%;8,46%;7,30%;6,20%;6,64%;5,62%;8,38%;15,90%;19,56%
CAGR Lucros 5 anos;-17,66%;-11,98%;-25,07%;-%;-15,54%;-25,93%;12,26%;21,39%;31,09%
