;ticket;valor_intrinseco;desconto;preco_inicio;preco_fim;variacao_percentual
0;ALOS3;286.17;-92.06;22.72;17.66;-22.27
1;ABEV3;15.16;-21.7;11.87;11.15;-6.069999999999999
2;ASAI3;4.45;191.01;12.95;5.59;-56.830000000000005
3;AURE3;-1.53;-942.4799999999999;12.89;8.93;-30.72
4;AXIA3;9.79;270.58;36.28;31.35;-13.59
5;AXIA6;9.74;216.84;30.86;27.93;-9.49
6;AZZA3;120.95;-52.15;57.88;28.17;-51.33
7;B3SA3;9.45;37.88;13.03;9.77;-25.019999999999996
8;BBSE3;116.79;-76.57000000000001;27.36;32.51;18.82
9;BBDC3;9.58;29.12;12.37;9.56;-22.720000000000002
10;BBDC4;9.59;44.73;13.88;10.47;-24.57
11;BRAP4;111.72;-83.35000000000001;18.6;14.21;-23.599999999999998
12;BBAS3;290.18;-91.78;23.86;22.97;-3.73
13;BRKM5;0.22;8836.36;19.66;12.19;-38.0
14;BRAV3;13.54;94.39;26.32;20.72;-21.279999999999998
15;BPAC11;44.04;-21.68;34.49;27.8;-19.400000000000002
16;CXSE3;27.53;-61.82;10.51;13.59;29.310000000000002
17;CEAB3;0.05;14719.999999999998;7.41;8.94;20.65
18;CMIG4;57.04;-88.78;6.4;9.73;52.03
19;COGN3;-1.11;-363.96000000000004;2.93;0.93;-68.26
20;CSMG3;67.73;-75.74;16.43;20.17;22.759999999999998
21;CPLE3;2.25;262.67;8.16;7.88;-3.4299999999999997
22;CSAN3;2.54;610.24;18.04;8.52;-52.769999999999996
23;CPFE3;127.64;-70.03;38.26;32.51;-15.03
24;CMIN3;15.04;-61.24000000000001;5.83;4.71;-19.21
25;CURY3;55.05;-74.35000000000001;14.12;16.12;14.16
26;CYRE3;16.52;24.759999999999998;20.61;15.88;-22.95
27;DIRR3;45.9;-88.17;5.43;7.66;41.07
28;ENGI11;54.75;-24.13;41.54;32.58;-21.57
29;ENEV3;0.28;4746.43;13.57;11.24;-17.169999999999998
30;EGIE3;103.94;-72.88;28.19;25.1;-10.96
31;EQTL3;11.97;172.51000000000002;32.62;27.31;-16.28
32;FLRY3;5.85;163.25;15.4;11.23;-27.08
33;GGBR4;87.62;-79.95;17.57;18.56;5.63
34;GOAU4;22.86;-68.28999999999999;7.25;7.96;9.790000000000001
35;HAPV3;-0.49;-13385.710000000001;65.1;35.7;-45.16
36;HYPE3;33.16;-3.9800000000000004;31.84;16.88;-46.98
37;IGTI11;4.18;439.22999999999996;22.54;17.65;-21.69
38;IRBR3;-6.9;-818.12;49.55;37.59;-24.14
39;ISAE4;45.33;-50.21;22.57;21.1;-6.510000000000001
40;ITSA4;21.02;-64.7;7.42;7.4;-0.27
41;ITUB4;62.83;-62.45;23.59;24.48;3.7699999999999996
42;KLBN11;34.51;-52.739999999999995;16.31;21.14;29.609999999999996
43;RENT3;12.65;353.52000000000004;57.37;32.02;-44.190000000000005
44;LREN3;7.17;94.14;13.92;12.53;-9.99
45;MGLU3;-0.48;-3883.33;18.16;6.75;-62.83
46;POMO4;39.48;-89.69;4.07;5.78;42.01
47;MBRF3;-4.24;-293.87;8.22;16.8;104.38000000000001
48;BEEF3;13.02;-45.62;7.08;5.39;-23.87
49;MRVE3;-0.26;-4288.46;10.89;5.54;-49.13
50;MULT3;20.32;28.79;26.17;20.9;-20.14
51;PCAR3;-6.72;-157.73999999999998;3.88;2.41;-37.89
52;PETR3;328.36;-91.33;28.47;34.7;21.88
53;PETR4;575.56;-95.37;26.67;31.88;19.54
54;RECV3;30.31;-43.580000000000005;17.1;14.92;-12.75
55;PRIO3;166.31;-72.61999999999999;45.54;40.27;-11.57
56;PSSA3;43.34;-41.49;25.36;35.06;38.25
57;RADL3;13.74;97.02;27.07;21.8;-19.470000000000002
58;RAIZ4;0.28;1282.14;3.87;2.29;-40.83
59;RDOR3;15.51;56.61000000000001;24.29;24.31;0.08
60;RAIL3;3.9;452.82;21.56;17.87;-17.119999999999997
61;SBSP3;76.67;-14.26;65.74;79.83;21.43
62;SANB11;17.05;61.23;27.49;22.56;-17.93
63;CSNA3;-1.24;-1438.71;16.6;9.3;-43.980000000000004
64;SLCE3;22.82;-36.68;14.45;15.09;4.43
65;SMFT3;30.26;-22.57;23.43;17.4;-25.740000000000002
66;SUZB3;246.13;-79.24;51.09;58.36;14.23
67;TAEE11;43.55;-28.82;31.0;30.83;-0.5499999999999999
68;VIVT3;24.6;-3.82;23.66;23.12;-2.2800000000000002
69;TIMS3;5.22;181.8;14.71;12.98;-11.76
70;TOTS3;22.44;42.78;32.04;27.11;-15.39
71;UGPA3;59.44;-61.46;22.91;15.01;-34.48
72;USIM5;10.35;-17.78;8.51;5.43;-36.19
73;VALE3;180.2;-66.57;60.24;48.26;-19.89
74;VAMO3;4.52;91.81;8.67;4.79;-44.75
75;VBBR3;101.12;-83.03;17.16;15.99;-6.819999999999999
76;VIVA3;39.92;-22.09;31.1;20.16;-35.18
77;WEGE3;33.89;-0.62;33.68;52.58;56.120000000000005
78;YDUQ3;4.14;394.93;20.49;7.97;-61.1
