;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;5,59%;8,43%;1,95%;2,26%;1,05%;-%;0,91%;-%;-%
Div;1.59;1.53;0.52;0.39;0.23;;;;
P/L;19.06;14.08;4.5;29.0;20.94;45.85;;;
PEG Ratio;-9,89;-;-;-;-;-;-;-;-
P/VP;1,07;0,74;1,09;0,66;0,85;1,18;-;-;-
EV/EBITDA;7,46;3,14;1,59;3,18;7,09;13,31;-;-;-
EV/EBIT;7,18;4,45;2,42;4,17;9,20;19,89;-;-;-
P/EBITDA;9,36;4,78;1,85;7,33;9,05;16,20;-;-;-
P/EBIT;9,01;6,77;2,82;9,63;11,75;24,21;-;-;-
VPA;26,62;24,62;24,39;25,61;25,39;24,63;-;-;-
P/Ativo;0,54;0,36;0,55;0,37;0,52;0,71;-;-;-
LPA;1.49;1.29;5.9;0.59;1.03;0.64;;;
P/SR;5,07;3,59;5,62;4,07;6,14;9,72;-;-;-
P/Cap. Giro;5,61;4,90;9,03;2,01;5,49;5,58;-;-;-
P/Ativo Circ. Liq.;-0,63;-0,43;-0,64;-0,50;-0,62;-0,85;-;-;-
Dív. líquida/PL;-0,22;-0,25;-0,15;-0,38;-0,18;-0,21;-0,19;0,18;0,20
Dív. líquida/EBITDA;-1,90;-1,64;-0,26;-4,16;-1,96;-2,89;-3,64;-;-
Dív. líquida/EBIT;-1,83;-2,32;-0,39;-5,46;-2,54;-4,32;-4,72;0,87;1,38
PL/Ativos;0,51;0,49;0,51;0,55;0,61;0,60;0,59;0,50;0,49
Passivos/Ativos;0,46;0,48;0,45;0,36;0,30;0,30;0,31;0,29;0,32
Liq. corrente;3,06;1,89;1,79;3,22;2,44;4,37;6,44;1,35;1,61
M. Bruta;75,35%;73,76%;69,51%;72,11%;67,92%;66,20%;73,08%;79,04%;76,58%
M. EBITDA;54,16%;75,07%;303,54%;55,46%;67,86%;59,99%;44,39%;-%;-%
M. EBIT;56,25%;53,04%;199,56%;42,25%;52,26%;40,15%;34,18%;149,77%;107,76%
M. Líquida;26,60%;25,49%;124,88%;14,03%;29,31%;21,20%;2,96%;50,59%;39,01%
ROE;5,59%;5,23%;24,20%;2,29%;4,07%;2,58%;0,34%;6,84%;5,35%
ROA;2,85%;2,56%;12,25%;1,27%;2,47%;1,55%;0,20%;3,44%;2,60%
ROIC;10,65%;10,24%;18,47%;5,54%;6,00%;3,37%;2,74%;8,91%;6,87%
Giro ativos;0,11;0,10;0,10;0,09;0,08;0,07;0,07;0,07;0,07
CAGR Receitas 5 anos;29,82%;29,82%;48,62%;25,65%;22,33%;19,22%;18,45%;6,29%;6,68%
CAGR Lucros 5 anos;102,53%;99,64%;78,05%;2,40%;23,34%;11,73%;-32,48%;-3,48%;-5,69%
