;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,62%;29,83%;-%;-%;-%;-%;0,02%;1,49%;0,22%
Div;0.05;0.47;;;;;0.01;0.27;0.06
P/L;8.48;7.49;-5.46;-15.25;-38.7;-117.9;-243.95;611.31;26.9
PEG Ratio;-0,02;-;-;-;-;-;-;-6,28;0,09
P/VP;0,57;0,28;0,63;0,56;1,42;1,93;3,39;2,07;3,29
EV/EBITDA;5,34;4,60;11,53;6,06;11,27;23,66;18,27;17,07;17,83
EV/EBIT;5,27;5,73;11,43;15,25;28,22;41,34;28,37;41,07;28,44
P/EBITDA;1,38;0,62;3,46;1,64;4,82;23,47;12,56;14,80;16,66
P/EBIT;1,36;0,78;3,43;4,12;12,07;41,01;19,51;35,60;26,58
VPA;5,83;5,63;7,07;6,84;5,90;18,61;8,79;8,22;8,60
P/Ativo;0,13;0,07;0,19;0,15;0,34;1,06;0,98;0,95;1,71
LPA;0.39;0.21;-0.82;-0.25;-0.22;-0.31;-0.12;0.03;1.05
P/SR;0,34;0,17;0,48;0,44;1,28;3,41;1,98;1,25;2,19
P/Cap. Giro;1,10;0,57;23,00;2,79;44,17;2,91;20,17;7,79;12,15
P/Ativo Circ. Liq.;-0,18;-0,08;-0,23;-0,19;-0,40;-1,96;-1,20;-1,33;-2,47
Dív. líquida/PL;1,63;1,78;1,47;1,52;1,91;0,02;1,54;0,32;0,23
Dív. líquida/EBITDA;3,96;3,97;8,07;4,42;6,45;0,19;5,71;2,27;1,16
Dív. líquida/EBIT;3,91;4,95;7,99;11,12;16,16;0,33;8,86;5,47;1,86
PL/Ativos;0,23;0,23;0,30;0,26;0,24;0,55;0,29;0,46;0,52
Passivos/Ativos;0,71;0,71;0,70;0,70;0,76;0,45;0,71;0,54;0,48
Liq. corrente;1,92;2,16;1,05;1,31;1,06;4,78;1,34;1,76;1,85
M. Bruta;62,16%;61,86%;59,31%;57,66%;52,85%;51,80%;43,16%;35,86%;38,17%
M. EBITDA;24,53%;26,87%;13,94%;26,69%;26,56%;14,52%;15,77%;8,43%;13,15%
M. EBIT;24,85%;21,57%;14,06%;10,61%;10,61%;8,31%;10,15%;3,51%;8,24%
M. Líquida;3,99%;2,24%;-8,83%;-2,87%;-3,31%;-2,89%;-0,81%;0,20%;8,14%
ROE;6,70%;3,74%;-11,54%;-3,70%;-3,68%;-1,64%;-1,39%;0,34%;12,23%
ROA;1,56%;0,88%;-3,41%;-0,95%;-0,89%;-0,90%;-0,40%;0,16%;6,36%
ROIC;11,61%;9,77%;6,48%;-0,56%;3,08%;2,96%;6,03%;3,48%;5,07%
Giro ativos;0,39;0,39;0,39;0,33;0,27;0,31;0,49;0,76;0,78
CAGR Receitas 5 anos;26,33%;26,33%;27,63%;27,79%;22,51%;11,24%;11,24%;19,04%;26,43%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-43,28%;29,36%
