;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;9,84%;3,77%;2,99%;2,35%;1,21%;0,78%;2,51%;2,33%;3,76%
Div;2.48;1.11;1.93;1.84;0.93;0.53;1.61;1.28;2.06
P/L;6.9;17.87;17.93;20.3;22.16;139.82;35.64;34.65;31.46
PEG Ratio;0,16;-;-;-;-;-;-;-4,53;0,95
P/VP;0,62;0,79;2,45;3,25;4,81;5,04;7,75;6,95;7,31
EV/EBITDA;4,35;7,48;15,85;11,94;13,79;39,64;18,73;-;-
EV/EBIT;10,91;20,82;13,41;15,54;16,91;74,54;25,47;25,19;27,09
P/EBITDA;3,00;5,72;15,15;12,04;13,32;39,22;19,05;-;-
P/EBIT;7,54;15,92;12,82;15,67;16,33;73,75;25,90;25,84;27,99
VPA;40,43;37,30;26,39;24,08;15,96;13,54;8,26;7,92;7,49
P/Ativo;0,33;0,40;1,20;1,85;2,27;2,40;4,09;4,73;4,63
LPA;3.65;1.65;3.6;3.85;3.47;0.49;1.8;1.59;1.74
P/SR;0,43;0,73;1,48;2,04;2,62;4,27;3,44;3,24;3,57
P/Cap. Giro;1,60;2,64;11,50;11,53;59,86;10,40;11,20;8,43;9,75
P/Ativo Circ. Liq.;-0,60;-0,73;-2,34;-3,79;-4,45;-5,36;-13,36;-24,34;-24,96
Dív. líquida/PL;0,28;0,24;0,11;-0,03;0,17;0,05;-0,13;-0,17;-0,23
Dív. líquida/EBITDA;1,35;1,76;0,70;-0,10;0,47;0,42;-0,32;-;-
Dív. líquida/EBIT;3,38;4,90;0,59;-0,14;0,58;0,79;-0,43;-0,65;-0,90
PL/Ativos;0,54;0,50;0,49;0,57;0,47;0,48;0,53;0,68;0,63
Passivos/Ativos;0,46;0,49;0,51;0,43;0,53;0,52;0,47;0,32;0,37
Liq. corrente;1,90;1,51;1,27;1,46;1,08;1,72;2,11;3,29;2,40
M. Bruta;54,57%;53,28%;54,24%;53,94%;52,63%;47,47%;46,19%;46,55%;45,85%
M. EBITDA;14,47%;12,75%;9,76%;16,92%;19,64%;10,89%;18,07%;-%;-%
M. EBIT;5,76%;4,58%;11,53%;12,99%;16,02%;5,79%;13,29%;12,53%;12,76%
M. Líquida;6,30%;4,08%;8,24%;10,03%;11,81%;3,05%;9,66%;9,34%;11,35%
ROE;9,02%;4,44%;13,64%;16,00%;21,70%;3,60%;21,73%;20,05%;23,23%
ROA;4,85%;2,24%;6,68%;9,12%;10,26%;1,72%;11,47%;13,65%;14,71%
ROIC;-1,84%;-1,24%;11,22%;16,35%;19,20%;4,34%;19,45%;19,92%;17,15%
Giro ativos;0,77;0,55;0,81;0,91;0,87;0,56;1,19;1,46;1,30
CAGR Receitas 5 anos;37,92%;37,92%;25,99%;25,49%;18,73%;7,26%;9,79%;9,65%;9,60%
CAGR Lucros 5 anos;35,96%;16,08%;22,87%;22,42%;24,34%;-16,50%;7,54%;5,23%;9,78%
