;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;7,96%;9,64%;9,93%;2,80%;5,34%;2,61%;5,68%;2,97%;3,18%
Div;1.45;1.12;1.69;0.42;1.03;0.71;2.06;1.15;1.08
P/L;8.92;7.01;12.54;7.53;7.99;15.01;13.87;15.66;12.1
PEG Ratio;0,20;-;-;-;-;-;-;-5,30;-2,69
P/VP;1,10;0,73;1,09;1,01;1,25;1,68;2,18;2,14;1,87
EV/EBITDA;-;-;-;-;-;-;15,66;-;-
EV/EBIT;9,64;6,99;16,87;6,19;5,24;55,87;21,16;12,53;8,48
P/EBITDA;-;-;-;-;-;-;16,13;-;-
P/EBIT;10,38;7,28;17,82;6,56;5,68;59,07;21,80;13,36;8,71
VPA;16,58;15,82;15,63;14,97;15,41;16,20;16,58;18,02;18,08
P/Ativo;0,09;0,06;0,09;0,09;0,11;0,18;0,25;0,23;0,20
LPA;2.04;1.65;1.36;2.01;2.41;1.81;2.61;2.47;2.8
P/SR;0,76;0,58;0,81;0,78;1,49;2,45;2,35;2,31;1,50
P/Cap. Giro;0,94;0,64;1,06;1,43;3,27;1,39;-3,13;-3,30;-1,47
P/Ativo Circ. Liq.;-0,10;-0,07;-0,10;-0,10;-0,12;-0,20;-0,51;-0,50;-0,40
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-;-;-;-;-;-;-;-;-
PL/Ativos;0,08;0,08;0,09;0,09;0,11;0,11;0,10;0,10;0,10
Passivos/Ativos;0,92;0,92;0,91;0,91;1,07;1,06;0,90;0,90;0,90
Liq. corrente;10,67;12,81;12,02;9,46;5,00;5,75;0,16;-;-
M. Bruta;30,41%;32,33%;30,33%;36,48%;56,06%;50,65%;52,84%;50,91%;45,14%
M. EBITDA;-%;-%;-%;-%;-%;-%;14,55%;-%;-%
M. EBIT;7,36%;7,93%;4,55%;11,96%;26,19%;4,14%;10,76%;17,27%;17,23%
M. Líquida;8,56%;8,23%;6,46%;10,42%;18,64%;16,29%;16,91%;14,74%;12,40%
ROE;12,29%;10,42%;8,72%;13,45%;15,61%;11,01%;15,56%;13,34%;14,56%
ROA;0,98%;0,85%;0,75%;1,19%;1,65%;1,17%;1,53%;1,27%;1,40%
ROIC;-%;-%;-%;-%;-%;-%;-%;-%;-%
Giro ativos;0,11;0,10;0,12;0,11;0,09;0,07;0,09;0,09;0,11
CAGR Receitas 5 anos;11,40%;11,40%;14,80%;8,37%;-5,09%;-3,00%;4,51%;7,69%;9,90%
CAGR Lucros 5 anos;0,54%;-3,56%;-2,65%;4,66%;5,49%;-2,43%;6,54%;5,99%;8,64%
