;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;11,79%;7,33%;10,36%;5,83%;4,80%;9,40%;4,20%;11,23%;5,77%
Div;4.26;2.65;3.48;1.97;1.0;2.79;1.58;3.1;1.64
P/L;8.03;8.31;8.47;10.88;10.55;15.39;11.32;15.59;14.07
PEG Ratio;1,41;-;-;-;-;-;-;-1,24;15,96
P/VP;5,62;7,46;6,86;8,39;5,70;9,27;14,37;8,08;6,40
EV/EBITDA;-;-;-;-;-;-;-;-;-
EV/EBIT;7,30;7,42;7,56;9,37;8,41;12,39;8,77;12,50;12,14
P/EBITDA;-;-;-;-;-;-;-;-;-
P/EBIT;7,30;7,42;7,56;9,37;8,41;12,39;8,77;12,50;12,14
VPA;6,43;4,85;4,91;4,02;3,64;3,19;2,62;3,42;4,45
P/Ativo;3,54;3,35;3,68;4,07;3,12;5,44;5,05;4,03;4,27
LPA;4.5;4.35;3.97;3.1;1.97;1.93;3.33;1.77;2.02
P/SR;-;-;-;-;-;-;-;-;-
P/Cap. Giro;14,52;44,45;147,70;94,57;36,84;77,41;144,30;35,07;33,18
P/Ativo Circ. Liq.;-6,14;-6,18;-5,45;-7,21;-5,07;-8,14;-12,18;-8,51;-6,83
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-;-;-;-;-;-;-;-;-
PL/Ativos;0,63;0,45;0,54;0,50;0,55;0,59;0,35;0,50;0,67
Passivos/Ativos;0,37;0,55;0,46;0,53;0,45;0,41;0,65;0,50;0,33
Liq. corrente;2,35;1,20;1,08;1,11;1,28;1,27;1,06;1,28;1,52
M. Bruta;-%;-%;-%;-%;-%;-%;-%;-%;-%
M. EBITDA;-%;-%;-%;-%;-%;-%;-%;-%;-%
M. EBIT;-%;-%;-%;-%;-%;-%;-%;-%;-%
M. Líquida;-%;-%;-%;-%;-%;-%;-%;-%;-%
ROE;69,93%;89,77%;80,96%;77,10%;54,02%;60,27%;126,86%;51,82%;45,50%
ROA;44,03%;40,26%;43,49%;38,42%;29,54%;35,33%;44,61%;25,87%;30,37%
ROIC;-%;-%;-%;-%;-%;-%;-%;-%;-%
Giro ativos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
CAGR Receitas 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;6,21%;5,50%;17,56%;8,88%;-0,41%;-1,76%;14,01%;7,43%;-%
