;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,86%;-%;7,37%;4,33%;10,18%;2,95%;-%;-%;2,48%
Div;0.16;;0.55;0.56;1.08;0.3;;;0.26
P/L;-7.07;-1.98;10.77;12.06;10.74;8.01;299.39;-0.88;-8.71
PEG Ratio;0,00;-;-;-;-;-;-;0,00;0,04
P/VP;4,46;-6,46;26,01;15,53;9,83;6,65;-17,17;-3,71;34,44
EV/EBITDA;3,58;5,18;4,85;5,13;5,26;-;-;-;-
EV/EBIT;4,83;7,71;6,54;6,01;6,16;-;-;-;-
P/EBITDA;1,18;0,86;1,64;2,77;2,70;2,66;2,80;-;-
P/EBIT;1,59;1,27;2,21;3,25;3,16;3,11;3,31;1,65;2,47
VPA;1,29;-0,79;0,29;0,83;1,08;1,53;-0,75;-1,35;0,31
P/Ativo;0,13;0,07;0,16;0,37;0,32;0,33;0,37;0,09;0,21
LPA;-0.81;-2.57;0.69;1.07;0.99;1.27;0.04;-5.66;-1.22
P/SR;0,11;0,09;0,17;0,25;0,24;0,29;0,28;0,07;0,20
P/Cap. Giro;0,78;0,39;0,54;1,62;0,99;1,14;1,83;0,52;0,72
P/Ativo Circ. Liq.;-0,34;-0,17;-0,43;-0,94;-1,02;-0,99;-0,97;-0,24;-0,54
Dív. líquida/PL;9,13;-;50,91;13,21;9,33;6,17;-;-;81,60
Dív. líquida/EBITDA;2,41;4,33;3,21;2,36;2,56;2,46;3,48;-;-
Dív. líquida/EBIT;3,25;6,43;4,33;2,76;3,00;2,89;4,11;9,00;5,86
PL/Ativos;0,03;-0,01;0,01;0,02;0,03;0,05;-0,02;-0,02;0,01
Passivos/Ativos;0,96;1,00;0,98;0,95;0,97;0,95;1,02;1,02;0,99
Liq. corrente;1,35;1,48;1,86;1,60;1,90;1,76;1,47;1,36;1,86
M. Bruta;17,94%;20,56%;20,50%;18,52%;17,23%;19,76%;19,23%;17,57%;18,48%
M. EBITDA;9,55%;10,59%;10,29%;9,16%;8,83%;10,83%;10,08%;-%;-%
M. EBIT;7,08%;7,13%;7,62%;7,82%;7,55%;9,24%;8,54%;4,16%;8,18%
M. Líquida;-1,59%;-4,58%;1,57%;2,11%;2,22%;3,59%;0,09%;-7,80%;-2,32%
ROE;-63,09%;-325,66%;241,46%;128,75%;91,55%;82,98%;-5,74%;-420,03%;-395,38%
ROA;-1,80%;-3,70%;1,47%;3,05%;2,98%;4,12%;0,12%;-9,86%;-2,36%
ROIC;12,71%;7,86%;7,90%;14,54%;14,38%;13,90%;12,88%;1,28%;9,40%
Giro ativos;1,13;0,81;0,94;1,45;1,34;1,15;1,29;1,26;1,02
CAGR Receitas 5 anos;14,75%;14,75%;10,65%;20,68%;22,82%;15,30%;19,63%;24,34%;22,54%
CAGR Lucros 5 anos;-%;-%;-%;-%;25,18%;-%;-%;-%;-%
