;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;0,27%;0,34%
Div;;;;;;;;0.01;0.03
P/L;-1.29;-0.17;-0.41;-11.22;-28.26;25.71;-10.09;-21.24;52.51
PEG Ratio;0,12;0,02;-;-;-;-;-;0,09;-0,17
P/VP;0,64;0,08;0,31;0,73;1,49;4,32;25,02;2,79;3,69
EV/EBITDA;16,05;12,87;-;5,00;-;-;-;-;-
EV/EBIT;-18,63;-14,95;-6,43;9,64;-;-;-;-;-
P/EBITDA;3,67;0,49;-;1,71;13,87;10,42;-70,19;8,79;7,64
P/EBIT;-4,26;-0,57;-0,93;3,30;-24,47;15,94;-13,88;16,07;9,83
VPA;4,96;34,10;36,33;3,31;3,53;3,74;0,45;1,57;2,15
P/Ativo;0,07;0,01;0,03;0,11;0,24;0,78;0,59;0,23;0,52
LPA;-2.44;-16.75;-27.61;-0.21;-0.19;0.63;-1.11;-0.21;0.15
P/SR;0,08;0,01;0,04;0,12;0,27;0,89;0,56;0,21;0,40
P/Cap. Giro;-0,51;-0,07;-0,20;-1,46;-39,40;34,37;-4,41;-2,73;-4,94
P/Ativo Circ. Liq.;-0,11;-0,01;-0,06;-0,21;-0,50;-1,87;-1,21;-0,52;-1,36
Dív. líquida/PL;2,15;2,15;1,85;1,39;1,36;1,02;7,85;0,27;0,06
Dív. líquida/EBITDA;12,38;12,38;-;3,29;12,63;2,47;-22,02;1,07;0,13
Dív. líquida/EBIT;-14,38;-14,38;-5,50;6,34;-22,28;3,78;-4,35;1,95;0,16
PL/Ativos;0,10;0,10;0,11;0,15;0,16;0,18;0,02;0,12;0,15
Passivos/Ativos;0,90;0,90;0,89;0,85;0,84;0,82;0,98;0,88;0,85
Liq. corrente;0,76;0,76;0,71;0,87;0,99;1,04;0,79;0,91;0,87
M. Bruta;30,06%;30,06%;27,92%;29,82%;30,19%;32,75%;28,62%;29,33%;31,84%
M. EBITDA;2,11%;2,11%;-%;7,25%;1,96%;8,57%;-0,80%;2,40%;5,22%
M. EBIT;-1,82%;-1,82%;-4,02%;3,76%;-1,11%;5,60%;-4,06%;1,31%;4,06%
M. Líquida;-5,98%;-5,98%;-9,10%;-1,11%;-0,96%;3,47%;-5,59%;-0,99%;0,76%
ROE;-49,14%;-49,14%;-76,00%;-6,47%;-5,27%;16,79%;-247,92%;-10,58%;6,59%
ROA;-5,11%;-5,11%;-8,20%;-0,96%;-0,84%;3,04%;-5,87%;-1,27%;0,98%
ROIC;-11,40%;-11,40%;-22,06%;2,86%;-10,66%;10,20%;-24,90%;3,35%;13,41%
Giro ativos;0,85;0,85;0,90;0,87;0,87;0,87;1,05;1,28;1,29
CAGR Receitas 5 anos;1,39%;1,39%;1,39%;3,76%;9,29%;8,45%;2,50%;4,36%;5,72%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;135,03%;-%;-%;-9,47%
