;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,65%;3,16%;2,07%;2,74%;4,10%;1,29%;1,85%;2,86%;-%
Div;1.39;0.86;0.78;0.66;0.86;1.21;1.41;0.67;
P/L;14.22;9.71;14.45;12.14;9.26;25.91;17.84;16.46;8.36
PEG Ratio;0,48;-;-;-;-;-;-;-0,43;-0,15
P/VP;2,93;1,75;2,78;2,17;2,15;3,19;3,14;1,12;0,94
EV/EBITDA;-;7,55;9,67;9,34;9,01;47,45;15,59;54,03;13,87
EV/EBIT;11,51;8,14;12,37;9,56;8,77;83,41;13,76;42,80;10,96
P/EBITDA;-;7,55;9,67;9,34;9,01;47,45;15,59;54,03;13,87
P/EBIT;11,51;8,14;12,37;9,56;8,77;83,41;13,76;42,80;10,96
VPA;17,94;15,56;13,55;11,05;9,75;29,51;24,25;21,02;20,29
P/Ativo;0,29;0,16;0,29;0,25;0,25;0,34;0,38;0,13;0,11
LPA;3.7;2.8;2.6;1.97;2.27;3.63;4.27;1.43;2.27
P/SR;5,25;3,01;5,86;4,07;4,80;6,44;6,01;2,82;2,31
P/Cap. Giro;-0,40;22,15;-0,37;8,84;5,60;9,01;3,58;2,70;0,96
P/Ativo Circ. Liq.;-0,30;-0,16;-0,29;-2,87;-3,45;-1,15;-1,53;-0,39;-0,32
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-;-;-;-;-;-;-;-;-
PL/Ativos;0,10;0,09;0,12;0,12;0,12;0,11;0,12;0,14;0,16
Passivos/Ativos;0,89;0,90;0,99;1,09;0,88;0,89;0,88;0,86;0,84
Liq. corrente;0,01;0,01;0,01;0,01;1,10;0,92;1,16;-;-
M. Bruta;47,69%;38,87%;90,74%;79,36%;33,71%;-7,36%;31,18%;-11,15%;21,91%
M. EBITDA;-%;39,87%;60,58%;43,62%;53,23%;13,57%;38,56%;5,22%;16,66%
M. EBIT;45,56%;37,00%;47,38%;42,61%;54,68%;7,72%;43,67%;6,59%;21,07%
M. Líquida;36,88%;31,00%;40,54%;33,57%;51,82%;24,86%;33,69%;17,14%;27,62%
ROE;20,60%;18,00%;19,21%;16,84%;23,27%;12,29%;17,59%;6,75%;11,02%
ROA;2,06%;1,66%;2,26%;2,05%;2,73%;1,30%;2,13%;0,97%;1,76%
ROIC;-%;-%;-%;-%;-%;-%;-%;-%;-%
Giro ativos;0,06;0,05;0,06;0,06;0,05;0,05;0,06;0,06;0,06
CAGR Receitas 5 anos;25,49%;25,49%;26,97%;24,68%;5,25%;2,49%;-0,86%;-3,31%;-1,50%
CAGR Lucros 5 anos;30,46%;23,42%;50,83%;29,63%;12,94%;34,81%;12,13%;-12,39%;-0,63%
