;2025;2024;2023;2022;2021;2020
D.Y;-%;-%;6,78%;3,32%;-%;-%
Div;;;0.35;0.38;;
P/L;19.97;-16.9;-3.35;7.93;10.96;
PEG Ratio;-0,15;-;-;-;-;-
P/VP;1,03;0,81;0,68;1,35;1,81;-
EV/EBITDA;3,51;4,13;7,39;5,15;5,14;-
EV/EBIT;9,48;9,61;-6,44;7,68;7,02;-
P/EBITDA;2,09;1,99;3,94;4,08;4,40;-
P/EBIT;5,65;4,63;-3,43;6,08;6,02;-
VPA;6,95;5,81;7,48;8,55;7,55;-
P/Ativo;0,34;0,22;0,22;0,56;0,68;-
LPA;0.36;-0.28;-1.52;1.46;1.25;
P/SR;0,53;0,37;0,41;0,78;0,97;-
P/Cap. Giro;2,02;1,38;1,08;3,30;3,55;-
P/Ativo Circ. Liq.;-0,50;-0,33;-0,35;-0,86;-1,08;-
Dív. líquida/PL;0,70;0,87;0,60;0,36;0,30;0,48
Dív. líquida/EBITDA;1,42;2,14;3,45;1,07;0,74;1,99
Dív. líquida/EBIT;3,83;4,98;-3,01;1,60;1,01;3,98
PL/Ativos;0,33;0,27;0,33;0,42;0,38;0,32
Passivos/Ativos;0,66;0,71;0,65;0,57;0,61;0,67
Liq. corrente;2,01;1,94;2,36;1,95;2,06;1,71
M. Bruta;9,04%;10,52%;1,03%;18,69%;19,28%;10,72%
M. EBITDA;25,19%;18,78%;10,50%;19,13%;21,96%;15,94%
M. EBIT;9,32%;8,07%;-12,06%;12,83%;16,07%;7,96%
M. Líquida;2,64%;-2,21%;-12,35%;9,83%;8,82%;-17,15%
ROE;5,18%;-4,77%;-20,36%;17,03%;16,51%;-26,04%
ROA;1,69%;-1,31%;-6,69%;7,07%;6,21%;-8,28%
ROIC;6,92%;0,44%;-16,85%;11,33%;16,96%;-5,78%
Giro ativos;0,64;0,59;0,54;0,72;0,70;0,48
CAGR Receitas 5 anos;9,20%;9,20%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%
