;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;5,24%;8,72%;7,49%;9,77%;13,80%;5,53%;1,35%;0,95%;1,13%
Div;2.79;2.76;2.89;3.25;3.7;1.8;0.48;0.27;0.22
P/L;11.27;6.67;8.03;7.5;6.51;10.29;13.39;14.27;16.7
PEG Ratio;-16,36;-;-;-;-;-;-;0,19;0,54
P/VP;2,71;1,76;2,35;2,35;2,04;2,69;2,78;2,86;2,20
EV/EBITDA;6,29;4,66;3,69;4,81;5,52;7,46;8,18;8,49;7,53
EV/EBIT;7,70;5,69;6,17;5,77;6,82;9,89;11,10;11,84;10,98
P/EBITDA;4,58;2,75;2,51;3,12;3,38;5,53;5,66;5,21;4,05
P/EBIT;5,61;3,36;4,19;3,74;4,17;7,33;7,68;7,26;5,91
VPA;19,67;17,99;16,38;14,11;13,14;12,09;12,77;10,08;8,80
P/Ativo;0,74;0,47;0,59;0,54;0,47;0,76;0,82;0,70;0,48
LPA;4.73;4.74;4.8;4.43;4.12;3.16;2.66;2.02;1.16
P/SR;1,38;0,85;1,12;0,97;0,79;1,21;1,21;1,04;0,74
P/Cap. Giro;603,84;-44,44;-25,94;127,15;11,72;-63,13;131,72;29,75;-10,96
P/Ativo Circ. Liq.;-0,96;-0,60;-0,78;-0,68;-0,61;-1,06;-1,07;-0,90;-0,62
Dív. líquida/PL;1,01;1,22;1,11;1,28;1,30;0,94;1,24;1,80;1,89
Dív. líquida/EBITDA;1,71;1,91;1,18;1,69;2,14;1,93;2,52;3,28;3,48
Dív. líquida/EBIT;2,09;2,33;1,98;2,03;2,65;2,56;3,42;4,57;5,07
PL/Ativos;0,27;0,27;0,25;0,23;0,23;0,28;0,29;0,24;0,22
Passivos/Ativos;0,71;0,72;0,73;0,75;0,75;0,71;0,70;0,70;0,73
Liq. corrente;1,01;0,95;0,91;1,02;1,20;0,96;1,03;1,12;0,84
M. Bruta;31,43%;31,83%;34,33%;30,08%;23,61%;22,40%;21,97%;20,58%;18,69%
M. EBITDA;30,14%;31,00%;44,49%;31,16%;23,36%;21,94%;21,36%;20,03%;18,18%
M. EBIT;24,61%;25,41%;26,62%;26,00%;18,89%;16,55%;15,74%;14,37%;12,47%
M. Líquida;12,25%;12,80%;13,91%;12,96%;12,11%;11,79%;9,03%;7,31%;4,41%
ROE;24,04%;26,33%;29,28%;31,37%;31,35%;26,14%;20,80%;20,05%;13,16%
ROA;6,61%;7,08%;7,37%;7,17%;7,18%;7,42%;6,13%;4,88%;2,86%
ROIC;16,03%;16,65%;11,85%;18,94%;14,40%;12,15%;10,79%;9,93%;8,71%
Giro ativos;0,54;0,55;0,53;0,55;0,59;0,63;0,68;0,67;0,65
CAGR Receitas 5 anos;7,33%;7,33%;7,15%;8,03%;15,46%;8,45%;11,46%;13,97%;12,43%
CAGR Lucros 5 anos;15,06%;15,09%;21,85%;34,01%;39,43%;33,32%;23,28%;17,03%;0,06%
