;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,84%;13,31%;14,13%;2,45%;7,43%;50,99%;2,54%;6,54%;4,83%
Div;2.12;2.77;2.9;0.38;0.94;8.38;1.73;4.03;2.09
P/L;12.36;6.01;5.65;7.07;8.99;7.64;11.42;13.48;9.81
PEG Ratio;-3,50;-;-;-;-;-;-;4,14;0,34
P/VP;1,94;0,98;1,03;0,82;0,71;0,97;1,28;1,25;0,88
EV/EBITDA;5,93;3,35;1,87;4,53;4,71;4,78;6,49;-;-
EV/EBIT;11,61;6,62;6,43;7,17;8,87;7,19;9,87;11,95;8,59
P/EBITDA;4,37;2,01;1,27;3,01;3,03;3,24;4,90;-;-
P/EBIT;8,54;3,97;4,35;4,76;5,71;4,87;7,46;8,45;5,75
VPA;22,65;21,17;19,92;19,08;17,78;16,98;53,20;49,12;49,26
P/Ativo;1,00;0,51;0,55;0,45;0,38;0,53;0,75;0,70;0,51
LPA;3.55;3.46;3.63;2.22;1.41;2.15;5.95;4.57;4.42
P/SR;2,05;1,00;1,05;0,97;0,82;1,17;1,67;1,65;1,27
P/Cap. Giro;50,77;10,80;14,64;11,64;7,41;10,12;11,89;15,08;12,30
P/Ativo Circ. Liq.;-1,15;-0,60;-0,67;-0,56;-0,48;-0,64;-0,89;-0,84;-0,60
Dív. líquida/PL;0,70;0,66;0,49;0,42;0,40;0,46;0,41;0,52;0,43
Dív. líquida/EBITDA;1,57;1,34;0,60;1,52;1,68;1,54;1,58;-;-
Dív. líquida/EBIT;3,07;2,65;2,07;2,41;3,16;2,32;2,41;3,50;2,84
PL/Ativos;0,51;0,52;0,53;0,55;0,53;0,55;0,58;0,56;0,58
Passivos/Ativos;0,49;0,48;0,47;0,45;0,47;0,45;0,42;0,44;0,42
Liq. corrente;1,17;1,44;1,26;1,26;1,34;1,44;1,65;1,39;1,36
M. Bruta;42,25%;42,82%;41,35%;37,49%;36,46%;44,99%;41,81%;39,04%;42,42%
M. EBITDA;46,86%;50,02%;83,00%;32,10%;27,07%;36,06%;34,10%;-%;-%
M. EBIT;23,95%;25,32%;24,16%;20,27%;14,36%;23,96%;22,40%;19,47%;22,11%
M. Líquida;16,55%;16,72%;18,63%;13,65%;9,12%;15,28%;14,63%;12,22%;12,95%
ROE;15,68%;16,36%;18,21%;11,63%;7,95%;12,65%;11,19%;9,29%;8,98%
ROA;8,05%;8,49%;9,72%;6,39%;4,23%;6,94%;6,54%;5,18%;5,18%
ROIC;8,75%;9,06%;1,31%;9,21%;6,79%;9,69%;8,83%;7,87%;8,09%
Giro ativos;0,49;0,51;0,52;0,47;0,46;0,45;0,45;0,42;0,40
CAGR Receitas 5 anos;8,84%;8,84%;9,34%;7,38%;7,89%;6,86%;4,54%;4,88%;4,64%
CAGR Lucros 5 anos;12,36%;11,79%;18,97%;8,52%;4,37%;-%;18,85%;6,63%;3,07%
