;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;1,01%;0,82%;0,94%
Div;;;;;;;0.44;0.5;0.46
P/L;-15.24;-7.02;-4.03;-2.87;-6.34;-2.97;144.44;33.14;29.1
PEG Ratio;0,42;-;-;-;-;-;-;1,60;1,12
P/VP;2,25;1,36;3,03;3,93;8,04;78,07;7,81;8,23;8,20
EV/EBITDA;2,44;1,64;3,91;7,97;-12,86;-3,46;16,12;15,22;12,66
EV/EBIT;6,97;8,34;-15,45;-35,31;-6,81;-2,93;23,26;18,40;14,51
P/EBITDA;2,17;1,57;3,57;7,47;-12,84;-2,99;13,16;13,60;11,63
P/EBIT;6,20;7,99;-14,10;-33,13;-6,80;-2,53;18,99;16,44;13,32
VPA;0,96;1,01;1,16;1,14;1,67;0,26;5,61;7,43;5,91
P/Ativo;0,32;0,19;0,46;0,32;0,61;0,70;0,94;1,45;1,36
LPA;-0.14;-0.2;-0.87;-1.56;-2.12;-6.92;0.3;1.85;1.67
P/SR;0,76;0,51;1,28;1,02;3,66;5,69;3,70;5,29;5,50
P/Cap. Giro;-2,37;-2,38;-10,40;-1,07;-8,01;-38,18;98,71;9,20;9,28
P/Ativo Circ. Liq.;-0,73;-0,45;-1,06;-0,64;-1,53;-1,80;-2,71;-5,83;-5,69
Dív. líquida/PL;0,28;0,06;0,29;0,26;0,01;12,30;1,76;0,98;0,73
Dív. líquida/EBITDA;0,27;0,07;0,34;0,49;-0,01;-0,47;2,96;1,62;1,03
Dív. líquida/EBIT;0,76;0,36;-1,35;-2,18;-0,01;-0,40;4,28;1,96;1,18
PL/Ativos;0,14;0,14;0,15;0,08;0,08;0,01;0,12;0,18;0,16
Passivos/Ativos;0,86;0,86;0,85;0,92;0,92;0,99;0,88;0,82;0,84
Liq. corrente;0,81;0,88;0,93;0,63;0,89;0,97;1,01;1,27;1,23
M. Bruta;96,57%;92,54%;90,24%;100,00%;100,00%;82,80%;92,07%;92,47%;100,00%
M. EBITDA;35,17%;32,46%;35,98%;13,63%;-28,46%;-190,54%;28,09%;38,91%;47,27%
M. EBIT;12,30%;6,39%;-9,11%;-3,08%;-53,72%;-224,58%;19,47%;32,18%;41,26%
M. Líquida;-5,00%;-7,27%;-31,89%;-35,48%;-57,68%;-191,51%;2,56%;15,97%;18,89%
ROE;-14,79%;-19,44%;-75,15%;-136,96%;-126,93%;-2.626,49%;5,41%;24,84%;28,19%
ROA;-2,08%;-2,69%;-11,33%;-11,06%;-9,61%;-23,48%;0,65%;4,38%;4,51%
ROIC;18,78%;5,64%;-10,39%;-10,22%;-36,79%;-109,51%;10,14%;17,21%;22,65%
Giro ativos;0,42;0,37;0,36;0,31;0,17;0,12;0,26;0,27;0,24
CAGR Receitas 5 anos;-4,20%;-4,20%;-3,28%;0,61%;-4,94%;-6,66%;19,77%;21,43%;13,71%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-20,92%;19,33%;61,93%
