;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;7,58%;7,58%;7,83%;7,77%;2,93%;-%;-%;-%;-%
Div;1.26;1.08;1.01;0.65;0.24;;;;
P/L;11.37;11.35;10.8;8.33;13.23;;;;
PEG Ratio;0,46;-;-;-;-;-;-;-;-
P/VP;3,69;3,32;3,07;2,03;2,38;-;-;-;-
EV/EBITDA;-;-;-;-;-;-;-;-;-
EV/EBIT;10,19;9,84;9,58;7,14;11,79;-;-;-;-
P/EBITDA;-;-;-;-;-;-;-;-;-
P/EBIT;10,42;10,12;9,79;7,42;11,97;-;-;-;-
VPA;4,50;4,30;4,20;4,11;3,52;-;-;-;-
P/Ativo;3,41;3,05;2,76;2,14;2,35;-;-;-;-
LPA;1.46;1.26;1.19;1.0;0.63;;;;
P/SR;-;-;-;-;-;-;-;-;-
P/Cap. Giro;60,34;51,01;783,02;29,48;28,62;-;-;-;-
P/Ativo Circ. Liq.;-3,93;-3,55;-3,09;-2,18;-2,59;-;-;-;-
Dív. líquida/PL;-0,08;-0,09;-0,07;-0,07;-0,03;-0,09;-0,10;-0,06;-0,10
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-0,23;-0,29;-0,22;-0,27;-0,17;-0,38;-0,29;-0,15;-0,27
PL/Ativos;0,92;0,92;0,90;1,05;0,99;0,96;0,91;0,97;0,91
Passivos/Ativos;0,08;0,08;0,10;0,07;0,01;0,04;0,05;0,02;0,07
Liq. corrente;1,75;1,74;1,03;2,04;10,21;2,46;3,23;8,51;2,23
M. Bruta;-%;-%;-%;-%;-%;-%;-%;-%;-%
M. EBITDA;-%;-%;-%;-%;-%;-%;-%;-%;-%
M. EBIT;-%;-%;-%;-%;-%;-%;-%;-%;-%
M. Líquida;-%;-%;-%;-%;-%;-%;-%;-%;-%
ROE;32,48%;29,21%;28,46%;24,41%;17,96%;19,48%;31,23%;32,70%;31,62%
ROA;29,99%;26,85%;25,58%;25,70%;17,80%;18,71%;28,36%;31,61%;28,93%
ROIC;31,00%;27,74%;23,04%;23,24%;17,01%;19,25%;29,20%;31,58%;30,50%
Giro ativos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
CAGR Receitas 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;23,35%;19,64%;19,38%;18,30%;11,72%;-%;-%;-%;-%
