;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;;;;;;;;;
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;-;-;-;-;-;-;-;-;-
EV/EBITDA;-;5,82;-;-;-;-;-;-;-
EV/EBIT;-;4,73;-;-;-;-;-;-;-
P/EBITDA;-;-;-;-;-;-;-;-;-
P/EBIT;-;-;-;-;-;-;-;-;-
VPA;-;23,16;-;-;-;-;-;-;-
P/Ativo;-;-;-;-;-;-;-;-;-
LPA;;4.29;;;;;;;
P/SR;-;-;-;-;-;-;-;-;-
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-;-;-;-;-;-;-;-;-
Dív. líquida/PL;0,32;0,33;0,32;0,28;0,18;0,16;0,24;0,19;0,22
Dív. líquida/EBITDA;1,92;1,80;2,02;2,66;1,41;0,47;2,34;-;-
Dív. líquida/EBIT;1,53;1,47;2,18;2,21;1,07;0,39;1,93;18,43;79,14
PL/Ativos;0,42;0,42;0,44;0,43;0,45;0,48;0,48;0,52;0,57
Passivos/Ativos;0,54;0,53;0,51;0,54;0,51;0,49;0,48;0,44;0,39
Liq. corrente;3,51;3,27;2,83;2,48;3,11;2,88;2,44;3,52;3,01
M. Bruta;32,51%;32,39%;32,68%;32,04%;34,77%;32,70%;30,93%;26,54%;27,47%
M. EBITDA;19,75%;20,34%;19,39%;14,03%;16,82%;48,40%;12,38%;-%;-%
M. EBIT;24,72%;25,02%;18,00%;16,87%;22,19%;57,66%;15,01%;1,67%;0,63%
M. Líquida;20,95%;20,70%;15,07%;14,95%;19,09%;46,04%;10,58%;-2,68%;-3,55%
ROE;17,45%;18,54%;12,25%;11,36%;14,75%;31,98%;8,73%;-1,64%;-1,60%
ROA;7,30%;7,76%;5,42%;4,88%;6,61%;15,40%;4,16%;-0,86%;-0,91%
ROIC;10,25%;11,35%;5,95%;6,28%;9,33%;20,53%;6,56%;-0,20%;-0,54%
Giro ativos;0,35;0,38;0,36;0,33;0,35;0,33;0,39;0,32;0,26
CAGR Receitas 5 anos;15,17%;15,17%;14,72%;15,15%;8,44%;-2,51%;-7,54%;-10,15%;-13,84%
CAGR Lucros 5 anos;34,36%;31,72%;-%;-%;43,29%;31,49%;-8,87%;-%;-%
