;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,33%;-%;-%;-%;-%;-%;-%;0,61%;1,56%
Div;0.29;;;;;;;0.13;0.31
P/L;37.08;21.68;21.16;-11.11;-66.87;-1.81;-11.09;-24.0;17.41
PEG Ratio;-1,16;-;-;-;-;-;-;0,13;0,38
P/VP;3,44;2,18;1,23;0,79;1,23;0,45;1,03;1,08;1,10
EV/EBITDA;-;6,44;4,28;-744,56;18,83;-144,23;64,02;-;-
EV/EBIT;18,40;11,50;13,23;-27,45;25,14;-9,30;-15,35;179,16;15,17
P/EBITDA;-;6,18;3,52;-517,34;13,06;-60,46;94,70;-;-
P/EBIT;17,66;11,03;10,89;-19,07;17,42;-3,90;-22,70;155,73;13,48
VPA;25,75;25,72;18,22;18,09;20,11;19,84;19,15;20,12;18,22
P/Ativo;0,98;0,57;0,32;0,20;0,32;0,12;0,34;0,37;0,37
LPA;2.39;2.59;1.06;-1.29;-0.37;-4.88;-1.78;-0.9;1.15
P/SR;1,59;1,17;0,64;0,45;0,81;0,33;1,40;0,86;0,79
P/Cap. Giro;5,94;3,21;1,43;0,80;1,08;0,34;1,66;1,02;1,04
P/Ativo Circ. Liq.;-2,17;-1,26;-0,72;-0,46;-0,77;-0,29;-1,81;-0,98;-0,92
Dív. líquida/PL;0,14;0,09;0,26;0,35;0,55;0,62;-0,33;0,16;0,14
Dív. líquida/EBITDA;-;0,26;0,76;-227,22;5,78;-83,77;-30,67;-;-
Dív. líquida/EBIT;0,74;0,47;2,34;-8,38;7,71;-5,40;7,35;23,43;1,69
PL/Ativos;0,29;0,26;0,26;0,25;0,26;0,27;0,33;0,34;0,34
Passivos/Ativos;0,69;0,72;0,72;0,72;0,73;0,72;0,66;0,65;0,65
Liq. corrente;1,43;1,47;1,65;1,79;2,08;2,53;1,34;2,33;2,53
M. Bruta;18,20%;18,02%;17,25%;20,09%;15,61%;12,25%;13,67%;14,99%;18,71%
M. EBITDA;-%;19,02%;18,02%;-0,09%;6,21%;-0,55%;1,47%;-%;-%
M. EBIT;9,00%;10,65%;5,83%;-2,37%;4,65%;-8,56%;-6,15%;0,55%;5,85%
M. Líquida;4,29%;5,42%;3,00%;-4,07%;-1,21%;-18,41%;-12,58%;-3,57%;4,53%
ROE;9,28%;10,08%;5,81%;-7,12%;-1,85%;-24,62%;-9,29%;-4,49%;6,32%
ROA;2,65%;2,62%;1,50%;-1,80%;-0,48%;-6,60%;-3,09%;-1,53%;2,15%
ROIC;7,38%;5,32%;1,49%;-1,82%;1,75%;-5,12%;-7,30%;-0,05%;3,65%
Giro ativos;0,62;0,48;0,50;0,44;0,40;0,36;0,25;0,43;0,47
CAGR Receitas 5 anos;27,61%;27,61%;6,88%;4,54%;1,13%;-0,66%;-6,86%;6,54%;9,04%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;4,04%
