;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;6,15%;2,74%;4,64%;2,62%;8,90%;1,15%;2,02%;2,10%;2,07%
Div;2.9;1.0;2.5;1.16;3.95;0.6;1.08;0.78;0.56
P/L;7.2;4.41;11.59;8.44;6.21;12.94;42.66;11.18;16.91
PEG Ratio;0,22;-;-;-;-;-;-;0,11;0,06
P/VP;1,29;0,97;1,85;1,64;1,91;2,86;3,41;2,38;2,46
EV/EBITDA;8,21;5,28;4,53;5,79;5,64;8,25;9,68;-;-
EV/EBIT;8,41;7,08;7,76;7,08;7,21;12,28;14,46;8,47;12,58
P/EBITDA;3,53;2,04;2,12;2,58;2,72;4,73;5,55;-;-
P/EBIT;3,61;2,73;3,63;3,15;3,48;7,03;8,29;4,48;7,59
VPA;36,70;37,74;29,17;27,02;23,24;18,32;15,70;15,57;11,11
P/Ativo;0,29;0,22;0,32;0,30;0,29;0,42;0,49;0,35;0,43
LPA;6.55;8.28;4.64;5.24;7.14;4.05;1.25;3.32;1.61
P/SR;0,67;0,50;0,77;0,68;0,61;0,93;0,98;0,81;0,69
P/Cap. Giro;4,28;4,97;11,82;12,02;5,73;15,93;8,36;3,67;6,98
P/Ativo Circ. Liq.;-0,38;-0,28;-0,43;-0,40;-0,41;-0,59;-0,66;-0,51;-0,63
Dív. líquida/PL;1,71;1,54;2,10;2,04;2,15;2,13;2,53;2,13;1,62
Dív. líquida/EBITDA;4,68;3,24;2,41;3,21;2,92;3,53;4,13;-;-
Dív. líquida/EBIT;4,80;4,35;4,13;3,93;3,73;5,25;6,16;3,99;4,99
PL/Ativos;0,22;0,22;0,17;0,18;0,15;0,15;0,14;0,15;0,17
Passivos/Ativos;0,73;0,71;0,77;0,79;0,82;0,84;0,84;0,83;0,78
Liq. corrente;1,39;1,23;1,12;1,11;1,27;1,10;1,31;1,46;1,24
M. Bruta;25,11%;25,40%;27,27%;27,13%;21,52%;17,99%;16,34%;15,87%;13,84%
M. EBITDA;18,86%;24,30%;36,33%;26,40%;22,35%;19,77%;17,58%;-%;-%
M. EBIT;18,41%;18,12%;21,19%;21,59%;17,47%;13,29%;11,77%;18,17%;9,13%
M. Líquida;9,24%;11,24%;6,64%;8,06%;9,79%;7,23%;2,29%;7,27%;4,10%
ROE;17,86%;21,93%;15,92%;19,38%;32,24%;22,09%;7,99%;21,31%;14,53%
ROA;3,98%;4,91%;2,78%;3,58%;4,73%;3,22%;1,16%;3,15%;2,53%
ROIC;9,76%;10,55%;8,13%;12,31%;11,99%;7,85%;8,00%;9,80%;8,85%
Giro ativos;0,43;0,44;0,42;0,44;0,48;0,45;0,51;0,43;0,62
CAGR Receitas 5 anos;11,12%;11,12%;12,56%;14,21%;17,52%;10,79%;19,08%;41,28%;36,11%
CAGR Lucros 5 anos;48,61%;52,77%;10,53%;30,76%;75,71%;35,22%;10,18%;41,65%;13,95%
