;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;11,32%;9,98%;1,10%;5,80%;2,07%;0,69%;0,27%;2,06%;17,38%
Div;1.56;1.08;0.21;0.78;0.42;0.3;0.14;0.51;3.76
P/L;7.09;5.92;17.26;9.14;10.79;24.03;36.93;42.32;9.96
PEG Ratio;0,14;-;-;-;-;-;-;-0,58;0,18
P/VP;0,75;0,50;0,89;0,66;1,08;2,39;2,76;1,58;1,41
EV/EBITDA;7,97;-29,93;-156,75;10,84;12,04;32,10;40,76;-;-
EV/EBIT;8,73;8,25;22,35;11,37;12,18;32,56;41,41;1.406,27;10,25
P/EBITDA;7,64;-25,96;-153,27;11,79;14,81;36,07;46,42;-;-
P/EBIT;8,37;7,16;21,86;12,38;14,99;36,59;47,16;1.558,45;11,28
VPA;18,27;21,74;21,02;20,23;18,87;17,93;18,81;15,82;15,37
P/Ativo;0,55;0,37;0,70;0,54;0,91;2,06;2,43;1,39;1,15
LPA;1.94;1.83;1.08;1.47;1.89;1.79;1.41;0.59;2.17
P/SR;2,33;1,53;3,82;2,65;4,85;10,40;12,90;10,56;3,64
P/Cap. Giro;1,58;1,07;1,96;1,59;2,68;5,54;4,91;2,87;2,70
P/Ativo Circ. Liq.;-0,95;-0,62;-1,23;-0,93;-1,62;-3,79;-5,67;-3,11;-2,57
Dív. líquida/PL;0,03;0,08;0,02;-0,05;-0,20;-0,26;-0,34;-0,15;-0,13
Dív. líquida/EBITDA;0,33;-3,97;-3,48;-0,96;-2,77;-3,97;-5,66;-;-
Dív. líquida/EBIT;0,36;1,09;0,50;-1,01;-2,80;-4,03;-5,75;-152,18;-1,03
PL/Ativos;0,73;0,74;0,80;0,81;0,84;0,86;0,88;0,88;0,82
Passivos/Ativos;0,26;0,24;0,20;0,18;0,14;0,12;0,11;0,11;0,17
Liq. corrente;5,66;6,84;6,24;4,91;4,69;5,50;7,41;8,05;4,41
M. Bruta;40,82%;34,14%;31,73%;34,27%;46,12%;43,04%;40,80%;36,30%;44,34%
M. EBITDA;30,48%;-5,91%;-2,49%;22,44%;32,72%;28,83%;27,80%;-%;-%
M. EBIT;27,83%;21,43%;17,46%;21,38%;32,34%;28,41%;27,36%;0,68%;32,31%
M. Líquida;32,85%;25,93%;22,11%;28,96%;44,90%;43,26%;34,94%;24,96%;36,60%
ROE;10,60%;8,42%;5,09%;7,26%;10,04%;9,95%;7,47%;3,74%;14,15%
ROA;7,76%;6,26%;4,07%;5,87%;8,47%;8,59%;6,57%;3,28%;11,56%
ROIC;6,18%;4,93%;2,40%;4,03%;6,45%;5,96%;5,13%;-0,27%;10,50%
Giro ativos;0,24;0,24;0,18;0,20;0,19;0,20;0,19;0,13;0,32
CAGR Receitas 5 anos;14,17%;14,17%;22,62%;2,72%;10,85%;2,84%;-3,30%;-19,26%;9,16%
CAGR Lucros 5 anos;14,12%;7,56%;19,68%;-1,98%;13,32%;-1,81%;-9,94%;-30,13%;1,31%
