;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;5,46%;3,03%;-%;-%;-%;-%;-%;-%;-%
Div;0.25;0.19;;;;;;;
P/L;5.39;10.9;12.99;13.27;17.55;25.45;;;
PEG Ratio;0,13;-;-;-;-;-;-;-;-
P/VP;0,99;1,57;1,83;1,87;2,08;3,27;-;-;-
EV/EBITDA;8,33;6,08;7,53;9,05;12,22;-;-;-;-
EV/EBIT;4,73;7,16;10,89;11,23;15,76;20,17;-;-;-
P/EBITDA;7,30;5,83;6,52;8,24;11,28;-;-;-;-
P/EBIT;4,14;6,87;9,43;10,23;14,54;21,24;-;-;-
VPA;4,53;4,07;3,93;3,37;2,90;2,55;-;-;-
P/Ativo;0,43;0,79;0,97;1,05;1,34;2,25;-;-;-
LPA;0.84;0.59;0.55;0.48;0.34;0.33;;;
P/SR;0,28;0,45;0,59;0,64;0,84;1,49;-;-;-
P/Cap. Giro;1,70;2,32;2,59;2,31;2,88;3,93;-;-;-
P/Ativo Circ. Liq.;-0,90;-1,95;-2,65;-3,13;-3,62;-8,66;-;-;-
Dív. líquida/PL;0,14;0,06;0,28;0,18;0,17;-0,16;0,47;0,34;0,36
Dív. líquida/EBITDA;1,04;0,25;1,01;0,81;0,95;-;-;-;-
Dív. líquida/EBIT;0,59;0,29;1,46;1,01;1,22;-1,07;1,93;1,25;1,55
PL/Ativos;0,43;0,52;0,53;0,56;0,64;0,69;0,46;0,45;0,45
Passivos/Ativos;0,53;0,47;0,46;0,43;0,35;0,30;0,53;0,53;0,55
Liq. corrente;1,93;2,56;2,45;3,20;3,80;4,46;2,75;2,31;2,22
M. Bruta;22,50%;22,63%;21,71%;22,05%;23,32%;24,11%;25,91%;26,42%;26,43%
M. EBITDA;3,80%;7,68%;9,09%;7,78%;7,44%;-%;-%;-%;-%
M. EBIT;6,68%;6,52%;6,28%;6,27%;5,77%;7,02%;5,74%;6,15%;4,97%
M. Líquida;5,14%;4,11%;4,56%;4,83%;4,78%;5,85%;4,20%;4,34%;2,79%
ROE;18,46%;13,38%;14,08%;14,12%;11,85%;12,86%;17,87%;19,37%;13,17%
ROA;7,94%;6,95%;7,46%;7,93%;7,62%;8,85%;8,19%;8,80%;5,98%
ROIC;15,37%;15,61%;12,75%;12,53%;10,59%;12,60%;13,87%;17,70%;15,62%
Giro ativos;1,54;1,69;1,64;1,64;1,59;1,51;1,95;2,03;2,14
CAGR Receitas 5 anos;31,90%;31,90%;31,22%;30,71%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;41,00%;31,32%;32,54%;45,89%;-%;-%;-%;-%;-%
