;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;0,38%;6,52%;2,63%;-%
Div;;;;;;0.03;2.54;2.2;
P/L;8.21;4.33;-29.42;-5.04;-7.47;-6.82;10.04;21.37;
PEG Ratio;2,42;-;-;-;-;-;-;-;-
P/VP;0,83;0,71;0,86;0,49;1,40;2,35;3,08;6,51;-
EV/EBITDA;4,38;2,56;-6,47;-1,69;-;-;-;-;-
EV/EBIT;6,81;4,42;-9,62;-1,62;-2,54;-5,71;16,94;25,42;-
P/EBITDA;4,38;2,56;-6,47;-1,69;-;-;-;-;-
P/EBIT;6,81;4,42;-9,62;-1,62;-2,54;-5,71;16,94;25,42;-
VPA;65,09;59,88;51,75;1,76;2,87;3,48;12,64;12,82;-
P/Ativo;0,28;0,21;0,24;0,09;0,22;0,45;0,69;1,63;-
LPA;6.54;9.79;-1.51;-0.17;-0.54;-1.2;3.88;3.91;
P/SR;0,79;0,58;0,63;0,30;0,64;1,22;1,84;4,52;-
P/Cap. Giro;1,93;15,55;-3,23;-6,83;-1,52;-7,39;-9,01;-80,35;-
P/Ativo Circ. Liq.;-0,47;-0,31;-0,30;-0,18;-0,59;-1,39;-1,87;-4,82;-
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-;-;-;-;-;-;-;-;-
PL/Ativos;0,34;0,30;0,27;0,19;0,16;0,19;0,23;0,25;0,25
Passivos/Ativos;0,66;0,70;0,73;0,53;0,84;0,81;0,77;0,75;0,75
Liq. corrente;1,56;1,05;0,75;0,94;0,81;0,92;0,89;0,97;0,86
M. Bruta;12,06%;12,82%;-5,62%;-19,23%;-19,74%;-18,47%;10,46%;23,14%;18,80%
M. EBITDA;17,99%;22,53%;-9,72%;-17,89%;-%;-%;-%;-%;-%
M. EBIT;11,57%;13,05%;-6,54%;-18,59%;-25,11%;-21,42%;10,85%;17,77%;12,34%
M. Líquida;9,60%;13,30%;-2,14%;-5,98%;-8,55%;-17,94%;18,31%;21,14%;19,53%
ROE;10,05%;16,36%;-2,91%;-9,69%;-18,78%;-35,74%;30,67%;30,46%;25,83%
ROA;3,42%;4,90%;-0,80%;-1,83%;-3,01%;-6,70%;6,91%;7,65%;6,45%
ROIC;-%;-%;-%;-%;-%;-%;-%;-%;-%
Giro ativos;0,36;0,37;0,37;0,31;0,35;0,37;0,38;0,36;0,33
CAGR Receitas 5 anos;-1,73%;-1,73%;0,10%;8,24%;13,98%;17,75%;17,17%;-%;-%
CAGR Lucros 5 anos;-15,05%;-7,81%;-%;-%;-%;-%;15,00%;-%;-%
