;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;11,93%;-%;8,32%;4,62%;14,76%;6,26%;6,69%;18,17%;4,54%
Div;3.28;;2.21;1.06;3.59;1.74;1.51;12.57;3.04
P/L;6.2;4.33;6.15;6.7;5.31;5.45;8.44;6.06;8.07
PEG Ratio;-0,54;-;-;-;-;-;-;0,16;-0,11
P/VP;0,87;0,77;1,00;0,94;1,11;1,33;1,26;1,03;1,00
EV/EBITDA;9,83;5,31;6,57;7,81;6,08;5,22;7,69;-;5,75
EV/EBIT;7,89;5,25;6,92;6,73;5,40;4,68;7,17;5,57;5,77
P/EBITDA;5,54;2,99;4,21;5,04;4,06;4,61;6,82;-;5,36
P/EBIT;4,45;2,95;4,43;4,34;3,61;4,14;6,35;4,63;5,38
VPA;31,73;29,92;26,38;24,55;21,85;20,88;17,90;67,20;66,69
P/Ativo;0,40;0,35;0,49;0,47;0,55;0,75;0,69;0,61;0,64
LPA;4.44;5.31;4.31;3.43;4.58;5.1;2.68;11.42;8.29
P/SR;2,03;1,90;2,81;2,78;2,89;4,96;4,50;3,58;4,08
P/Cap. Giro;3,31;3,24;4,94;4,49;6,36;4,43;4,48;5,01;5,94
P/Ativo Circ. Liq.;-0,47;-0,43;-0,58;-0,55;-0,63;-0,96;-0,89;-0,73;-0,75
Dív. líquida/PL;0,59;0,50;0,43;0,42;0,44;0,15;0,05;0,21;0,12
Dív. líquida/EBITDA;3,79;1,94;1,81;2,26;1,60;0,51;0,29;-;0,64
Dív. líquida/EBIT;3,04;1,92;1,90;1,95;1,42;0,46;0,27;0,94;0,65
PL/Ativos;0,46;0,46;0,48;0,50;0,50;0,56;0,55;0,60;0,64
Passivos/Ativos;0,53;0,54;0,50;0,49;0,49;0,43;0,36;0,39;0,35
Liq. corrente;4,46;2,43;2,45;3,61;3,05;4,01;3,05;4,63;3,35
M. Bruta;40,72%;46,91%;59,67%;60,17%;74,48%;69,27%;71,19%;77,23%;78,04%
M. EBITDA;36,70%;63,74%;66,74%;55,17%;71,22%;107,52%;66,00%;-%;76,15%
M. EBIT;45,74%;64,41%;63,43%;64,04%;80,18%;119,77%;70,83%;77,21%;75,79%
M. Líquida;32,78%;43,91%;45,71%;41,50%;54,55%;90,94%;53,33%;59,09%;50,55%
ROE;13,99%;17,75%;16,35%;13,98%;20,96%;24,44%;14,94%;17,00%;12,43%
ROA;6,41%;8,08%;7,91%;7,02%;10,42%;13,67%;8,16%;10,15%;7,92%
ROIC;11,18%;12,17%;11,52%;12,74%;16,52%;19,25%;11,52%;14,23%;11,05%
Giro ativos;0,20;0,18;0,17;0,17;0,19;0,15;0,15;0,17;0,16
CAGR Receitas 5 anos;19,24%;19,24%;14,31%;15,07%;-6,60%;23,49%;24,55%;26,55%;6,04%
CAGR Lucros 5 anos;10,66%;14,69%;8,59%;10,62%;-9,35%;46,13%;36,05%;125,99%;10,11%
