;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,22%;2,16%;0,87%;-%;-%;0,16%;-%;-%;-%
Div;0.05;0.08;0.05;;;0.13;;;
P/L;-8.82;44.29;-48.56;147.12;-492.66;513.19;;;
PEG Ratio;0,00;-;-;-;-;-;-;-;-
P/VP;0,99;0,68;1,24;1,40;2,64;15,03;-;-;-
EV/EBITDA;-10,10;4,77;6,67;18,78;65,50;97,83;-;-;-
EV/EBIT;-7,03;12,30;28,56;61,26;736,16;223,12;-;-;-
P/EBITDA;-11,54;6,37;9,68;28,02;80,94;100,52;-;-;-
P/EBIT;-8,03;16,42;41,41;91,38;909,71;229,27;-;-;-
VPA;4,29;4,88;4,84;5,02;4,98;5,35;-;-;-
P/Ativo;0,67;0,47;0,78;0,88;1,70;6,98;-;-;-
LPA;-0.48;0.08;-0.12;0.05;-0.03;0.16;;;
P/SR;1,65;1,36;2,77;3,66;9,70;20,75;-;-;-
P/Cap. Giro;9,71;9,13;7,04;3,85;5,30;28,39;-;-;-
P/Ativo Circ. Liq.;-1,05;-0,70;-1,35;-1,64;-3,19;-15,71;-;-;-
Dív. líquida/PL;-0,12;-0,17;-0,39;-0,46;-0,50;-0,40;1,74;0,89;0,59
Dív. líquida/EBITDA;1,44;-1,60;-3,00;-9,23;-15,44;-2,69;1,44;0,75;0,44
Dív. líquida/EBIT;1,00;-4,13;-12,85;-30,12;-173,55;-6,14;2,91;1,50;0,99
PL/Ativos;0,68;0,68;0,63;0,63;0,64;0,46;0,17;0,22;0,21
Passivos/Ativos;0,32;0,32;0,37;0,37;0,36;0,54;0,83;0,78;0,79
Liq. corrente;1,24;1,18;1,35;1,97;3,12;1,79;0,74;0,65;0,66
M. Bruta;46,91%;47,81%;46,25%;45,02%;45,55%;42,06%;41,82%;44,60%;43,90%
M. EBITDA;-14,27%;21,41%;28,63%;13,08%;11,98%;20,64%;27,70%;23,22%;23,59%
M. EBIT;-20,50%;8,31%;6,69%;4,01%;1,07%;9,05%;13,73%;11,54%;10,35%
M. Líquida;-18,67%;3,08%;-5,70%;2,49%;-1,97%;4,04%;4,69%;3,46%;3,43%
ROE;-11,26%;1,54%;-2,56%;0,95%;-0,54%;2,93%;20,46%;17,82%;19,77%
ROA;-7,63%;1,05%;-1,60%;0,60%;-0,34%;1,36%;3,52%;3,94%;4,17%
ROIC;-20,49%;3,54%;-2,74%;0,45%;-0,65%;4,13%;16,99%;18,90%;19,96%
Giro ativos;0,41;0,34;0,28;0,24;0,17;0,34;0,75;1,14;1,21
CAGR Receitas 5 anos;28,85%;28,85%;32,63%;31,10%;23,75%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;18,48%;-%;22,94%;-%;-%;-%;-%;-%
