;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;14,07%;16,58%;-%;25,83%;12,93%;-%;-%;-%;-%
Div;2.81;2.83;;2.25;2.85;;;;
P/L;10.09;5.4;-5.96;1.38;3.51;3.13;28.37;2.43;-9.41
PEG Ratio;0,01;-;-;-;-;-;-;-0,01;0,33
P/VP;2,36;5,34;1,18;1,03;3,90;4,93;10,00;5,04;1,90
EV/EBITDA;5,50;5,02;3,22;0,41;2,66;2,82;4,34;10,64;10,38
EV/EBIT;13,83;9,82;40,49;0,63;3,00;3,32;5,87;27,10;29,70
P/EBITDA;2,08;1,30;0,68;0,41;1,07;1,12;1,34;3,15;3,75
P/EBIT;5,23;2,54;8,52;0,63;1,21;1,31;1,81;8,04;10,72
VPA;8,45;3,19;8,19;8,44;5,67;2,94;1,00;1,08;3,85
P/Ativo;0,21;0,11;0,07;0,04;0,32;0,26;0,20;0,13;0,21
LPA;1.98;3.16;-1.63;6.31;6.28;4.64;0.35;2.25;-0.78
P/SR;0,18;0,10;0,07;0,05;0,18;0,15;0,13;0,11;0,45
P/Cap. Giro;6,38;1,26;0,91;0,56;6,19;2,27;1,63;1,09;1,22
P/Ativo Circ. Liq.;-0,34;-0,18;-0,11;-0,07;-0,54;-0,49;-0,36;-0,23;-0,39
Dív. líquida/PL;3,88;15,31;4,45;-;5,76;7,52;22,36;11,95;3,37
Dív. líquida/EBITDA;3,42;3,72;2,54;0,00;1,59;1,70;3,00;7,48;6,64
Dív. líquida/EBIT;8,60;7,28;31,98;0,00;1,79;2,00;4,05;19,06;18,98
PL/Ativos;0,09;0,02;0,06;-;0,08;0,05;0,02;0,03;0,11
Passivos/Ativos;0,89;0,86;0,81;-;0,88;0,91;0,94;0,85;0,88
Liq. corrente;1,09;1,28;1,24;-;1,14;1,33;1,36;1,36;1,62
M. Bruta;12,48%;13,23%;10,12%;13,15%;20,14%;17,37%;13,09%;12,93%;13,50%
M. EBITDA;8,52%;7,80%;10,09%;11,08%;16,62%;13,70%;9,45%;3,62%;11,98%
M. EBIT;3,39%;3,99%;0,80%;7,31%;14,77%;11,64%;7,00%;1,42%;4,19%
M. Líquida;1,76%;1,88%;-1,15%;3,32%;5,08%;4,89%;0,45%;4,70%;-4,77%
ROE;23,42%;98,98%;-19,89%;-%;110,85%;157,62%;35,26%;207,18%;-20,21%
ROA;2,07%;2,03%;-1,16%;-%;9,05%;8,36%;0,69%;5,26%;-2,27%
ROIC;2,41%;0,84%;-1,82%;-%;28,34%;23,40%;13,25%;0,13%;-0,33%
Giro ativos;1,18;1,08;1,01;-;1,78;1,71;1,54;1,12;0,48
CAGR Receitas 5 anos;25,01%;25,01%;34,79%;65,40%;35,31%;28,12%;26,24%;9,64%;-9,32%
CAGR Lucros 5 anos;67,15%;66,56%;-%;-%;-%;-%;-%;-%;-%
