;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,41%;-%;-%;-%;0,21%;0,48%;1,01%;0,47%;1,76%
Div;0.3;;;;0.02;0.12;0.48;0.85;1.41
P/L;18.86;10.7;-14.89;-37.06;82.5;413.95;84.07;57.76;4.46
PEG Ratio;39,98;-;-;-;-;-;-;1,08;0,01
P/VP;0,62;0,42;1,52;1,74;4,33;22,14;10,24;14,99;0,84
EV/EBITDA;3,14;2,19;16,64;11,82;39,92;105,38;41,45;27,27;0,91
EV/EBIT;6,25;4,62;-49,87;29,65;109,22;195,17;57,11;31,40;1,05
P/EBITDA;1,93;1,45;13,07;9,56;37,84;106,18;43,65;27,71;1,68
P/EBIT;3,83;3,07;-39,17;23,96;103,54;196,64;60,14;31,91;1,95
VPA;14,38;15,32;1,42;1,58;1,67;1,13;4,66;12,08;95,91
P/Ativo;0,19;0,13;0,39;0,49;1,27;6,58;3,92;3,92;0,23
LPA;0.47;0.61;-0.15;-0.07;0.09;0.06;0.57;3.13;17.99
P/SR;0,18;0,13;0,40;0,50;1,38;5,56;3,90;2,21;0,14
P/Cap. Giro;1,74;1,69;5,18;2,60;5,27;47,94;16,02;33,71;1,55
P/Ativo Circ. Liq.;-0,39;-0,27;-0,85;-1,17;-3,51;-20,66;-11,15;-14,47;-0,80
Dív. líquida/PL;0,39;0,21;0,41;0,41;0,24;-0,17;-0,52;-0,24;-0,39
Dív. líquida/EBITDA;1,21;0,73;3,57;2,27;2,07;-0,80;-2,20;-0,44;-0,78
Dív. líquida/EBIT;2,41;1,55;-10,70;5,68;5,67;-1,48;-3,03;-0,51;-0,90
PL/Ativos;0,30;0,30;0,26;0,28;0,29;0,30;0,38;0,26;0,28
Passivos/Ativos;0,70;0,70;0,74;0,72;0,71;0,70;0,62;0,74;0,72
Liq. corrente;1,26;1,17;1,16;1,48;1,61;1,25;1,60;1,19;1,27
M. Bruta;30,65%;30,57%;27,64%;27,99%;24,06%;25,77%;27,93%;29,10%;30,09%
M. EBITDA;9,39%;8,68%;3,03%;5,19%;3,65%;5,23%;8,93%;7,99%;8,60%
M. EBIT;4,72%;4,11%;-1,01%;2,07%;1,33%;2,83%;6,48%;6,94%;7,41%
M. Líquida;0,96%;1,18%;-2,66%;-1,34%;1,67%;1,34%;4,64%;3,83%;3,25%
ROE;3,30%;3,96%;-10,19%;-4,69%;5,25%;5,35%;12,19%;25,94%;18,76%
ROA;0,99%;1,20%;-2,61%;-1,32%;1,54%;1,59%;4,66%;6,79%;5,24%
ROIC;6,85%;6,50%;-25,45%;0,01%;-1,87%;8,90%;11,79%;32,34%;27,15%
Giro ativos;1,03;1,02;0,98;0,99;0,92;1,18;1,00;1,77;1,62
CAGR Receitas 5 anos;13,85%;13,85%;18,72%;25,49%;29,98%;26,58%;15,25%;14,02%;11,14%
CAGR Lucros 5 anos;-16,79%;-13,41%;-%;-%;46,82%;-%;48,29%;39,32%;-%
