;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;7,95%;4,34%;1,02%;18,96%;3,30%;0,65%;1,24%;4,30%;-%
Div;0.78;0.15;0.12;1.45;0.52;0.13;0.24;0.37;
P/L;12.21;5.54;-6.62;4.97;6.98;56.62;22.11;11.49;22.64
PEG Ratio;-0,07;-;-;-;-;-;-;0,08;0,34
P/VP;1,22;0,51;1,71;1,00;1,74;2,62;2,19;1,11;1,17
EV/EBITDA;-;-;-;3,85;6,10;12,39;9,56;-;-
EV/EBIT;6,07;6,67;13,16;5,65;7,62;29,21;15,24;8,66;10,24
P/EBITDA;-;-;-;0,78;2,74;8,61;6,75;-;-
P/EBIT;1,10;0,49;3,41;1,15;3,43;20,28;10,76;4,84;5,97
VPA;8,01;6,88;6,96;7,64;9,07;7,89;8,74;7,77;6,02
P/Ativo;0,11;0,04;0,17;0,11;0,26;0,73;0,70;0,35;0,38
LPA;0.8;0.64;-1.8;1.54;2.26;0.36;0.86;0.75;0.31
P/SR;0,24;0,10;0,42;0,30;1,07;1,51;1,31;0,72;0,61
P/Cap. Giro;-1,02;-0,56;-2,13;0,78;1,06;-90,73;-17,36;-8,87;-3,31
P/Ativo Circ. Liq.;-0,15;-0,05;-0,22;-0,16;-0,45;-1,01;-0,95;-0,49;-0,53
Dív. líquida/PL;5,51;6,50;4,88;3,94;2,12;1,15;0,91;0,88;0,84
Dív. líquida/EBITDA;-;-;-;3,07;3,35;3,78;2,81;-;-
Dív. líquida/EBIT;4,97;6,18;9,75;4,51;4,19;8,92;4,48;3,83;4,27
PL/Ativos;0,09;0,08;0,10;0,11;0,15;0,28;0,32;0,32;0,32
Passivos/Ativos;0,91;0,92;0,90;0,89;0,85;0,72;0,68;0,68;0,68
Liq. corrente;0,69;0,75;0,73;1,60;2,44;0,97;0,87;0,87;0,72
M. Bruta;32,08%;29,79%;26,77%;38,77%;44,75%;21,19%;24,49%;31,77%;26,13%
M. EBITDA;-%;-%;-%;38,18%;39,06%;17,56%;19,46%;-%;-%
M. EBIT;21,67%;19,43%;12,20%;25,99%;31,26%;7,45%;12,20%;14,96%;10,22%
M. Líquida;1,95%;1,72%;-6,29%;5,98%;15,37%;2,67%;5,94%;6,29%;2,69%
ROE;9,98%;9,29%;-25,81%;20,10%;24,95%;4,62%;9,90%;9,63%;5,17%
ROA;0,94%;0,76%;-2,59%;2,12%;3,77%;1,28%;3,15%;3,08%;1,66%
ROIC;14,09%;10,84%;4,16%;11,02%;7,23%;4,05%;7,62%;8,47%;7,23%
Giro ativos;0,48;0,44;0,41;0,35;0,25;0,48;0,53;0,49;0,62
CAGR Receitas 5 anos;28,58%;28,58%;32,43%;30,39%;23,01%;27,48%;133,51%;-%;-%
CAGR Lucros 5 anos;4,08%;0,32%;-%;52,95%;83,21%;10,21%;116,71%;-%;-%
