;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,75%;4,90%;3,51%;3,27%;2,67%;1,93%;1,42%;3,32%;1,70%
Div;1.02;1.03;1.0;0.72;0.5;0.45;0.47;0.81;1.2
P/L;11.35;8.16;16.73;17.1;24.82;14.66;42.22;10.29;38.44
PEG Ratio;1,27;-;-;-;-;-;-;0,37;2,09
P/VP;2,32;1,94;2,46;2,00;1,77;2,27;3,56;0,91;2,74
EV/EBITDA;9,08;7,59;9,48;11,99;16,38;11,67;24,02;-;-
EV/EBIT;10,10;8,88;14,03;14,13;22,06;13,99;31,34;9,27;25,23
P/EBITDA;6,90;5,47;8,49;10,45;13,66;10,29;21,63;-;-
P/EBIT;7,67;6,40;12,57;12,31;18,39;12,33;28,23;6,61;22,34
VPA;11,73;10,87;11,54;10,96;10,59;10,37;9,30;26,65;25,89
P/Ativo;1,09;0,87;1,48;1,21;1,05;1,34;2,08;0,55;1,64
LPA;2.4;2.58;1.7;1.28;0.75;1.6;0.78;2.36;1.84
P/SR;5,04;4,30;8,41;7,32;8,73;13,07;15,23;3,96;12,28
P/Cap. Giro;17,94;16,64;29,27;27,17;23,58;16,83;50,91;8,69;23,66
P/Ativo Circ. Liq.;-1,32;-1,06;-1,79;-1,45;-1,23;-1,62;-2,41;-0,64;-1,93
Dív. líquida/PL;0,74;0,75;0,29;0,29;0,35;0,30;0,39;0,37;0,35
Dív. líquida/EBITDA;2,18;2,12;0,99;1,54;2,73;1,38;2,39;-;-
Dív. líquida/EBIT;2,43;2,48;1,47;1,81;3,67;1,66;3,12;2,66;2,89
PL/Ativos;0,47;0,45;0,60;0,61;0,60;0,59;0,58;0,60;0,60
Passivos/Ativos;0,53;0,55;0,40;0,39;0,40;0,41;0,42;0,40;0,40
Liq. corrente;1,55;1,43;1,42;1,37;1,45;1,84;1,42;1,78;1,86
M. Bruta;80,37%;83,36%;85,52%;81,15%;78,94%;74,59%;79,15%;77,31%;76,36%
M. EBITDA;73,08%;78,65%;99,06%;70,02%;63,91%;126,99%;70,42%;-%;-%
M. EBIT;65,72%;67,18%;66,93%;59,44%;47,46%;106,00%;53,96%;59,92%;54,97%
M. Líquida;44,42%;52,69%;50,28%;42,79%;35,17%;89,15%;36,08%;38,48%;31,94%
ROE;20,47%;23,75%;14,72%;11,69%;7,12%;15,48%;8,43%;8,86%;7,12%
ROA;9,62%;10,72%;8,84%;7,07%;4,25%;9,13%;4,92%;5,33%;4,27%
ROIC;14,77%;13,20%;10,78%;10,59%;6,04%;11,12%;7,07%;7,50%;7,13%
Giro ativos;0,22;0,20;0,18;0,17;0,12;0,10;0,14;0,14;0,13
CAGR Receitas 5 anos;14,28%;14,28%;10,55%;9,22%;3,03%;0,31%;3,23%;4,78%;3,83%
CAGR Lucros 5 anos;21,20%;23,27%;16,62%;15,80%;7,75%;21,63%;5,06%;10,70%;-0,98%
