;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;10,05%;19,92%;19,21%;59,84%;18,41%;0,83%;1,57%;0,98%;-%
Div;3.27;7.86;7.48;16.76;5.65;0.24;0.5;0.25;
P/L;5.42;14.04;4.08;1.94;3.75;52.95;10.4;12.85;-494.58
PEG Ratio;-0,64;-;-;-;-;-;-;0,00;5,10
P/VP;0,99;1,40;1,34;1,01;1,03;1,22;1,41;1,20;0,84
EV/EBITDA;2,32;2,87;1,19;1,57;2,39;6,50;4,82;5,37;6,19
EV/EBIT;5,56;6,00;3,84;1,94;3,10;14,14;8,88;9,36;13,15
P/EBITDA;1,34;1,79;0,83;1,01;1,46;3,49;2,78;3,04;2,75
P/EBIT;3,22;3,75;2,69;1,24;1,90;7,58;5,11;5,30;5,84
VPA;32,81;28,06;29,16;27,80;29,69;23,64;22,66;21,25;20,24
P/Ativo;0,35;0,46;0,48;0,37;0,41;0,38;0,45;0,39;0,27
LPA;6.01;2.81;9.55;14.44;8.18;0.54;3.08;1.98;-0.03
P/SR;0,85;1,05;0,99;0,57;0,88;1,38;1,38;1,07;0,78
P/Cap. Giro;-12,72;-8,63;-74,24;-538,69;12,01;62,35;-103,17;7,12;3,01
P/Ativo Circ. Liq.;-0,40;-0,52;-0,57;-0,45;-0,50;-0,45;-0,51;-0,46;-0,33
Dív. líquida/PL;0,74;0,89;0,60;0,62;0,69;1,06;1,08;0,97;1,06
Dív. líquida/EBITDA;1,00;1,14;0,37;0,62;0,97;3,04;2,11;2,47;3,50
Dív. líquida/EBIT;2,41;2,38;1,20;0,76;1,26;6,62;3,89;4,30;7,43
PL/Ativos;0,35;0,33;0,36;0,37;0,40;0,31;0,32;0,32;0,32
Passivos/Ativos;0,65;0,67;0,64;0,63;0,60;0,68;0,68;0,67;0,68
Liq. corrente;0,82;0,69;0,96;1,00;1,25;1,04;0,97;1,48;1,89
M. Bruta;48,15%;50,21%;52,72%;52,10%;48,52%;45,56%;40,40%;38,25%;32,29%
M. EBITDA;63,59%;58,44%;119,14%;56,52%;60,50%;39,67%;49,74%;35,10%;28,29%
M. EBIT;26,52%;27,95%;36,98%;45,89%;46,58%;18,24%;27,03%;20,13%;13,31%
M. Líquida;15,77%;7,46%;24,34%;29,37%;23,56%;2,61%;13,28%;8,31%;-0,16%
ROE;18,33%;10,00%;32,75%;51,94%;27,54%;2,30%;13,58%;9,30%;-0,17%
ROA;6,40%;3,25%;11,86%;19,28%;10,96%;0,72%;4,33%;3,00%;-0,05%
ROIC;7,19%;14,36%;-1,75%;32,28%;23,21%;6,17%;10,04%;7,70%;5,07%
Giro ativos;0,41;0,44;0,49;0,66;0,47;0,28;0,33;0,36;0,34
CAGR Receitas 5 anos;10,18%;10,18%;10,54%;17,72%;9,88%;-3,29%;-2,17%;0,35%;0,16%
CAGR Lucros 5 anos;14,07%;-1,82%;37,04%;-%;-%;-%;-%;1,81%;-%
