;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;21,11%;7,99%;4,71%;5,02%;3,51%;3,24%;1,33%;2,72%;0,46%
Div;1.26;0.59;0.33;0.14;0.11;0.09;0.06;0.11;0.02
P/L;6.2;6.99;8.18;5.97;7.88;26.17;21.16;20.22;51.15
PEG Ratio;1,63;-;-;-;-;-;-;0,13;-0,76
P/VP;1,72;2,08;1,88;0,85;0,99;1,06;1,84;1,79;1,94
EV/EBITDA;5,02;5,17;5,53;8,73;11,63;12,10;15,61;-;-
EV/EBIT;6,24;6,06;8,82;14,03;16,22;21,18;19,35;14,85;56,91
P/EBITDA;4,35;4,91;5,22;6,27;9,09;9,00;13,66;-;-
P/EBIT;5,40;5,75;8,34;10,08;12,67;15,76;16,94;12,53;49,72
VPA;3,46;3,54;3,74;3,34;3,07;2,70;2,44;2,28;2,05
P/Ativo;0,76;0,89;0,84;0,36;0,43;0,46;0,82;0,73;0,78
LPA;0.96;1.06;0.86;0.47;0.39;0.11;0.21;0.2;0.08
P/SR;0,82;0,98;1,00;0,49;0,83;0,76;0,99;0,90;1,28
P/Cap. Giro;2,60;3,25;2,75;1,44;2,15;1,87;3,22;3,06;3,07
P/Ativo Circ. Liq.;-1,99;-2,22;-2,12;-0,82;-0,88;-1,01;-1,81;-1,81;-1,93
Dív. líquida/PL;0,29;0,29;0,25;0,38;0,34;0,39;0,27;0,47;0,42
Dív. líquida/EBITDA;0,74;0,68;0,69;2,80;3,14;3,27;2,01;-;-
Dív. líquida/EBIT;0,92;0,79;1,10;4,50;4,37;5,72;2,50;3,25;10,73
PL/Ativos;0,44;0,43;0,45;0,43;0,44;0,44;0,44;0,41;0,40
Passivos/Ativos;0,55;0,57;0,55;0,57;0,56;0,56;0,55;0,59;0,59
Liq. corrente;1,91;1,84;2,02;1,81;1,66;1,85;1,87;1,67;1,74
M. Bruta;25,19%;24,80%;23,02%;15,32%;10,18%;16,59%;15,07%;15,83%;14,04%
M. EBITDA;18,76%;19,88%;19,13%;7,89%;9,08%;8,41%;7,23%;-%;-%
M. EBIT;15,10%;16,96%;11,98%;4,91%;6,52%;4,80%;5,83%;7,18%;2,58%
M. Líquida;13,14%;13,96%;12,21%;8,29%;10,48%;2,89%;4,67%;4,45%;2,51%
ROE;27,78%;29,80%;23,02%;14,20%;12,62%;4,07%;8,72%;8,87%;3,80%
ROA;12,30%;12,71%;10,25%;6,07%;5,51%;1,77%;3,88%;3,63%;1,53%
ROIC;12,81%;15,42%;11,96%;4,35%;3,86%;2,81%;5,25%;6,95%;1,64%
Giro ativos;0,94;0,91;0,84;0,73;0,53;0,61;0,83;0,82;0,61
CAGR Receitas 5 anos;14,78%;14,78%;9,75%;13,49%;6,33%;5,56%;4,88%;2,78%;-3,12%
CAGR Lucros 5 anos;42,97%;42,90%;34,31%;44,15%;10,82%;3,62%;-1,94%;-8,35%;-24,80%
