;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;0,16%;-%;-%;-%;-%;-%;-%
Div;;;0.07;;;;;;
P/L;3.58;3.48;7.89;9.58;13.62;22.43;7.3;6.46;21.22
PEG Ratio;0,03;-;-;-;-;-;-;0,02;-0,27
P/VP;1,39;1,38;2,94;3,32;2,74;3,22;2,47;1,31;1,22
EV/EBITDA;6,90;5,76;3,96;6,75;5,80;6,64;4,35;3,26;-
EV/EBIT;16,86;7,81;6,72;8,29;8,20;12,58;6,66;4,73;14,28
P/EBITDA;4,61;3,80;3,37;6,83;6,05;5,68;3,28;5,35;-
P/EBIT;11,26;5,16;5,71;8,39;8,56;10,77;5,02;7,77;25,56
VPA;29,84;29,06;15,64;11,21;7,54;21,77;13,38;75,47;66,95
P/Ativo;0,60;0,64;1,44;1,62;1,49;1,50;0,87;0,86;0,85
LPA;11.56;11.55;5.84;3.88;1.52;3.13;4.53;15.36;3.86
P/SR;2,52;2,49;3,43;5,16;4,13;5,33;2,82;1,56;2,02
P/Cap. Giro;4,83;8,40;22,31;3,56;3,62;-32,97;-19,68;1,98;1,71
P/Ativo Circ. Liq.;-0,78;-0,75;-1,78;-3,39;-2,97;-2,05;-1,20;-2,66;-2,57
Dív. líquida/PL;0,69;0,71;0,52;-0,04;-0,11;0,54;0,80;-0,51;-0,54
Dív. líquida/EBITDA;2,29;1,96;0,60;-0,08;-0,25;0,95;1,07;-2,10;-
Dív. líquida/EBIT;5,60;2,66;1,01;-0,10;-0,35;1,81;1,64;-3,04;-11,28
PL/Ativos;0,43;0,47;0,49;0,49;0,54;0,46;0,34;0,65;0,70
Passivos/Ativos;0,57;0,53;0,51;0,51;0,46;0,54;0,66;0,35;0,30
Liq. corrente;2,21;2,16;1,53;7,64;5,62;0,86;0,86;2,80;3,92
M. Bruta;30,43%;50,66%;64,33%;66,90%;57,16%;32,42%;39,73%;37,71%;18,52%
M. EBITDA;54,60%;65,60%;101,86%;75,57%;68,31%;93,82%;86,09%;29,12%;-%
M. EBIT;22,33%;48,36%;60,11%;61,54%;48,26%;49,51%;56,21%;20,06%;7,91%
M. Líquida;70,19%;71,73%;43,51%;53,86%;30,32%;23,78%;38,67%;24,13%;9,52%
ROE;38,74%;39,74%;37,32%;34,64%;20,14%;14,37%;33,85%;20,35%;5,76%
ROA;16,83%;18,48%;18,30%;16,88%;10,91%;6,67%;11,60%;13,33%;4,00%
ROIC;-10,36%;6,17%;22,64%;19,26%;18,58%;16,03%;21,31%;10,40%;3,96%
Giro ativos;0,24;0,26;0,42;0,31;0,36;0,28;0,30;0,55;0,42
CAGR Receitas 5 anos;54,25%;54,25%;69,58%;64,15%;61,68%;49,72%;27,56%;186,54%;139,71%
CAGR Lucros 5 anos;73,69%;74,54%;90,79%;132,13%;40,72%;32,61%;-%;-%;-%
