;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,92%;1,56%;0,87%;1,07%;0,91%;1,64%;0,57%;1,11%;0,67%
Div;0.45;0.34;0.25;0.25;0.22;0.41;0.64;0.63;0.62
P/L;30.61;31.5;47.88;39.34;53.38;85.39;47.76;37.58;59.33
PEG Ratio;1,46;-;-;-;-;-;-;-22,04;4,18
P/VP;5,87;5,87;8,48;7,34;8,58;9,48;9,16;5,40;9,41
EV/EBITDA;7,30;6,50;5,69;12,24;15,33;20,13;17,46;-;-
EV/EBIT;17,26;17,24;25,58;22,33;30,22;46,00;33,72;27,00;38,70
P/EBITDA;6,84;6,05;5,40;11,68;14,90;19,76;17,08;-;-
P/EBIT;16,18;16,07;24,28;21,30;29,38;45,16;32,98;26,17;38,27
VPA;3,99;3,74;3,47;3,23;2,83;2,64;12,18;10,59;9,75
P/Ativo;1,72;1,71;2,51;2,28;2,72;2,99;3,01;2,57;4,69
LPA;0.77;0.7;0.61;0.6;0.46;0.29;2.34;1.52;1.55
P/SR;0,97;0,97;1,49;1,35;1,66;2,06;2,10;1,28;2,30
P/Cap. Giro;10,59;10,77;14,51;12,21;22,02;18,64;21,99;11,68;21,14
P/Ativo Circ. Liq.;-4,08;-4,00;-5,92;-5,15;-5,69;-6,08;-5,68;-6,69;-11,96
Dív. líquida/PL;0,39;0,43;0,46;0,35;0,25;0,18;0,21;0,17;0,11
Dív. líquida/EBITDA;0,46;0,44;0,29;0,56;0,43;0,37;0,38;-;-
Dív. líquida/EBIT;1,08;1,17;1,31;1,02;0,84;0,84;0,74;0,83;0,44
PL/Ativos;0,29;0,29;0,30;0,31;0,32;0,32;0,33;0,48;0,50
Passivos/Ativos;0,71;0,71;0,70;0,69;0,68;0,68;0,67;0,52;0,50
Liq. corrente;1,39;1,38;1,43;1,50;1,31;1,46;1,41;1,55;1,58
M. Bruta;29,34%;29,73%;30,04%;30,31%;29,87%;29,36%;29,59%;30,03%;30,18%
M. EBITDA;14,22%;16,06%;27,53%;11,54%;11,16%;10,43%;12,29%;-%;-%
M. EBIT;6,01%;6,05%;6,12%;6,33%;5,66%;4,56%;6,37%;4,87%;6,00%
M. Líquida;3,18%;3,09%;3,11%;3,43%;3,12%;2,41%;4,40%;3,39%;3,87%
ROE;19,19%;18,65%;17,71%;18,65%;16,07%;11,10%;19,19%;14,36%;15,86%
ROA;5,63%;5,41%;5,25%;5,80%;5,09%;3,50%;6,30%;6,83%;7,91%
ROIC;22,56%;19,25%;16,15%;21,51%;18,37%;13,08%;21,41%;13,52%;16,02%
Giro ativos;1,77;1,75;1,69;1,69;1,63;1,45;1,43;2,01;2,04
CAGR Receitas 5 anos;17,22%;17,22%;18,08%;17,08%;16,47%;17,66%;18,90%;18,88%;34,73%
CAGR Lucros 5 anos;11,69%;9,21%;15,99%;14,27%;10,93%;7,32%;28,39%;37,84%;37,28%
