;2025;2024;2023;2022;2021;2020
D.Y;-%;1,22%;6,61%;4,56%;0,25%;-%
Div;;0.03;0.26;0.17;0.02;
P/L;-0.9;-5.25;80.12;15.86;21.2;
PEG Ratio;0,00;-;-;-;-;-
P/VP;0,46;1,13;1,86;1,83;3,26;-
EV/EBITDA;7,80;13,56;2,61;3,75;5,73;-
EV/EBIT;-500,53;12,67;9,24;7,81;11,71;-
P/EBITDA;1,19;5,54;1,49;2,30;5,30;-
P/EBIT;-76,20;5,18;5,26;4,79;10,82;-
VPA;1,76;1,92;2,17;2,05;1,98;-
P/Ativo;0,06;0,16;0,33;0,37;0,64;-
LPA;-0.9;-0.41;0.05;0.24;0.3;
P/SR;0,04;0,09;0,19;0,16;0,35;-
P/Cap. Giro;0,55;2,77;10,54;4,93;8,27;-
P/Ativo Circ. Liq.;-0,11;-0,29;-0,64;-0,70;-1,25;-
Dív. líquida/PL;2,57;1,51;1,42;1,13;1,03;1,79
Dív. líquida/EBITDA;6,61;8,02;1,13;1,45;0,43;2,43
Dív. líquida/EBIT;-424,33;7,49;3,98;3,03;0,89;3,72
PL/Ativos;0,13;0,17;0,20;0,22;0,17;0,13
Passivos/Ativos;0,87;0,83;0,79;0,78;0,82;0,86
Liq. corrente;1,33;1,10;1,06;1,16;1,12;1,12
M. Bruta;4,03%;4,64%;7,13%;6,21%;6,12%;4,84%
M. EBITDA;2,96%;1,58%;12,71%;6,86%;6,59%;3,21%
M. EBIT;-0,05%;1,69%;3,60%;3,29%;3,23%;2,10%
M. Líquida;-3,89%;-1,67%;0,24%;0,99%;1,65%;1,11%
ROE;-51,13%;-19,91%;2,34%;11,28%;59,12%;25,59%
ROA;-6,59%;-3,32%;0,47%;2,43%;10,03%;3,42%
ROIC;-0,66%;5,15%;10,51%;13,33%;38,14%;10,59%
Giro ativos;1,69;1,99;1,98;2,45;6,09;3,06
CAGR Receitas 5 anos;20,39%;20,39%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%
