;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,58%;4,92%;3,01%;2,48%;0,84%;0,50%;0,88%;0,91%;2,78%
Div;2.0;1.59;1.91;1.32;0.44;0.34;0.42;0.27;0.61
P/L;27.62;19.22;37.62;28.39;19.67;49.89;41.07;30.11;9.7
PEG Ratio;5,03;-;-;-;-;-;-;0,99;0,41
P/VP;1,95;1,32;2,68;2,55;5,28;8,64;6,29;6,41;1,89
EV/EBITDA;5,31;4,74;5,23;12,14;12,88;23,84;18,44;-;-
EV/EBIT;10,99;11,75;16,65;17,68;14,77;32,65;27,39;19,97;9,05
P/EBITDA;3,18;2,42;3,62;7,94;10,87;21,19;15,48;-;-
P/EBIT;6,57;6,01;11,52;11,56;12,47;29,03;22,99;15,82;5,06
VPA;22,36;24,32;23,77;20,89;10,04;7,98;7,54;4,64;11,69
P/Ativo;0,59;0,40;0,84;0,80;1,59;2,56;1,77;1,42;0,44
LPA;1.58;1.68;1.69;1.87;2.69;1.38;1.15;0.99;2.27
P/SR;1,21;0,94;2,35;2,94;3,69;5,07;3,36;2,51;0,81
P/Cap. Giro;7,91;11,36;-104,09;138,37;20,53;41,07;35,24;56,01;4,10
P/Ativo Circ. Liq.;-0,78;-0,52;-1,08;-0,97;-2,19;-3,52;-2,30;-1,93;-0,63
Dív. líquida/PL;1,31;1,27;1,19;1,35;0,97;1,08;1,20;1,68;1,49
Dív. líquida/EBITDA;2,13;2,32;1,61;4,20;2,01;2,65;2,96;-;-
Dív. líquida/EBIT;4,41;5,74;5,13;6,12;2,30;3,62;4,40;4,15;3,99
PL/Ativos;0,30;0,30;0,31;0,31;0,30;0,30;0,28;0,22;0,23
Passivos/Ativos;0,70;0,70;0,69;0,69;0,70;0,70;0,72;0,78;0,77
Liq. corrente;1,45;1,17;0,96;1,04;1,39;1,30;1,28;1,11;1,54
M. Bruta;26,25%;23,48%;28,62%;37,38%;43,10%;28,12%;24,62%;26,22%;27,19%
M. EBITDA;37,98%;38,60%;64,96%;37,07%;33,92%;23,94%;21,70%;-%;-%
M. EBIT;18,34%;15,58%;20,41%;25,47%;29,57%;17,48%;14,61%;15,89%;16,00%
M. Líquida;4,37%;4,87%;6,25%;10,37%;18,75%;10,17%;8,18%;8,35%;8,35%
ROE;7,06%;6,89%;7,11%;8,97%;26,83%;17,32%;15,31%;21,30%;19,44%
ROA;2,13%;2,08%;2,23%;2,81%;8,07%;5,13%;4,30%;4,71%;4,52%
ROIC;9,72%;7,09%;7,20%;7,34%;11,79%;8,60%;8,39%;9,57%;9,04%
Giro ativos;0,49;0,43;0,36;0,27;0,43;0,50;0,53;0,56;0,54
CAGR Receitas 5 anos;29,60%;29,60%;29,63%;24,03%;19,68%;21,28%;21,24%;17,63%;13,85%
CAGR Lucros 5 anos;16,29%;16,81%;22,33%;29,54%;37,93%;21,10%;15,22%;11,39%;15,98%
