;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,77%;1,63%;1,69%;1,65%;0,99%;3,10%;1,91%;-%;-%
Div;6.37;1.44;1.27;0.94;0.4;1.37;1.16;;
P/L;13.02;6.31;14.62;12.52;11.91;31.21;10.84;;
PEG Ratio;-0,57;-;-;-;-;-;-;-;-
P/VP;2,20;1,64;1,73;-;1,10;1,33;1,90;-;-
EV/EBITDA;6,78;3,23;3,20;5,51;6,62;6,71;-;-;-
EV/EBIT;11,16;5,18;10,68;8,41;10,26;9,76;8,09;-;-
P/EBITDA;5,43;2,43;2,43;5,51;4,32;4,65;-;-;-
P/EBIT;8,94;3,90;8,12;8,41;6,70;6,76;6,47;-;-
VPA;60,69;54,03;43,68;0,00;36,48;33,35;31,90;-;-
P/Ativo;0,98;0,75;0,84;0,68;0,52;0,60;0,90;-;-
LPA;10.25;14.02;5.16;4.57;3.37;1.42;5.59;;
P/SR;2,71;1,67;2,01;1,77;1,41;1,71;2,28;-;-
P/Cap. Giro;37,46;-44,37;-82,51;-;19,48;56,18;54,05;-;-
P/Ativo Circ. Liq.;-1,19;-0,86;-0,96;-;-0,59;-0,69;54,05;-;-
Dív. líquida/PL;0,54;0,54;0,54;-;0,58;0,59;0,51;0,52;0,56
Dív. líquida/EBITDA;1,35;0,80;0,77;0,00;2,29;2,06;1,47;-;-
Dív. líquida/EBIT;2,22;1,28;2,56;0,00;3,56;2,99;1,92;1,96;2,48
PL/Ativos;0,44;0,46;0,49;0,00;0,47;0,45;0,47;0,45;0,44
Passivos/Ativos;0,56;0,54;0,51;0,00;0,53;0,55;0,53;0,55;0,56
Liq. corrente;1,17;0,89;0,93;-;1,28;1,09;0,76;1,04;0,96
M. Bruta;38,46%;54,07%;37,23%;34,93%;34,33%;37,18%;43,63%;43,51%;39,90%
M. EBITDA;49,86%;68,94%;82,90%;32,17%;32,58%;36,69%;41,66%;-%;-%
M. EBIT;30,29%;42,91%;24,82%;21,06%;21,02%;25,24%;31,76%;32,18%;27,12%
M. Líquida;20,81%;26,50%;13,78%;14,15%;11,83%;5,47%;18,73%;17,63%;17,25%
ROE;16,88%;25,94%;11,80%;-%;9,25%;4,27%;15,56%;14,50%;14,39%
ROA;7,51%;11,83%;5,73%;5,46%;4,34%;1,93%;7,25%;6,51%;6,37%
ROIC;6,21%;11,88%;2,88%;-%;7,58%;10,34%;12,62%;12,53%;10,05%
Giro ativos;0,36;0,45;0,42;0,39;0,37;0,35;0,39;0,37;0,37
CAGR Receitas 5 anos;14,98%;14,98%;9,72%;8,59%;6,69%;8,73%;9,91%;7,29%;6,35%
CAGR Lucros 5 anos;16,45%;23,26%;4,44%;4,38%;-4,79%;12,66%;30,11%;8,07%;5,67%
