;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,35%;-%;0,20%;9,67%;3,83%;0,69%;0,58%;-%;-%
Div;0.07;;0.02;0.66;0.45;0.24;0.16;;
P/L;-7.09;-15.46;-16.3;11.76;11.56;26.49;21.41;;
PEG Ratio;-0,08;-;-;-;-;-;-;-;-
P/VP;1,44;1,11;2,43;1,97;2,70;2,27;2,41;-;-
EV/EBITDA;-;-;-;4,68;6,02;7,85;-;-;-
EV/EBIT;6,98;6,93;8,72;6,40;8,06;16,12;12,03;-;-
P/EBITDA;-;-;-;0,81;2,27;3,46;-;-;-
P/EBIT;0,64;0,46;1,66;1,11;3,04;7,10;4,97;-;-
VPA;3,61;3,15;3,97;3,44;4,32;15,64;11,12;-;-
P/Ativo;0,05;0,04;0,12;0,09;0,20;0,29;0,27;-;-
LPA;-0.73;-0.23;-0.59;0.58;1.01;1.34;1.25;;
P/SR;0,10;0,07;0,25;0,24;0,69;0,75;0,60;-;-
P/Cap. Giro;0,58;0,50;1,18;0,74;0,58;1,22;1,27;-;-
P/Ativo Circ. Liq.;-0,08;-0,05;-0,17;-0,14;-0,39;-0,52;1,27;-;-
Dív. líquida/PL;14,23;15,77;5,08;9,40;4,47;4,91;6,46;9,50;8,50
Dív. líquida/EBITDA;-;-;-;3,87;3,75;4,39;4,11;-;-
Dív. líquida/EBIT;6,34;6,47;7,06;5,29;5,02;9,02;7,26;7,44;8,28
PL/Ativos;0,04;0,03;0,10;0,05;0,07;0,07;0,07;0,05;0,06
Passivos/Ativos;0,93;0,93;0,90;0,91;0,88;0,87;0,88;0,92;0,90
Liq. corrente;1,37;1,29;1,45;1,55;3,30;2,08;1,90;1,78;1,43
M. Bruta;26,19%;25,75%;25,57%;31,52%;32,34%;20,60%;21,26%;21,87%;20,48%
M. EBITDA;-%;-%;-%;29,07%;30,23%;21,55%;21,86%;-%;-%
M. EBIT;16,34%;16,33%;15,28%;21,25%;22,58%;10,50%;12,38%;11,90%;9,71%
M. Líquida;-1,48%;-0,48%;-1,56%;2,00%;5,93%;2,81%;2,33%;1,63%;-0,04%
ROE;-20,27%;-7,20%;-7,33%;16,73%;23,39%;14,58%;16,77%;17,43%;-0,40%
ROA;-0,76%;-0,24%;-0,71%;0,78%;1,71%;1,08%;1,11%;0,83%;-0,02%
ROIC;10,91%;10,37%;6,95%;11,17%;6,33%;3,83%;6,43%;6,57%;7,27%
Giro ativos;0,51;0,49;0,45;0,39;0,29;0,38;0,48;0,51;0,63
CAGR Receitas 5 anos;33,49%;33,49%;31,57%;27,12%;16,28%;10,36%;11,83%;11,21%;12,53%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;42,63%;25,54%;7,00%;-%
