;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,02%;5,79%;4,24%;4,27%;6,77%;1,98%;2,77%;2,82%;1,45%
Div;0.46;1.34;1.24;1.13;2.33;0.54;0.66;0.51;0.28
P/L;10.01;13.89;7.03;9.24;8.23;10.45;13.51;21.08;14.29
PEG Ratio;-0,18;-;-;-;-;-;-;-0,58;0,20
P/VP;0,75;1,19;1,60;1,62;2,52;2,89;2,34;1,98;2,08
EV/EBITDA;2,07;3,69;2,13;4,87;5,28;6,43;6,07;-;-
EV/EBIT;9,14;9,22;6,70;7,37;6,97;9,19;9,32;13,01;11,97
P/EBITDA;0,81;2,04;1,30;2,98;3,83;4,37;4,74;-;-
P/EBIT;3,57;5,10;4,10;4,52;5,05;6,25;7,28;9,49;8,79
VPA;20,15;19,60;18,30;16,35;13,68;9,45;10,15;9,19;9,27
P/Ativo;0,23;0,35;0,53;0,50;0,85;0,80;0,75;0,70;0,76
LPA;1.51;1.67;4.17;2.87;4.18;2.62;1.76;0.86;1.35
P/SR;0,70;1,08;1,51;1,42;2,13;2,25;2,34;1,97;2,04
P/Cap. Giro;1,35;1,82;2,68;2,79;4,80;5,54;3,59;3,03;4,72
P/Ativo Circ. Liq.;-0,33;-0,53;-0,79;-0,75;-1,25;-1,12;-1,12;-1,09;-1,17
Dív. líquida/PL;1,17;0,91;1,11;1,11;1,16;1,36;0,71;0,75;0,75
Dív. líquida/EBITDA;1,26;1,65;0,83;1,88;1,45;2,06;1,33;-;-
Dív. líquida/EBIT;5,57;4,13;2,60;2,85;1,91;2,94;2,04;3,53;3,19
PL/Ativos;0,31;0,34;0,31;0,31;0,32;0,28;0,35;0,36;0,39
Passivos/Ativos;0,69;0,66;0,69;0,69;0,68;0,72;0,65;0,64;0,61
Liq. corrente;2,43;2,18;2,17;2,55;1,74;2,01;2,59;2,20;1,25
M. Bruta;23,33%;24,93%;24,31%;30,75%;42,31%;36,10%;31,86%;25,93%;32,00%
M. EBITDA;87,03%;52,99%;115,68%;47,48%;55,68%;51,48%;49,33%;-%;-%
M. EBIT;19,67%;21,19%;36,73%;31,33%;42,18%;36,03%;32,10%;20,77%;23,28%
M. Líquida;7,02%;7,77%;21,42%;15,33%;25,89%;21,54%;17,30%;9,35%;14,31%
ROE;7,50%;8,11%;24,97%;19,10%;37,15%;27,70%;18,84%;9,55%;14,45%
ROA;2,31%;2,73%;7,84%;5,85%;11,93%;7,65%;6,55%;3,45%;5,66%
ROIC;7,17%;8,52%;8,53%;13,36%;19,64%;12,90%;13,91%;8,77%;9,39%
Giro ativos;0,33;0,35;0,37;0,38;0,46;0,36;0,38;0,37;0,40
CAGR Receitas 5 anos;14,16%;14,16%;15,45%;14,04%;16,99%;12,98%;14,03%;16,99%;21,61%
CAGR Lucros 5 anos;-4,70%;-2,72%;36,28%;15,62%;39,15%;34,98%;17,44%;18,39%;46,47%
