;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;5,02%;1,37%;-%;-%;1,06%;1,63%;1,98%;1,59%;-%
Div;1.23;0.17;;;0.18;0.49;0.6;0.51;
P/L;7.13;14.39;-19.05;-0.8;-9.11;15.73;11.95;8.66;10.12
PEG Ratio;0,03;-;-;-;-;-;-;0,10;0,11
P/VP;2,45;1,62;2,12;0,62;1,45;2,08;2,33;1,45;0,93
EV/EBITDA;5,95;4,56;6,93;-4,87;-45,24;10,19;9,15;-;-
EV/EBIT;7,57;6,42;32,36;-3,95;-22,95;11,34;10,15;6,48;6,90
P/EBITDA;5,40;3,69;5,38;-1,72;-38,01;10,69;9,77;-;-
P/EBIT;6,87;5,19;25,12;-1,39;-19,28;11,90;10,84;7,90;8,75
VPA;10,01;7,69;6,98;6,83;11,53;14,54;12,94;22,16;21,46
P/Ativo;0,49;0,29;0,40;0,10;0,39;0,74;0,91;0,66;0,51
LPA;3.45;0.86;-0.78;-5.25;-1.84;1.92;2.53;3.71;1.98
P/SR;0,78;0,47;0,63;0,18;0,69;1,38;1,62;1,03;0,80
P/Cap. Giro;1,71;1,23;1,85;0,83;1,14;2,04;1,63;1,30;1,07
P/Ativo Circ. Liq.;-1,23;-0,71;-0,91;-0,21;-1,07;-2,13;-3,24;-2,08;-1,49
Dív. líquida/PL;0,25;0,38;0,61;1,13;0,28;-0,10;-0,15;-0,26;-0,20
Dív. líquida/EBITDA;0,55;0,88;1,55;-3,15;-7,23;-0,50;-0,62;-;-
Dív. líquida/EBIT;0,70;1,23;7,24;-2,56;-3,67;-0,56;-0,69;-1,43;-1,84
PL/Ativos;0,20;0,18;0,21;0,17;0,27;0,36;0,39;0,46;0,54
Passivos/Ativos;0,80;0,82;0,88;0,83;0,73;0,64;0,61;0,54;0,45
Liq. corrente;1,89;1,64;1,64;1,36;2,20;2,27;4,33;3,94;3,48
M. Bruta;29,44%;27,14%;20,96%;11,39%;17,77%;31,12%;33,23%;34,84%;34,51%
M. EBITDA;14,52%;12,65%;11,68%;-10,62%;-1,81%;12,91%;16,53%;-%;-%
M. EBIT;11,41%;8,99%;2,50%;-13,09%;-3,56%;11,60%;14,91%;13,05%;9,09%
M. Líquida;10,99%;3,24%;-3,30%;-22,69%;-7,54%;8,78%;13,51%;11,91%;7,86%
ROE;34,41%;11,24%;-11,15%;-76,84%;-15,91%;13,20%;19,51%;16,72%;9,21%
ROA;6,82%;1,99%;-2,29%;-13,26%;-4,31%;4,73%;7,58%;7,64%;5,00%
ROIC;16,01%;12,38%;-0,77%;-16,39%;-5,23%;8,33%;11,50%;11,04%;7,36%
Giro ativos;0,62;0,61;0,70;0,58;0,57;0,54;0,56;0,64;0,64
CAGR Receitas 5 anos;10,99%;10,99%;11,54%;12,18%;19,26%;21,81%;27,88%;15,51%;4,90%
CAGR Lucros 5 anos;9,89%;-16,59%;-%;-%;-%;45,88%;-%;-%;-%
