;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,45%;1,68%;1,31%;1,12%;1,08%;1,05%;0,65%;1,15%;1,18%
Div;0.61;0.45;0.44;0.31;0.31;0.3;0.42;0.31;0.35
P/L;31.08;22.35;28.3;34.22;47.97;56.27;50.96;75.52;53.25
PEG Ratio;1,25;-;-;-;-;-;-;-2,10;-1,36
P/VP;4,97;3,43;4,40;3,96;4,18;6,37;4,32;3,49;3,93
EV/EBITDA;15,36;10,76;9,38;18,25;22,82;26,32;22,39;17,43;17,78
EV/EBIT;23,22;17,96;27,70;25,07;30,47;39,93;29,53;35,83;36,46
P/EBITDA;15,56;10,95;10,05;19,36;24,80;27,80;24,92;17,33;16,81
P/EBIT;23,52;18,28;29,67;26,59;33,12;42,18;32,88;35,63;34,48
VPA;8,47;7,81;7,65;6,98;6,86;4,51;14,96;7,77;7,62
P/Ativo;2,74;1,88;2,36;1,61;1,78;3,23;3,02;1,88;1,99
LPA;1.35;1.2;1.19;0.81;0.6;0.51;1.27;0.36;0.56
P/SR;4,30;3,07;4,62;4,49;5,94;6,39;4,69;1,94;2,22
P/Cap. Giro;13,97;9,90;8,13;5,89;8,16;20,96;8,23;14,48;11,81
P/Ativo Circ. Liq.;-4,15;-2,78;-4,22;-3,89;-3,96;-7,17;-6,98;-3,28;-3,40
Dív. líquida/PL;-0,06;-0,06;-0,29;-0,23;-0,33;-0,34;-0,44;0,02;0,23
Dív. líquida/EBITDA;-0,20;-0,19;-0,67;-1,11;-1,98;-1,48;-2,54;0,10;0,97
Dív. líquida/EBIT;-0,30;-0,32;-1,98;-1,52;-2,65;-2,24;-3,34;0,20;1,98
PL/Ativos;0,55;0,55;0,53;0,41;0,43;0,51;0,70;0,54;0,51
Passivos/Ativos;0,41;0,42;0,43;0,57;0,55;0,49;0,30;0,46;0,49
Liq. corrente;2,35;2,42;2,90;1,87;1,65;1,39;2,84;1,44;1,68
M. Bruta;70,18%;69,48%;69,73%;69,81%;69,14%;70,08%;67,41%;61,88%;61,23%
M. EBITDA;27,64%;28,03%;45,99%;23,22%;23,94%;23,00%;18,80%;11,18%;13,22%
M. EBIT;18,29%;16,79%;15,58%;16,90%;17,93%;15,16%;14,25%;5,44%;6,45%
M. Líquida;13,84%;13,73%;16,34%;13,13%;12,38%;11,36%;9,19%;2,57%;4,17%
ROE;15,99%;15,33%;15,57%;11,56%;8,71%;11,33%;8,47%;4,63%;7,37%
ROA;8,80%;8,41%;8,32%;4,69%;3,71%;5,73%;5,93%;2,49%;3,73%
ROIC;12,04%;10,96%;5,12%;7,88%;7,09%;10,50%;8,71%;5,67%;6,86%
Giro ativos;0,64;0,61;0,51;0,36;0,30;0,50;0,65;0,97;0,89
CAGR Receitas 5 anos;18,01%;18,01%;14,15%;11,23%;6,40%;6,34%;5,18%;7,56%;9,51%
CAGR Lucros 5 anos;31,07%;27,88%;65,30%;39,89%;19,27%;8,57%;-4,42%;-23,17%;-14,80%
