;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;8,37%;1,57%;1,32%;4,62%;4,40%;1,01%;3,53%;2,74%;2,29%
Div;1.75;0.25;0.35;0.58;0.64;0.24;0.91;1.46;1.72
P/L;7.85;7.5;12.12;7.81;19.06;29.63;75.91;25.73;26.51
PEG Ratio;0,58;-;-;-;-;-;-;-0,96;32,54
P/VP;1,42;1,17;2,19;1,20;1,61;2,78;3,00;3,13;4,51
EV/EBITDA;5,32;4,81;4,98;4,84;11,92;13,81;18,24;-;-
EV/EBIT;6,55;5,84;8,00;6,33;16,87;21,48;30,37;20,17;16,98
P/EBITDA;3,28;2,95;4,02;3,21;6,47;9,62;13,22;-;-
P/EBIT;4,04;3,58;6,46;4,20;9,16;14,97;22,01;15,71;14,45
VPA;14,69;13,59;12,11;10,50;9,03;8,55;8,50;16,98;16,63
P/Ativo;0,51;0,45;0,77;0,39;0,42;0,73;0,91;0,97;1,48
LPA;2.66;2.12;2.19;1.61;0.76;0.8;0.34;2.07;2.83
P/SR;0,17;0,13;0,23;0,10;0,15;0,33;0,32;0,33;0,52
P/Cap. Giro;3,16;3,19;3,98;2,43;1,31;3,21;2,87;3,00;4,92
P/Ativo Circ. Liq.;-0,80;-0,75;-1,51;-0,79;-1,16;-1,41;-1,76;-2,07;-3,28
Dív. líquida/PL;0,88;0,74;0,52;0,61;1,36;1,21;1,14;0,89;0,78
Dív. líquida/EBITDA;2,04;1,86;0,96;1,63;5,44;4,19;5,02;-;-
Dív. líquida/EBIT;2,51;2,26;1,55;2,13;7,71;6,51;8,36;4,46;2,53
PL/Ativos;0,36;0,38;0,35;0,32;0,26;0,26;0,30;0,31;0,33
Passivos/Ativos;0,59;0,60;0,63;0,67;0,73;0,73;0,68;0,68;0,66
Liq. corrente;1,83;1,53;1,66;1,45;1,98;1,89;2,90;2,56;2,21
M. Bruta;7,15%;7,26%;7,39%;5,12%;4,47%;6,91%;6,84%;6,79%;9,09%
M. EBITDA;5,08%;4,50%;5,83%;3,05%;2,28%;3,39%;2,40%;-%;-%
M. EBIT;4,13%;3,70%;3,63%;2,33%;1,61%;2,18%;1,44%;2,08%;3,61%
M. Líquida;2,13%;1,77%;1,94%;1,25%;0,78%;1,10%;0,42%;1,27%;1,97%
ROE;18,14%;15,59%;18,06%;15,38%;8,45%;9,37%;3,95%;12,18%;16,85%
ROA;6,52%;5,97%;6,38%;4,94%;2,18%;2,46%;1,20%;3,77%;5,56%
ROIC;11,12%;10,83%;8,89%;11,82%;5,61%;4,11%;3,52%;4,98%;8,79%
Giro ativos;3,07;3,37;3,30;3,94;2,81;2,24;2,86;2,97;2,82
CAGR Receitas 5 anos;8,37%;8,37%;6,80%;12,42%;7,24%;1,43%;5,68%;8,28%;8,23%
CAGR Lucros 5 anos;51,41%;44,62%;16,22%;2,73%;-11,44%;-9,89%;-21,36%;-1,25%;9,07%
