;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;5,32%;3,54%;8,79%;9,40%;0,30%;1,68%;0,52%;-%
Div;;0.29;0.33;0.63;1.42;0.04;0.16;0.05;
P/L;-2.24;-45.68;8.37;5.55;2.09;27.21;55.88;15.9;48.94
PEG Ratio;0,00;-;-;-;-;-;-;0,08;-0,36
P/VP;0,36;0,28;0,49;0,39;0,87;1,23;0,85;0,81;0,83
EV/EBITDA;3,70;3,18;4,30;2,88;1,43;5,13;7,90;-;-
EV/EBIT;-6,13;14,97;14,37;3,85;1,55;6,89;16,12;15,12;19,17
P/EBITDA;3,60;2,83;4,36;2,51;1,52;4,66;6,13;-;-
P/EBIT;-5,95;13,34;14,56;3,36;1,65;6,25;12,51;10,11;12,90
VPA;16,56;19,06;19,04;18,48;17,36;11,86;11,21;11,39;10,99
P/Ativo;0,21;0,17;0,29;0,22;0,48;0,61;0,45;0,44;0,44
LPA;-2.66;-0.12;1.11;1.29;7.24;0.54;0.17;0.58;0.19
P/SR;0,28;0,26;0,42;0,28;0,56;1,14;0,80;0,84;1,06
P/Cap. Giro;0,60;0,53;0,94;0,60;1,39;2,49;2,00;2,32;2,71
P/Ativo Circ. Liq.;-0,39;-0,30;-0,52;-0,46;-0,98;-1,01;-0,68;-0,63;-0,61
Dív. líquida/PL;0,01;0,03;0,00;0,05;-0,03;0,07;0,23;0,29;0,31
Dív. líquida/EBITDA;0,10;0,35;-0,04;0,32;-0,06;0,28;1,64;-;-
Dív. líquida/EBIT;-0,17;1,63;-0,12;0,42;-0,06;0,38;3,34;3,64;4,89
PL/Ativos;0,59;0,60;0,59;0,58;0,55;0,50;0,53;0,54;0,53
Passivos/Ativos;0,33;0,33;0,34;0,35;0,38;0,44;0,41;0,41;0,42
Liq. corrente;4,21;3,64;3,25;3,78;3,16;2,64;3,07;2,50;2,38
M. Bruta;8,40%;6,42%;6,47%;17,49%;33,42%;20,24%;12,54%;16,13%;15,23%
M. EBITDA;7,80%;9,09%;9,66%;10,99%;36,97%;24,42%;13,01%;-%;-%
M. EBIT;-4,72%;1,93%;2,89%;8,21%;34,06%;18,20%;6,37%;8,32%;8,23%
M. Líquida;-12,52%;-0,56%;5,03%;4,98%;26,89%;4,18%;1,43%;5,29%;2,17%
ROE;-16,03%;-0,61%;5,83%;6,98%;41,70%;4,53%;1,52%;5,09%;1,69%
ROA;-9,42%;-0,37%;3,46%;4,04%;22,97%;2,25%;0,81%;2,74%;0,90%
ROIC;-13,92%;0,55%;-4,11%;4,61%;30,05%;10,41%;4,29%;3,41%;3,57%
Giro ativos;0,75;0,65;0,69;0,81;0,85;0,54;0,57;0,52;0,41
CAGR Receitas 5 anos;11,59%;11,59%;15,01%;24,78%;31,89%;9,57%;4,95%;1,38%;-3,32%
CAGR Lucros 5 anos;-%;-%;13,87%;47,29%;-%;-%;10,48%;-%;-%
