;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;10,59%;9,81%;7,87%;8,53%;18,79%;2,75%;2,65%;3,86%;3,29%
Div;7.62;5.35;6.07;7.58;14.65;2.4;1.41;1.97;1.32
P/L;10.82;7.84;8.77;4.43;3.3;17.3;-42.22;10.5;11.98
PEG Ratio;-0,29;-;-;-;-;-;-;0,23;0,37
P/VP;1,50;1,20;1,84;2,27;2,08;2,49;1,74;1,58;1,47
EV/EBITDA;4,70;3,41;2,56;4,06;2,70;6,34;15,85;-;-
EV/EBIT;9,24;5,64;6,13;5,16;2,91;9,03;139,25;7,11;7,85
P/EBITDA;3,91;2,70;2,24;3,70;2,63;6,23;14,32;-;-
P/EBIT;7,68;4,46;5,37;4,70;2,83;8,88;125,75;6,24;6,11
VPA;48,06;45,55;42,07;39,15;37,49;35,16;30,56;32,25;27,41
P/Ativo;0,67;0,50;0,77;0,94;0,80;0,97;0,76;0,79;0,64
LPA;6.65;6.96;8.8;20.07;23.62;5.05;-1.26;4.86;3.36
P/SR;1,53;1,20;1,68;1,88;1,36;2,22;1,89;2,00;1,95
P/Cap. Giro;19,42;102,27;17,90;49,79;10,01;9,07;21,85;11,35;10,92
P/Ativo Circ. Liq.;-0,82;-0,60;-0,96;-1,14;-1,07;-1,32;-0,94;-0,95;-0,80
Dív. líquida/PL;0,30;0,31;0,25;0,22;0,05;0,04;0,19;0,22;0,42
Dív. líquida/EBITDA;0,79;0,71;0,32;0,36;0,07;0,11;1,54;-;-
Dív. líquida/EBIT;1,56;1,17;0,76;0,46;0,07;0,15;13,49;0,87;1,74
PL/Ativos;0,45;0,42;0,43;0,41;0,39;0,39;0,44;0,50;0,44
Passivos/Ativos;0,54;0,57;0,57;0,57;0,61;0,62;0,57;0,49;0,55
Liq. corrente;1,24;1,03;1,28;1,12;1,47;1,67;1,23;1,67;1,45
M. Bruta;34,81%;36,25%;42,32%;45,17%;60,05%;52,73%;43,60%;39,62%;38,03%
M. EBITDA;39,19%;44,48%;75,21%;50,73%;51,84%;35,57%;13,24%;-%;-%
M. EBIT;19,93%;26,92%;31,37%;39,88%;48,15%;24,97%;1,51%;32,10%;31,82%
M. Líquida;14,15%;15,34%;19,20%;42,35%;41,30%;12,81%;-4,49%;19,08%;16,24%
ROE;13,84%;15,28%;20,14%;51,27%;63,01%;14,38%;-4,13%;15,06%;12,26%
ROA;6,22%;6,37%;8,76%;21,16%;24,29%;5,59%;-1,80%;7,51%;5,37%
ROIC;11,18%;14,10%;4,94%;28,76%;42,35%;18,93%;-0,12%;18,07%;13,45%
Giro ativos;0,44;0,42;0,46;0,50;0,59;0,44;0,40;0,39;0,33
CAGR Receitas 5 anos;7,33%;7,33%;9,12%;15,85%;25,41%;21,72%;12,46%;5,79%;3,53%
CAGR Lucros 5 anos;-%;-%;9,26%;40,33%;55,55%;-%;-%;194,87%;12,25%
