;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,93%;4,05%;3,85%;7,97%;7,19%;7,34%;6,86%;9,07%;5,84%
Div;1.3;1.89;2.06;3.06;3.46;3.41;3.37;3.74;2.41
P/L;17.64;13.75;17.56;15.74;13.06;16.48;16.58;7.82;15.12
PEG Ratio;1,42;-;-;-;-;-;-;0,08;1,18
P/VP;1,56;1,09;1,27;0,94;1,17;1,13;1,18;0,98;1,00
EV/EBITDA;3,27;-;-;-;-;-;5,70;-;-
EV/EBIT;12,52;-;-;-;-;-;14,33;8,27;12,42
P/EBITDA;2,96;2,00;1,40;3,34;4,29;4,42;4,57;-;-
P/EBIT;11,33;8,79;11,15;9,75;11,50;11,95;11,49;7,39;10,50
VPA;21,21;42,76;42,10;40,79;41,35;41,13;41,67;42,35;41,08
P/Ativo;0,86;0,61;0,73;0,54;0,70;0,72;0,77;0,68;0,69
LPA;1.88;3.4;3.04;2.44;3.69;2.82;2.96;5.28;2.73
P/SR;1,82;1,37;1,70;1,34;1,85;1,82;1,87;1,61;1,61
P/Cap. Giro;289,14;-52,83;-105,23;-13,16;-58,24;66,31;90,87;58,08;-61,61
P/Ativo Circ. Liq.;-1,07;-0,75;-0,87;-0,63;-0,86;-0,88;-0,93;-0,83;-0,82
Dív. líquida/PL;0,16;0,20;0,21;0,25;0,15;0,11;0,15;0,04;0,06
Dív. líquida/EBITDA;0,31;0,37;0,23;0,88;0,55;0,42;0,58;-;-
Dív. líquida/EBIT;1,20;1,62;1,82;2,58;1,48;1,14;1,45;0,29;0,67
PL/Ativos;0,55;0,56;0,58;0,57;0,60;0,64;0,65;0,70;0,69
Passivos/Ativos;0,45;0,44;0,42;0,43;0,39;0,36;0,35;0,30;0,31
Liq. corrente;1,02;0,94;0,96;0,78;0,94;1,07;1,05;1,07;0,94
M. Bruta;44,27%;43,86%;43,54%;42,90%;43,72%;47,38%;49,94%;51,62%;53,08%
M. EBITDA;61,71%;68,37%;120,90%;40,14%;43,17%;41,29%;40,96%;-%;-%
M. EBIT;16,10%;15,53%;15,20%;13,73%;16,09%;15,26%;16,30%;21,74%;15,35%
M. Líquida;10,34%;9,93%;9,65%;8,50%;14,17%;11,06%;11,30%;20,54%;10,67%
ROE;8,85%;7,96%;7,22%;5,97%;8,92%;6,86%;7,10%;12,47%;6,64%
ROA;4,89%;4,44%;4,17%;3,43%;5,39%;4,39%;4,62%;8,71%;4,55%
ROIC;8,76%;7,00%;6,44%;6,64%;7,84%;6,45%;6,91%;9,13%;7,07%
Giro ativos;0,47;0,45;0,43;0,40;0,38;0,40;0,41;0,42;0,43
CAGR Receitas 5 anos;4,76%;4,76%;3,69%;2,14%;0,71%;1,37%;4,81%;4,59%;4,96%
CAGR Lucros 5 anos;3,90%;2,10%;-10,84%;-2,38%;8,84%;6,88%;0,26%;19,16%;0,69%
