;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;5,05%;1,43%;1,67%;1,34%;1,86%;0,57%;0,98%;1,98%;1,48%
Div;2.44;0.75;0.62;0.51;0.61;0.43;0.34;0.35;0.36
P/L;31.41;36.66;27.03;38.41;38.6;67.9;45.05;27.51;34.08
PEG Ratio;4,91;-;-;-;-;-;-;1,60;15,53
P/VP;9,09;9,98;8,93;10,90;10,17;13,75;8,34;4,77;5,80
EV/EBITDA;46,42;25,50;17,85;28,50;29,28;47,84;32,06;-;-
EV/EBIT;24,57;28,23;23,32;31,70;32,95;55,45;38,77;24,59;32,48
P/EBITDA;47,23;26,02;18,35;28,78;29,59;48,70;32,56;-;-
P/EBIT;25,00;28,80;23,97;32,00;33,29;56,44;39,37;24,43;32,92
VPA;5,34;5,29;4,13;3,53;3,24;5,51;4,15;3,68;4,16
P/Ativo;4,91;5,34;4,92;5,75;5,78;7,98;4,64;2,39;2,78
LPA;1.54;1.44;1.37;1.0;0.85;1.12;0.77;0.64;0.71
P/SR;4,92;5,83;4,77;5,41;5,87;9,10;5,45;3,08;4,09
P/Cap. Giro;17,37;18,82;14,98;17,21;17,26;23,82;13,80;8,36;7,65
P/Ativo Circ. Liq.;-13,83;-15,52;-15,60;-19,06;-17,33;-21,56;-12,27;-6,17;-8,53
Dív. líquida/PL;-0,16;-0,20;-0,24;-0,10;-0,10;-0,24;-0,13;0,03;-0,08
Dív. líquida/EBITDA;-0,81;-0,52;-0,50;-0,27;-0,31;-0,86;-0,49;-;-
Dív. líquida/EBIT;-0,43;-0,57;-0,66;-0,30;-0,34;-0,99;-0,60;0,16;-0,44
PL/Ativos;0,54;0,54;0,55;0,53;0,57;0,58;0,56;0,50;0,48
Passivos/Ativos;0,44;0,44;0,43;0,46;0,41;0,40;0,43;0,49;0,51
Liq. corrente;1,78;1,76;1,92;1,91;2,01;2,13;2,17;1,87;2,18
M. Bruta;33,39%;33,73%;33,23%;29,08%;29,54%;31,13%;29,62%;28,98%;28,96%
M. EBITDA;10,42%;22,41%;25,97%;18,78%;19,86%;18,68%;16,74%;-%;-%
M. EBIT;19,68%;20,25%;19,88%;16,89%;17,65%;16,12%;13,84%;12,59%;12,42%
M. Líquida;15,67%;15,91%;17,63%;14,07%;15,22%;13,40%;12,10%;11,18%;11,99%
ROE;28,93%;27,21%;33,05%;28,37%;26,36%;20,24%;18,52%;17,35%;16,99%
ROA;15,62%;14,56%;18,20%;14,96%;14,98%;11,75%;10,29%;8,69%;8,17%
ROIC;24,58%;22,82%;24,25%;22,50%;22,06%;18,11%;14,94%;11,64%;9,94%
Giro ativos;1,00;0,92;1,03;1,06;0,98;0,88;0,85;0,78;0,68
CAGR Receitas 5 anos;23,27%;23,27%;22,11%;25,71%;20,26%;12,35%;11,23%;11,88%;9,06%
CAGR Lucros 5 anos;32,05%;30,21%;33,77%;29,80%;26,26%;15,15%;11,08%;9,67%;11,73%
