;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;11,05%;8,52%;6,30%;9,48%;7,90%;1,01%;5,20%;6,39%;6,32%
Div;2.618;1.645;1.577;1.397;1.254164;0.158673;1.05;0.539;1.086
P/L;5,98;4,86;7,41;5,62;6,37;10,16;8,86;8,25;7,64
PEG Ratio;0,18;-;-;-;-;-;-;-3,22;0,84
P/VP;0,87;0,74;1,01;0,85;0,77;0,81;1,09;0,94;0,99
EV/EBITDA;-;-;-;-;-;-;9,53;-;-
EV/EBIT;4,90;4,04;8,33;4,94;6,07;-17,67;10,03;10,97;7,21
P/EBITDA;-;-;-;-;-;-;9,53;-;-
P/EBIT;4,90;4,04;8,33;4,94;6,07;-17,67;10,03;10,97;7,21
VPA;27,39;26,11;24,78;23,15;20,65;19,41;18,51;18,01;17,29
P/Ativo;0,10;0,07;0,10;0,08;0,08;0,08;0,12;0,11;0,11
LPA;3,96;3,97;3,38;3,49;2,49;1,54;2,28;2,05;2,25
P/SR;0,56;0,47;0,99;0,87;1,26;1,46;1,96;1,44;1,51
P/Cap. Giro;-2,29;2,06;2,13;-2,27;-6,04;0,80;11,12;0,82;0,95
P/Ativo Circ. Liq.;-0,10;-0,07;-0,11;-0,08;-0,08;-0,09;-0,37;-0,43;-0,52
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;-;-;-;-;-;-;-;-;-
PL/Ativos;0,11;0,09;0,10;0,09;0,10;0,10;0,12;0,12;0,13
Passivos/Ativos;0,89;0,91;0,90;0,92;0,91;0,83;0,88;0,88;0,87
Liq. corrente;0,24;1,68;0,25;0,14;0,31;0,26;0,01;-;-
M. Bruta;20,09%;15,68%;22,51%;30,16%;32,67%;28,25%;31,66%;34,85%;23,04%
M. EBITDA;-%;-%;-%;-%;-%;-%;20,57%;-%;-%
M. EBIT;11,47%;11,55%;11,92%;17,69%;20,82%;-8,25%;19,56%;13,09%;20,98%
M. Líquida;9,40%;9,60%;13,41%;15,54%;19,82%;14,34%;22,13%;17,41%;19,82%
ROE;14,47%;15,21%;13,63%;15,09%;11,94%;7,87%;12,23%;11,14%;12,57%
ROA;1,59%;1,35%;1,32%;1,39%;1,14%;0,79%;1,52%;1,38%;1,57%
ROIC;-%;-%;-%;-%;-%;-%;-%;-%;-%
Giro ativos;0,17;0,14;0,10;0,09;0,06;0,05;0,07;0,08;0,08
CAGR Receitas 5 anos;35,11%;35,11%;20,08%;18,70%;7,15%;1,17%;5,50%;7,29%;7,97%
CAGR Lucros 5 anos;14,28%;14,32%;13,97%;13,06%;7,52%;-2,60%;8,66%;9,43%;12,15%
