;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,78%;7,03%;12,03%;17,54%;9,10%;2,84%;4,89%;4,88%;1,93%
Div;0.752895;1.555983;3.212353;5.254966;2.621181;0.709664;0.9293;0.7621;0.2411
P/L;-86,35;16,46;12,09;11,42;5,67;4,89;9,05;5,01;5,77
PEG Ratio;0,80;-;-;-;-;-;-;0,12;0,02
P/VP;0,94;1,03;1,39;1,50;1,20;1,38;1,15;1,01;1,05
EV/EBITDA;-;19,52;122,62;8,89;3,56;4,06;5,69;4,99;-
EV/EBIT;47,25;15,22;17,24;11,74;3,99;5,20;7,78;5,61;4,92
P/EBITDA;-;14,20;105,01;8,42;3,81;3,08;4,82;4,23;-
P/EBIT;30,25;11,08;14,76;11,12;4,27;3,94;6,59;4,75;4,53
VPA;21,21;21,45;19,24;20,04;23,95;18,06;16,58;15,52;11,92
P/Ativo;0,53;0,58;0,84;0,91;0,81;0,76;0,71;0,69;0,79
LPA;-0,23;1,34;2,21;2,62;5,08;5,11;2,10;3,11;2,17
P/SR;2,00;1,94;2,59;2,40;1,54;1,27;1,53;1,60;1,90
P/Cap. Giro;3,94;5,06;4,50;4,82;2,46;6,41;4,31;4,09;11,34
P/Ativo Circ. Liq.;-0,77;-0,80;-1,25;-1,47;-1,60;-1,11;-1,04;-1,00;-1,03
Dív. líquida/PL;0,53;0,39;0,21;0,08;-0,09;0,44;0,22;0,21;0,09
Dív. líquida/EBITDA;-;5,31;17,61;0,47;-0,25;0,98;0,87;0,76;-
Dív. líquida/EBIT;17,01;4,15;2,48;0,62;-0,29;1,26;1,20;0,86;0,38
PL/Ativos;0,57;0,60;0,63;0,66;0,64;0,55;0,65;0,64;0,76
Passivos/Ativos;0,43;0,40;0,37;0,34;0,36;0,45;0,35;0,36;0,24
Liq. corrente;1,79;2,09;2,14;3,28;2,66;1,61;1,95;1,83;1,09
M. Bruta;19,34%;28,86%;29,45%;30,76%;40,44%;40,27%;31,39%;42,53%;40,55%
M. EBITDA;-%;13,65%;2,47%;28,47%;40,28%;41,30%;31,86%;37,80%;-%
M. EBIT;6,62%;17,49%;17,55%;21,55%;35,97%;32,29%;23,30%;33,65%;41,87%
M. Líquida;-2,32%;11,78%;21,42%;20,98%;27,11%;26,02%;16,95%;31,88%;32,90%
ROE;-1,09%;6,33%;10,33%;12,12%;23,83%;28,32%;13,58%;23,43%;18,93%
ROA;-0,62%;3,83%;6,47%;8,03%;15,17%;15,54%;8,81%;15,01%;14,30%
ROIC;-0,36%;4,55%;-0,30%;9,00%;18,82%;20,95%;12,66%;15,91%;17,30%
Giro ativos;0,27;0,33;0,30;0,38;0,56;0,60;0,52;0,47;0,43
CAGR Receitas 5 anos;10,70%;10,70%;13,78%;27,22%;59,78%;55,29%;13,49%;29,55%;9,46%
CAGR Lucros 5 anos;-%;2,91%;5,08%;16,28%;80,28%;108,88%;-7,94%;-%;34,48%
